Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																			
Дата голосования: 18.09.2016																																																			
																																																			
Наименование Избирательной комиссии:    Кировская																																																			
																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																			
																																																			
		Сумма	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1380									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	18093	400	150	366	82	113	187	735	165	1040	456	608	1081	687	876	477	971	440	569	531	460	275	422	899	304	87	86	290	86	172	338	92	554	931	394	557	351	392	395	908	166									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14800	320	120	290	60	90	140	590	130	840	370	480	870	540	710	350	750	350	450	430	370	210	340	720	240	65	65	240	65	130	270	70	450	740	310	460	280	310	310	730	545									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6372	134	55	123	27	46	63	294	81	375	155	185	341	193	345	211	407	128	199	131	126	82	122	265	109	26	46	116	36	79	106	34	189	343	131	196	124	130	115	345	159									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	317	8	1	10	3	4	2	12	6	7	9	5	13	5	6	4	16	6	2	4	17	0	17	36	8	4	5	7	6	12	17	3	13	4	1	4	9	4	5	22	0									
6	Число погашенных избирательных бюллетеней	8095	178	64	157	30	40	75	284	43	458	206	290	516	342	359	135	327	216	249	295	227	128	201	419	123	23	14	117	23	39	143	33	248	393	178	260	147	176	190	363	386									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	333	8	1	10	3	4	2	12	6	7	9	5	13	5	6	4	16	6	2	4	17	0	17	36	8	16	5	7	6	12	21	3	13	4	1	4	9	4	5	22	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6371	134	55	123	27	46	63	294	81	375	155	185	341	193	345	211	407	128	199	130	126	82	122	265	109	26	46	116	36	79	106	34	189	343	131	196	124	130	115	345	159									
9	Число недействительных избирательных бюллетеней	219	2	3	2	5	1	1	11	2	11	2	2	8	9	12	5	12	2	6	5	8	6	4	10	2	0	1	11	3	3	15	2	6	6	4	7	9	1	9	9	2									
10	Число действительных избирательных бюллетеней	6485	140	53	131	25	49	64	295	85	371	162	188	346	189	339	210	411	132	195	129	135	76	135	291	115	42	50	112	39	88	112	35	196	341	128	193	124	133	111	358	157									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	655	15	10	15	6	8	8	20	8	30	20	20	30	20	25	20	30	20	20	20	15	10	20	30	20	5	5	10	5	10	15	5	20	25	15	20	15	15	20	30	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	118	0	8	0	0	3	0	4	4	7	2	3	4	0	8	6	2	1	3	5	0	2	2	12	2	0	0	10	0	0	0	0	2	10	2	2	7	2	0	5	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	200	2	1	2	1	3	3	2	3	0	0	2	7	7	8	4	6	2	9	4	3	5	4	9	1	2	2	3	0	0	4	1	3	1	1	5	4	7	8	5	66									
14	Число погашенных неиспользованных открепительных удостоверений	537	15	2	15	6	5	8	16	4	23	18	17	26	20	17	14	28	19	17	15	15	8	18	18	18	5	5	0	5	10	15	5	18	15	13	18	8	13	20	25	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	54	1	0	0	0	0	0	1	0	6	1	1	9	4	2	4	4	0	5	3	0	0	0	4	0	0	0	1	0	0	1	0	1	2	1	1	0	1	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	83	1	0	1	0	2	1	2	0	5	0	2	3	2	1	3	5	2	5	2	3	2	1	8	0	1	0	0	0	0	1	0	0	8	4	2	3	5	2	2	4									
		1.24%	0.70%	0.00%	0.75%	0.00%	4.00%	1.54%	0.65%	0.00%	1.31%	0.00%	1.05%	0.85%	1.01%	0.28%	1.40%	1.18%	1.49%	2.49%	1.49%	2.10%	2.44%	0.72%	2.66%	0.00%	2.38%	0.00%	0.00%	0.00%	0.00%	0.79%	0.00%	0.00%	2.31%	3.03%	1.00%	2.26%	3.73%	1.67%	0.54%	2.52%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	230	8	1	5	1	0	0	3	2	12	6	8	17	3	12	7	11	6	6	1	4	1	2	8	4	2	2	6	3	0	4	1	9	15	7	7	8	5	5	22	6									
		3.43%	5.63%	1.79%	3.76%	3.33%	0.00%	0.00%	0.98%	2.30%	3.14%	3.66%	4.21%	4.80%	1.52%	3.42%	3.26%	2.60%	4.48%	2.99%	0.75%	2.80%	1.22%	1.44%	2.66%	3.42%	4.76%	3.92%	4.88%	7.14%	0.00%	3.15%	2.70%	4.46%	4.32%	5.30%	3.50%	6.02%	3.73%	4.17%	5.99%	3.77%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	288	5	4	6	0	2	2	10	3	14	5	8	15	15	19	8	17	2	6	7	8	1	4	8	3	4	1	4	0	6	2	1	11	20	10	9	5	9	4	17	13									
		4.30%	3.52%	7.14%	4.51%	0.00%	4.00%	3.08%	3.27%	3.45%	3.66%	3.05%	4.21%	4.24%	7.58%	5.41%	3.72%	4.02%	1.49%	2.99%	5.22%	5.59%	1.22%	2.88%	2.66%	2.56%	9.52%	1.96%	3.25%	0.00%	6.59%	1.57%	2.70%	5.45%	5.76%	7.58%	4.50%	3.76%	6.72%	3.33%	4.63%	8.18%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2210	63	27	61	14	23	24	128	41	123	63	58	111	73	108	76	163	34	61	49	62	38	49	83	58	18	25	42	16	3	48	13	36	100	25	50	32	27	38	109	38									
		32.97%	44.37%	48.21%	45.86%	46.67%	46.00%	36.92%	41.83%	47.13%	32.20%	38.41%	30.53%	31.36%	36.87%	30.77%	35.35%	38.53%	25.37%	30.35%	36.57%	43.36%	46.34%	35.25%	27.57%	49.57%	42.86%	49.02%	34.15%	38.10%	3.30%	37.80%	35.14%	17.82%	28.82%	18.94%	25.00%	24.06%	20.15%	31.67%	29.70%	23.90%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	81	1	0	0	0	0	0	1	0	3	0	4	2	2	1	3	4	1	1	0	0	1	0	1	2	1	0	0	1	43	1	0	1	1	0	0	2	1	0	3	0									
		1.21%	0.70%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.79%	0.00%	2.11%	0.56%	1.01%	0.28%	1.40%	0.95%	0.75%	0.50%	0.00%	0.00%	1.22%	0.00%	0.33%	1.71%	2.38%	0.00%	0.00%	2.38%	47.25%	0.79%	0.00%	0.50%	0.29%	0.00%	0.00%	1.50%	0.75%	0.00%	0.82%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	17	1	1	0	0	0	0	0	0	1	0	1	1	0	1	0	2	1	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0									
		0.25%	0.70%	1.79%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.53%	0.28%	0.00%	0.28%	0.00%	0.47%	0.75%	0.50%	0.00%	0.70%	0.00%	0.72%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	1.10%	0.00%	0.00%	0.00%	0.58%	0.00%	0.50%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1992	29	9	35	4	17	23	93	25	137	54	66	113	53	99	64	110	39	65	46	40	24	64	115	28	11	18	40	6	0	29	10	87	92	45	63	34	40	47	97	21									
		29.71%	20.42%	16.07%	26.32%	13.33%	34.00%	35.38%	30.39%	28.74%	35.86%	32.93%	34.74%	31.92%	26.77%	28.21%	29.77%	26.00%	29.10%	32.34%	34.33%	27.97%	29.27%	46.04%	38.21%	23.93%	26.19%	35.29%	32.52%	14.29%	0.00%	22.83%	27.03%	43.07%	26.51%	34.09%	31.50%	25.56%	29.85%	39.17%	26.43%	13.21%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	72	1	0	2	0	1	0	3	0	4	0	1	2	3	2	1	0	9	3	0	1	0	0	1	1	0	0	0	1	23	0	0	0	2	2	0	1	4	0	2	2									
		1.07%	0.70%	0.00%	1.50%	0.00%	2.00%	0.00%	0.98%	0.00%	1.05%	0.00%	0.53%	0.56%	1.52%	0.57%	0.47%	0.00%	6.72%	1.49%	0.00%	0.70%	0.00%	0.00%	0.33%	0.85%	0.00%	0.00%	0.00%	2.38%	25.27%	0.00%	0.00%	0.00%	0.58%	1.52%	0.00%	0.75%	2.99%	0.00%	0.54%	1.26%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	79	0	0	0	0	1	0	2	0	1	2	4	5	2	5	2	2	2	2	1	1	1	0	4	1	1	1	2	0	0	1	1	1	7	5	3	5	1	0	7	6									
		1.18%	0.00%	0.00%	0.00%	0.00%	2.00%	0.00%	0.65%	0.00%	0.26%	1.22%	2.11%	1.41%	1.01%	1.42%	0.93%	0.47%	1.49%	0.99%	0.75%	0.70%	1.22%	0.00%	1.33%	0.85%	2.38%	1.96%	1.63%	0.00%	0.00%	0.79%	2.70%	0.50%	2.02%	3.79%	1.50%	3.76%	0.75%	0.00%	1.91%	3.77%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	7	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	1									
		0.10%	0.70%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.51%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.38%	0.00%	0.00%	0.00%	0.00%	0.29%	0.76%	0.00%	0.00%	0.00%	0.83%	0.00%	0.63%									
