Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																						
Дата голосования: 07.12.2003 0:00:00																																						
																																						
Наименование Избирательной комиссии:    Седельниковская																																						
																																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																						
																																						
		Сумма	УИК  887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917					
1	"Число избирателей, внесенных в списки"	9389	101	255	214	404	56	851	229	208	69	240	121	138	223	94	174	402	90	112	97	301	198	108	280	79	745	1104	851	825	561	177	82					
2	"Число бюллетеней, полученных участковыми комиссиями"	9311	101	252	214	401	56	855	227	203	69	240	124	136	224	93	174	402	90	112	97	301	198	107	272	80	745	1073	839	816	551	177	82					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	6573	80	179	135	326	55	683	199	167	57	185	96	109	170	81	145	391	90	108	95	220	132	64	200	57	427	649	428	463	360	143	79					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	558	14	29	36	34	0	49	14	12	5	10	14	13	36	10	22	0	0	0	0	42	10	12	32	19	52	18	24	21	14	16	0					
6	Число погашенных бюллетеней	2180	7	44	43	41	1	123	14	24	7	45	14	14	18	2	7	11	0	4	2	39	56	31	40	4	266	406	387	332	177	18	3					
7	Число бюллетеней в переносных ящиках для голосования	558	14	29	36	34	0	49	14	12	5	10	14	13	36	10	22	0	0	0	0	42	10	12	32	19	52	18	24	21	14	16	0					
8	Число бюллетеней в стационарных ящиках для голосования	6573	80	179	135	326	55	683	199	167	57	185	96	109	170	81	145	391	90	108	95	220	132	64	200	57	427	649	428	463	360	143	79					
9	Число недействительных бюллетеней	83	0	11	4	6	1	5	7	0	0	4	2	0	2	4	0	2	0	0	0	0	2	0	2	0	6	6	6	5	3	3	2					
10	Число действительных бюллетеней	7048	94	197	167	354	54	727	206	179	62	191	108	122	204	87	167	389	90	108	95	262	140	76	230	76	473	661	446	479	371	156	77					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	100	2	2	2	2	1	5	2	2	1	2	2	2	2	2	2	2	1	2	1	2	2	2	2	1	10	10	10	10	10	2	2					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	23	1	0	0	2	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	8	1	3	3	2	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	23	0	3	0	3	0	1	0	2	0	0	0	1	1	0	1	0	0	0	0	0	0	1	2	0	4	1	0	0	3	0	0					
14	Число погашенных открепительных удостоверений	77	1	2	2	0	1	5	2	2	1	2	2	2	0	1	2	2	1	2	1	2	2	2	2	1	2	9	7	7	8	2	2					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																						
18	"1. ""ЕДИНЕНИЕ"""	210	1	7	3	12	1	14	6	4	3	10	1	6	5	3	7	14	0	3	2	9	1	1	4	3	16	19	12	21	10	9	3					
		2.94%	1.06%	3.36%	1.75%	3.33%	1.81%	1.91%	2.81%	2.23%	4.83%	5.12%	0.90%	4.91%	2.42%	3.29%	4.19%	3.58%	0.0%	2.77%	2.10%	3.43%	0.70%	1.31%	1.72%	3.94%	3.34%	2.84%	2.65%	4.33%	2.67%	5.66%	3.79%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	66	0	3	1	1	0	5	0	1	0	0	2	0	3	1	0	4	0	0	0	3	2	1	3	0	5	8	13	3	6	1	0					
		0.92%	0.0%	1.44%	0.58%	0.27%	0.0%	0.68%	0.0%	0.55%	0.0%	0.0%	1.81%	0.0%	1.45%	1.09%	0.0%	1.02%	0.0%	0.0%	0.0%	1.14%	1.40%	1.31%	1.29%	0.0%	1.04%	1.19%	2.87%	0.61%	1.60%	0.62%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	155	1	0	4	11	0	9	13	6	0	1	7	0	7	3	8	7	0	3	0	1	2	2	5	1	23	12	11	5	5	1	7					
		2.17%	1.06%	0.0%	2.33%	3.05%	0.0%	1.22%	6.10%	3.35%	0.0%	0.51%	6.36%	0.0%	3.39%	3.29%	4.79%	1.79%	0.0%	2.77%	0.0%	0.38%	1.40%	2.63%	2.15%	1.31%	4.80%	1.79%	2.43%	1.03%	1.33%	0.62%	8.86%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	66	0	3	1	0	0	3	1	1	0	0	1	2	3	3	1	3	1	0	7	0	2	0	1	0	7	3	5	12	5	1	0					
		0.92%	0.0%	1.44%	0.58%	0.0%	0.0%	0.40%	0.46%	0.55%	0.0%	0.0%	0.90%	1.63%	1.45%	3.29%	0.59%	0.76%	1.11%	0.0%	7.36%	0.0%	1.40%	0.0%	0.43%	0.0%	1.46%	0.44%	1.10%	2.47%	1.33%	0.62%	0.0%					
22	"5. ""За Русь Святую"""	30	1	0	1	1	0	9	0	0	0	0	0	1	1	0	1	0	0	0	0	2	1	1	1	0	4	4	2	0	0	0	0					
		0.42%	1.06%	0.0%	0.58%	0.27%	0.0%	1.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.81%	0.48%	0.0%	0.59%	0.0%	0.0%	0.0%	0.0%	0.76%	0.70%	1.31%	0.43%	0.0%	0.83%	0.59%	0.44%	0.0%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	24	1	0	0	2	0	1	0	1	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	1	6	4	1	0	1	0					
		0.33%	1.06%	0.0%	0.0%	0.55%	0.0%	0.13%	0.0%	0.55%	0.0%	0.0%	0.0%	0.0%	0.0%	2.19%	0.0%	1.02%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.20%	0.89%	0.88%	0.20%	0.0%	0.62%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	27	3	2	0	0	0	3	2	0	0	0	1	0	2	0	0	1	0	0	0	0	1	1	1	2	1	2	0	1	2	2	0					
		0.37%	3.19%	0.96%	0.0%	0.0%	0.0%	0.40%	0.93%	0.0%	0.0%	0.0%	0.90%	0.0%	0.97%	0.0%	0.0%	0.25%	0.0%	0.0%	0.0%	0.0%	0.70%	1.31%	0.43%	2.63%	0.20%	0.29%	0.0%	0.20%	0.53%	1.25%	0.0%					
25	"8. ""Народно-республиканская партия России"""	8	1	2	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0					
		0.11%	1.06%	0.96%	0.0%	0.0%	0.0%	0.13%	0.93%	0.55%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.20%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	9	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	2	0	0					
		0.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.13%	0.46%	0.0%	0.0%	0.51%	0.90%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.43%	0.0%	0.20%	0.0%	0.22%	0.0%	0.53%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	519	12	26	6	35	1	31	8	33	1	18	6	5	15	2	4	31	8	26	5	47	9	17	20	1	28	49	26	22	17	10	0					
		7.27%	12.76%	12.5%	3.50%	9.72%	1.81%	4.23%	3.75%	18.43%	1.61%	9.23%	5.45%	4.09%	7.28%	2.19%	2.39%	7.92%	8.88%	24.07%	5.26%	17.93%	6.33%	22.36%	8.62%	1.31%	5.84%	7.34%	5.75%	4.54%	4.54%	6.28%	0.0%					
28	"11. ""Истинные патриоты России"""	24	1	1	0	2	0	1	0	0	1	2	0	0	1	0	0	0	0	0	1	0	2	0	1	1	1	1	0	0	0	8	0					
		0.33%	1.06%	0.48%	0.0%	0.55%	0.0%	0.13%	0.0%	0.0%	1.61%	1.02%	0.0%	0.0%	0.48%	0.0%	0.0%	0.0%	0.0%	0.0%	1.05%	0.0%	1.40%	0.0%	0.43%	1.31%	0.20%	0.14%	0.0%	0.0%	0.0%	5.03%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	82	0	7	1	4	0	12	4	3	0	0	1	1	2	1	1	4	1	4	0	3	0	3	2	0	11	6	4	3	1	2	1					
		1.14%	0.0%	3.36%	0.58%	1.11%	0.0%	1.63%	1.87%	1.67%	0.0%	0.0%	0.90%	0.81%	0.97%	1.09%	0.59%	1.02%	1.11%	3.70%	0.0%	1.14%	0.0%	3.94%	0.86%	0.0%	2.29%	0.89%	0.88%	0.61%	0.26%	1.25%	1.26%					
