Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва														
Дата голосования: 18.09.2016														
														
Наименование Избирательной комиссии:    Видяевская														
														
Сводная таблица итогов голосования по федеральному избирательному округу														
														
		Сумма	УИК №296	УИК №297	УИК №298									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	3336	1078	1237	1021									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	3300	1100	1100	1100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	166	0	166	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	1611	562	527	522									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	10	2	1	7									
6	Число погашенных избирательных бюллетеней	1513	536	406	571									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	176	2	167	7									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	1611	562	527	522									
9	Число недействительных избирательных бюллетеней	95	13	61	21									
10	Число действительных избирательных бюллетеней	1692	551	633	508									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	66	22	22	22									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	5	2	1	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	10	3	4	3									
14	Число погашенных неиспользованных открепительных удостоверений	61	20	21	20									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	34	12	8	14									
16	Число утраченных открепительных удостоверений	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0									
														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	30	6	13	11									
		1.68%	1.06%	1.87%	2.08%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	34	16	8	10									
		1.90%	2.84%	1.15%	1.89%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	24	10	8	6									
		1.34%	1.77%	1.15%	1.13%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1041	331	402	308									
		58.25%	58.69%	57.93%	58.22%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	7	1	2	4									
		0.39%	0.18%	0.29%	0.76%									
24	"6. Политическая партия ""Гражданская Платформа"""	10	2	5	3									
		0.56%	0.35%	0.72%	0.57%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	326	115	111	100									
		18.24%	20.39%	15.99%	18.90%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	14	2	7	5									
		0.78%	0.35%	1.01%	0.95%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	13	6	5	2									
		0.73%	1.06%	0.72%	0.38%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	3	0	3	0									
		0.17%	0.00%	0.43%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	7	0	6	1									
		0.39%	0.00%	0.86%	0.19%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	119	37	45	37									
		6.66%	6.56%	6.48%	6.99%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	3	2	0	1									
		0.17%	0.35%	0.00%	0.19%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	61	23	18	20									
		3.41%	4.08%	2.59%	3.78%									
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
