Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва														
Дата голосования: 04.12.2011														
														
Наименование Избирательной комиссии:    Чаунская														
														
Сводная таблица результатов выборов														
														
		Сумма	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51					
1	"Число избирателей, внесенных в список избирателей"	4313	1151	1271	1297	90	267	143	94					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	4595	1105	1289	1372	138	334	201	156					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	642	161	208	217	0	31	25	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	2895	709	813	842	90	229	118	94					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	121	78	24	19	0	0	0	0					
6	Число погашенных избирательных бюллетеней	937	157	244	294	48	74	58	62					
7	Число избирательных бюллетеней в переносных ящиках для голосования	763	239	232	236	0	31	25	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	2892	709	811	841	90	229	118	94					
9	Число недействительных избирательных бюллетеней	208	59	49	62	12	23	2	1					
10	Число действительных избирательных бюллетеней	3447	889	994	1015	78	237	141	93					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	200	40	40	40	20	20	20	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	9	1	4	1	1	0	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	16	8	2	4	2	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	191	39	36	39	19	20	18	20					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	20	4	6	1	0	0	6	3					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0					
														
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	186	42	63	42	6	13	16	4					
		5.09%	4.43%	6.04%	3.90%	6.67%	5.00%	11.19%	4.26%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	233	72	66	67	5	9	8	6					
		6.37%	7.59%	6.33%	6.22%	5.56%	3.46%	5.59%	6.38%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	44	14	8	5	2	7	5	3					
		1.20%	1.48%	0.77%	0.46%	2.22%	2.69%	3.50%	3.19%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	187	50	49	68	3	10	4	3					
		5.12%	5.27%	4.70%	6.31%	3.33%	3.85%	2.80%	3.19%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	54	17	11	22	0	4	0	0					
		1.48%	1.79%	1.05%	2.04%	0.00%	1.54%	0.00%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2732	692	793	809	62	194	106	76					
		74.75%	72.99%	76.03%	75.12%	68.89%	74.62%	74.13%	80.85%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	11	2	4	2	0	0	2	1					
		0.30%	0.21%	0.38%	0.19%	0.00%	0.00%	1.40%	1.06%					
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
