Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва														
Дата голосования: 02.12.2007														
														
Наименование Избирательной комиссии:    Чаунская														
														
Сводная таблица результатов выборов														
														
		Сумма	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49					
1	"Число избирателей, внесенных в списки избирателей"	4312	1165	1122	1340	118	285	161	121					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	4108	1076	1063	1241	120	294	161	153					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	221	105	41	26	0	25	19	5					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	2985	682	752	933	118	247	142	111					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	158	97	19	42	0	0	0	0					
6	Число погашенных избирательных бюллетеней	744	192	251	240	2	22	0	37					
7	Число избирательных бюллетеней в переносных ящиках для голосования	379	202	60	68	0	25	19	5					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	2979	682	749	930	118	247	142	111					
9	Число недействительных избирательных бюллетеней	54	6	33	6	1	1	7	0					
10	Число действительных избирательных бюллетеней	3304	878	776	992	117	271	154	116					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	323	73	75	75	20	30	30	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	74	16	20	16	12	8	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	68	29	19	16	3	0	0	1					
14	Число погашенных неиспользованных открепительных удостоверений	249	57	55	59	8	22	28	20					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	77	13	11	6	3	6	10	28					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0					
														
18	1.Политическая партия «Аграрная партия России»	48	9	15	12	1	3	7	1					
		1.43%	1.02%	1.85%	1.20%	0.85%	1.10%	4.35%	0.86%					
19	2.Всероссийская политическая партия «Гражданская Сила»	42	11	16	10	0	4	0	1					
		1.25%	1.24%	1.98%	1.00%	0.00%	1.47%	0.00%	0.86%					
20	3.Политическая партия «Демократическая партия России»	4	1	0	2	0	1	0	0					
		0.12%	0.11%	0.00%	0.20%	0.00%	0.37%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	137	39	33	42	3	8	2	10					
		4.08%	4.41%	4.08%	4.21%	2.54%	2.94%	1.24%	8.62%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	5	1	2	1	0	0	0	1					
		0.15%	0.11%	0.25%	0.10%	0.00%	0.00%	0.00%	0.86%					
23	6.Политическая партия «Партия социальной справедливости»	14	1	7	5	0	0	1	0					
		0.42%	0.11%	0.87%	0.50%	0.00%	0.00%	0.62%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	293	88	71	80	20	17	8	9					
		8.73%	9.95%	8.78%	8.02%	16.95%	6.25%	4.97%	7.76%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	119	30	32	36	4	9	5	3					
		3.54%	3.39%	3.96%	3.61%	3.39%	3.31%	3.11%	2.59%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	20	3	5	5	0	2	2	3					
		0.60%	0.34%	0.62%	0.50%	0.00%	0.74%	1.24%	2.59%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	2595	681	589	794	89	226	129	87					
		77.28%	77.04%	72.81%	79.56%	75.42%	83.09%	80.12%	75.00%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	27	14	6	5	0	1	0	1					
		0.80%	1.58%	0.74%	0.50%	0.00%	0.37%	0.00%	0.86%					
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
