Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																								
Дата голосования: 18.09.2016																																																								
																																																								
Наименование Избирательной комиссии:    Первомайская																																																								
																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																								
																																																								
		Сумма	УИК №1270	УИК №1271	УИК №1272	УИК №1273	УИК №1274	УИК №1275	УИК №1276	УИК №1277	УИК №1278	УИК №1279	УИК №1280	УИК №1281	УИК №1282	УИК №1283	УИК №1284	УИК №1285	УИК №1286	УИК №1287	УИК №1288	УИК №1289	УИК №1290	УИК №1291	УИК №1292	УИК №1293	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	40185	575	111	58	1170	251	185	2191	1696	181	230	176	753	93	312	66	2391	2843	2323	700	2711	607	360	1021	1182	114	1389	312	272	258	871	130	126	1536	2812	2185	361	458	2239	920	1322	1291	384	502	361	156									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	40000	600	100	50	1200	250	200	2200	1700	200	230	170	750	100	300	60	2400	2800	2300	700	2700	600	350	1000	1200	100	1450	300	300	250	900	120	120	1550	2800	2100	400	450	2200	850	1300	1300	400	500	300	150									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13528	283	53	22	355	87	70	843	504	75	93	65	215	43	143	35	584	868	600	228	922	178	110	353	369	39	555	120	118	73	320	55	71	536	912	628	163	237	835	368	413	415	196	159	152	65									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	915	20	12	4	23	13	0	59	52	2	22	0	13	4	14	0	34	69	120	20	36	7	7	30	30	4	16	6	12	7	39	5	0	43	48	13	13	2	37	22	12	11	0	18	16	0									
6	Число погашенных избирательных бюллетеней	25557	297	35	24	822	150	130	1298	1144	123	115	105	522	53	143	25	1782	1863	1580	452	1742	415	233	617	801	57	879	174	170	170	541	60	49	971	1840	1459	224	211	1328	460	875	874	204	323	132	85									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	915	20	12	4	23	13	0	59	52	2	22	0	13	4	14	0	34	69	120	20	36	7	7	30	30	4	16	6	12	7	39	5	0	43	48	13	13	2	37	22	12	11	0	18	16	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13524	283	53	22	355	87	70	841	504	75	93	65	215	43	143	35	584	868	600	228	922	178	110	353	369	39	555	120	117	73	320	55	71	536	912	628	163	237	835	367	413	415	196	159	152	65									
9	Число недействительных избирательных бюллетеней	471	13	0	2	17	0	4	29	22	12	3	8	0	3	1	0	27	33	22	6	30	7	5	9	18	0	20	1	2	1	9	4	0	14	18	22	4	6	24	11	10	17	21	13	2	1									
10	Число действительных избирательных бюллетеней	13968	290	65	24	361	100	66	871	534	65	112	57	228	44	156	35	591	904	698	242	928	178	112	374	381	43	551	125	127	79	350	56	71	565	942	619	172	233	848	378	415	409	175	164	166	64									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	281	2	2	2	8	3	2	11	13	3	3	2	5	2	0	0	14	18	13	4	13	5	3	1	8	0	28	0	11	1	8	2	2	8	14	10	3	10	13	6	12	8	3	0	3	2									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	209	1	0	0	5	1	0	11	10	0	2	1	3	1	0	0	11	18	6	4	13	4	1	1	8	0	21	0	11	0	6	1	0	5	10	10	3	8	11	6	9	5	0	0	2	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	248	5	1	0	1	4	1	8	5	0	2	3	3	2	3	4	10	12	6	12	15	8	5	4	4	3	3	3	2	2	3	3	1	11	5	9	3	1	4	3	19	14	8	3	28	2									
14	Число погашенных неиспользованных открепительных удостоверений	72	1	2	2	3	2	2	0	3	3	1	1	2	1	0	0	3	0	7	0	0	1	2	0	0	0	7	0	0	1	2	1	2	3	4	0	0	2	2	0	3	3	3	0	1	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	19	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	4	0	1	0	0	0	0	0	0	0	0	0	3	1	1	0	1	0	0	0	4	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	155	0	0	0	8	2	0	3	2	1	0	1	3	0	0	0	3	9	11	0	8	3	1	3	4	0	8	2	1	1	1	1	2	7	13	9	2	4	11	11	4	7	7	1	1	0									
		1.07%	0.00%	0.00%	0.00%	2.12%	2.00%	0.00%	0.33%	0.36%	1.30%	0.00%	1.54%	1.32%	0.00%	0.00%	0.00%	0.49%	0.96%	1.53%	0.00%	0.84%	1.62%	0.85%	0.78%	1.00%	0.00%	1.40%	1.59%	0.78%	1.25%	0.28%	1.67%	2.82%	1.21%	1.35%	1.40%	1.14%	1.67%	1.26%	2.83%	0.94%	1.64%	3.57%	0.56%	0.60%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	630	18	7	1	22	7	6	32	15	3	7	3	13	1	5	1	21	42	28	7	46	6	3	28	12	2	25	10	8	0	12	2	9	27	36	18	7	10	53	8	24	19	9	8	6	3									
		4.36%	5.94%	10.77%	3.85%	5.82%	7.00%	8.57%	3.56%	2.70%	3.90%	6.09%	4.62%	5.70%	2.13%	3.18%	2.86%	3.40%	4.48%	3.89%	2.82%	4.80%	3.24%	2.56%	7.31%	3.01%	4.65%	4.38%	7.94%	6.20%	0.00%	3.34%	3.33%	12.68%	4.66%	3.75%	2.81%	3.98%	4.18%	6.08%	2.06%	5.65%	4.46%	4.59%	4.52%	3.57%	4.62%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	255	7	2	0	4	2	2	17	5	0	3	2	7	0	6	0	7	13	11	5	17	3	0	5	9	2	11	6	0	3	7	1	0	13	15	11	0	5	13	10	5	8	7	6	4	1									
		1.77%	2.31%	3.08%	0.00%	1.06%	2.00%	2.86%	1.89%	0.90%	0.00%	2.61%	3.08%	3.07%	0.00%	3.82%	0.00%	1.13%	1.39%	1.53%	2.02%	1.77%	1.62%	0.00%	1.31%	2.26%	4.65%	1.93%	4.76%	0.00%	3.75%	1.95%	1.67%	0.00%	2.25%	1.56%	1.72%	0.00%	2.09%	1.49%	2.57%	1.18%	1.88%	3.57%	3.39%	2.38%	1.54%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5373	125	28	18	138	47	26	315	230	37	62	24	86	23	63	15	249	317	249	82	346	63	50	154	148	17	160	63	62	26	189	25	52	171	318	240	82	83	281	144	161	150	90	78	61	25									
		37.21%	41.25%	43.08%	69.23%	36.51%	47.00%	37.14%	35.00%	41.37%	48.05%	53.91%	36.92%	37.72%	48.94%	40.13%	42.86%	40.29%	33.83%	34.58%	33.06%	36.12%	34.05%	42.74%	40.21%	37.09%	39.53%	28.02%	50.00%	48.06%	32.50%	52.65%	41.67%	73.24%	29.53%	33.13%	37.44%	46.59%	34.73%	32.22%	37.02%	37.88%	35.21%	45.92%	44.07%	36.31%	38.46%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	80	1	0	0	0	0	1	6	3	0	0	0	2	1	1	0	1	4	3	3	6	1	0	2	0	0	7	1	0	0	1	0	0	5	7	4	2	2	4	4	4	2	1	1	0	0									
		0.55%	0.33%	0.00%	0.00%	0.00%	0.00%	1.43%	0.67%	0.54%	0.00%	0.00%	0.00%	0.88%	2.13%	0.64%	0.00%	0.16%	0.43%	0.42%	1.21%	0.63%	0.54%	0.00%	0.52%	0.00%	0.00%	1.23%	0.79%	0.00%	0.00%	0.28%	0.00%	0.00%	0.86%	0.73%	0.62%	1.14%	0.84%	0.46%	1.03%	0.94%	0.47%	0.51%	0.56%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	40	0	0	0	2	0	0	0	4	0	0	0	0	0	0	0	1	2	4	0	1	0	0	1	2	0	2	0	0	0	0	0	0	4	1	1	1	1	4	2	2	1	3	1	0	0									
		0.28%	0.00%	0.00%	0.00%	0.53%	0.00%	0.00%	0.00%	0.72%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.21%	0.56%	0.00%	0.10%	0.00%	0.00%	0.26%	0.50%	0.00%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.69%	0.10%	0.16%	0.57%	0.42%	0.46%	0.51%	0.47%	0.23%	1.53%	0.56%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3272	45	12	5	88	19	19	247	154	8	18	14	51	5	38	10	179	255	185	77	206	44	23	64	72	11	153	22	26	26	58	18	6	141	232	157	29	44	160	81	74	102	19	30	33	12									
