Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																
Дата голосования: 18.09.2016																																
																																
Наименование Избирательной комиссии:    Теньгушевская																																
																																
Сводная таблица итогов голосования по федеральному избирательному округу																																
																																
		Сумма	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	8272	1607	1716	111	131	120	1294	476	284	84	137	156	156	288	206	222	117	304	127	205	181	350									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8366	1616	1732	114	132	120	1315	481	288	90	142	160	157	289	210	222	122	304	131	206	182	353									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7668	1512	1618	104	120	105	1208	444	264	69	121	139	136	277	188	193	106	284	116	194	160	310									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	189	11	12	4	6	9	21	8	10	12	10	8	8	0	8	9	6	5	7	3	12	20									
6	Число погашенных избирательных бюллетеней	509	93	102	6	6	6	86	29	14	9	11	13	13	12	14	20	10	15	8	9	10	23									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	189	11	12	4	6	9	21	8	10	12	10	8	8	0	8	9	6	5	7	3	12	20									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7667	1512	1618	104	120	105	1208	444	264	69	121	139	136	277	188	193	106	284	116	194	160	309									
9	Число недействительных избирательных бюллетеней	10	0	0	0	0	0	3	0	0	0	0	1	0	0	0	6	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	7846	1523	1630	108	126	114	1226	452	274	81	131	146	144	277	196	196	112	289	123	197	172	329									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	130	25	26	2	2	2	20	7	6	3	2	2	2	4	3	3	2	6	2	3	3	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	53	11	13	0	1	0	8	3	1	3	1	2	0	1	1	3	2	1	0	0	0	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	33	8	4	0	1	2	0	3	4	1	0	0	1	2	0	2	0	0	1	1	1	2									
14	Число погашенных неиспользованных открепительных удостоверений	77	14	13	2	1	2	12	4	5	0	1	0	2	3	2	0	0	5	2	3	3	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	30	6	15	1	0	0	2	2	2	0	0	0	0	0	0	0	0	2	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	14	3	2	0	0	0	4	0	0	0	2	0	0	0	0	0	0	2	0	0	0	1									
		0.18%	0.20%	0.12%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	1.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.69%	0.00%	0.00%	0.00%	0.30%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	40	0	3	3	0	0	4	16	3	0	0	1	0	0	2	0	1	1	1	0	0	5									
		0.51%	0.00%	0.18%	2.78%	0.00%	0.00%	0.33%	3.54%	1.09%	0.00%	0.00%	0.68%	0.00%	0.00%	1.02%	0.00%	0.89%	0.35%	0.81%	0.00%	0.00%	1.52%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	16	7	1	0	0	0	2	0	1	0	0	2	0	0	0	0	0	0	2	0	0	1									
