Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																	
Дата голосования: 18.09.2016																																																																	
																																																																	
Наименование Избирательной комиссии:    Орловская																																																																	
																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																	
																																																																	
		Сумма	УИК №546	УИК №547	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	54271	444	293	1211	610	1162	1846	1216	2047	591	393	454	168	983	840	431	413	395	2632	867	427	479	1042	1518	668	1539	2079	908	922	2359	2542	1983	2277	436	219	544	821	428	888	801	164	534	1226	537	1298	595	281	278	1022	541	537	588	2400	1847	2547									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	54200	440	280	1200	600	1200	1830	1200	1950	590	380	440	170	1000	840	440	410	390	2640	860	430	530	1000	1550	670	1660	2070	850	820	2360	2560	1980	2300	420	210	550	750	430	960	800	300	540	1230	520	1280	590	280	280	1000	540	530	580	2340	1840	2590									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	21076	199	121	421	257	475	711	474	1055	151	151	187	68	433	222	167	172	180	1389	347	222	331	358	603	317	690	560	407	403	921	963	764	807	85	47	250	232	159	383	290	136	191	483	195	514	160	98	101	232	207	278	189	753	701	866									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3394	28	11	20	57	104	25	99	38	103	36	77	45	46	239	97	25	26	19	63	12	23	89	73	14	10	100	16	87	18	63	36	15	172	83	66	281	39	130	109	28	72	84	57	38	52	43	18	12	41	22	39	188	64	42									
6	Число погашенных избирательных бюллетеней	29730	213	148	759	286	621	1094	627	857	336	193	176	57	521	379	176	213	184	1232	450	196	176	553	874	339	960	1410	427	330	1421	1534	1180	1478	163	80	234	237	232	447	401	136	277	663	268	728	378	139	161	756	292	230	352	1399	1075	1682									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3394	28	11	20	57	104	25	99	38	103	36	77	45	46	239	97	25	26	19	63	12	23	89	73	14	10	100	16	87	18	63	36	15	172	83	66	281	39	130	109	28	72	84	57	38	52	43	18	12	41	22	39	188	64	42									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	21006	199	121	421	257	475	686	474	1043	151	151	187	68	433	222	167	172	180	1389	347	222	330	358	603	317	690	560	407	402	920	955	763	788	85	47	250	232	159	383	289	136	191	483	195	514	160	98	101	232	207	278	189	753	700	866									
9	Число недействительных избирательных бюллетеней	847	9	4	15	14	22	0	22	77	4	4	3	1	5	7	2	2	1	46	8	7	24	45	26	10	30	12	14	10	40	25	31	31	9	4	10	9	2	18	12	2	9	21	8	11	6	6	1	6	6	7	9	40	40	60									
10	Число действительных избирательных бюллетеней	23553	218	128	426	300	557	711	551	1004	250	183	261	112	474	454	262	195	205	1362	402	227	329	402	650	321	670	648	409	479	898	993	768	772	248	126	306	504	196	495	386	162	254	546	244	541	206	135	118	238	242	293	219	901	724	848									
