Выборы Президента Российской Федерации																				
																				
Наименование Избирательной комиссии:    Юстинская																				
																				
Итоги голосования 																				
																				
		Сумма	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226					
1	"Число избирателей, внесенных в список"	7290	1203	1077	651	943	572	556	369	374	94	420	463	464	104					
2	Число полученных избирательных бюллетеней	7632	1263	1067	702	980	611	566	392	408	102	442	496	493	110					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	4854	708	804	437	612	417	361	256	295	58	269	260	302	75					
5	"Число избирательных бюллетеней, выданных вне помещения"	1026	72	76	25	54	43	183	106	57	23	138	85	140	24					
6	Число погашенных избирательных бюллетеней	1752	483	187	240	314	151	22	30	56	21	35	151	51	11					
7	Число избирательных бюллетеней в переносных ящиках	1026	72	76	25	54	43	183	106	57	23	138	85	140	24					
8	Число бюллетеней в стационарных ящиках для голосования	4854	708	804	437	612	417	361	256	295	58	269	260	302	75					
9	Число недействительных избирательных бюллетеней	61	7	8	11	16	0	7	1	0	7	0	2	2	0					
10	Число действительных избирательных бюллетеней	5819	773	872	451	650	460	537	361	352	74	407	343	440	99					
11	Число полученных открепительных  удостоверений	250	20	20	20	15	25	20	20	25	5	20	30	25	5					
12	Число выданных открепительных удостоверений	250	20	20	20	15	25	20	20	25	5	20	30	25	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	47	1	12	6	1	2	1	5	2	0	2	7	7	1					
14	Число неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																				
18	. Глазьев Сергей Юрьевич	141	27	15	9	29	32	8	2	6	2	6	2	3	0					
		2.40%	3.46%	1.70%	1.95%	4.35%	6.96%	1.47%	0.55%	1.70%	2.47%	1.47%	0.58%	0.68%	0.00%					
19	. Малышкин Олег Александрович	26	1	9	0	3	1	5	1	2	0	1	0	2	1					
		0.44%	0.13%	1.02%	0.00%	0.45%	0.22%	0.92%	0.28%	0.57%	0.00%	0.25%	0.00%	0.45%	1.01%					
20	. Миронов Сергей Михайлович	15	1	1	2	6	1	1	1	2	0	0	0	0	0					
		0.26%	0.13%	0.11%	0.43%	0.90%	0.22%	0.18%	0.28%	0.57%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	4923	607	718	353	512	381	474	339	300	65	372	306	407	89					
		83.72%	77.82%	81.59%	76.41%	76.88%	82.83%	87.13%	93.65%	85.23%	80.25%	91.40%	88.70%	92.08%	89.90%					
22	. Хакамада Ирина Муцуовна	213	38	30	23	37	19	19	3	17	2	7	11	4	3					
		3.62%	4.87%	3.41%	4.98%	5.56%	4.13%	3.49%	0.83%	4.83%	2.47%	1.72%	3.19%	0.90%	3.03%					
23	. Харитонов Николай Михайлович	459	90	88	58	55	24	29	15	23	4	21	24	22	6					
		7.81%	11.54%	10.00%	12.55%	8.26%	5.22%	5.33%	4.14%	6.53%	4.94%	5.16%	6.96%	4.98%	6.06%					
																				
24	Против всех	42	9	11	6	8	2	1	0	2	1	0	0	2	0					
		0.71%	1.15%	1.25%	1.30%	1.20%	0.43%	0.18%	0.00%	0.57%	1.23%	0.00%	0.00%	0.45%	0.00%					
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
