Выборы Президента Российской Федерации																																	
																																	
Наименование Избирательной комиссии:    Волжская городская																																	
																																	
Итоги голосования 																																	
																																	
		Сумма	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150					
1	"Число избирателей, внесенных в список"	47776	2219	1845	2040	2054	1854	1806	1948	1854	1794	1770	1396	1899	1700	2285	2317	2324	2248	2257	1817	2222	1894	1691	1649	1750	542	601					
2	Число полученных избирательных бюллетеней	43040	2000	1600	1820	1830	1700	1600	1750	1670	1600	1600	1250	1700	1530	2050	2080	2100	2100	2030	1650	2000	1700	1530	1500	1600	500	550					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	25007	1170	933	987	1173	1074	960	978	973	952	970	824	944	843	1252	1228	1254	1122	1217	857	1147	1046	903	900	838	203	259					
5	"Число избирательных бюллетеней, выданных вне помещения"	807	47	130	52	28	31	34	55	16	20	8	19	29	35	23	13	6	13	11	28	24	28	23	24	22	70	18					
6	Число погашенных избирательных бюллетеней	17226	783	537	781	629	595	606	717	681	628	622	407	727	652	775	839	840	965	802	765	829	626	604	576	740	227	273					
7	Число избирательных бюллетеней в переносных ящиках	807	47	130	52	28	31	34	55	16	20	8	19	29	35	23	13	6	13	11	28	24	28	23	24	22	70	18					
8	Число бюллетеней в стационарных ящиках для голосования	25003	1170	933	987	1173	1074	960	978	973	952	969	822	944	842	1252	1228	1254	1122	1217	857	1147	1046	903	900	838	203	259					
9	Число недействительных избирательных бюллетеней	277	11	16	8	5	17	13	13	9	4	8	6	10	16	16	8	10	11	21	11	13	15	12	9	3	3	9					
10	Число действительных избирательных бюллетеней	25533	1206	1047	1031	1196	1088	981	1020	980	968	969	835	963	861	1259	1233	1250	1124	1207	874	1158	1059	914	915	857	270	268					
11	Число полученных открепительных  удостоверений	351	23	12	20	15	11	11	12	12	14	17	8	10	10	23	21	19	22	15	7	11	16	10	11	13	5	3					
12	Число выданных открепительных удостоверений	317	20	7	13	14	10	11	11	8	12	17	8	9	9	22	21	18	22	15	7	9	15	8	11	13	5	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	231	9	28	9	9	16	9	9	5	8	11	5	10	6	16	13	13	13	3	4	9	7	4	5	2	5	3					
14	Число неиспользованных открепительных удостоверений	34	3	5	7	1	1	0	1	4	2	0	0	1	1	1	0	1	0	0	0	2	1	2	0	0	0	1					
15	"Число открепительных удостоверений, выданных в ТИК"	49	0	2	7	1	1	3	3	1	1	1	2	3	1	1	1	0	2	4	5	2	3	1	2	2	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																	
18	. Глазьев Сергей Юрьевич	1202	44	38	42	51	73	54	43	34	57	56	40	44	31	60	50	56	66	61	46	42	56	45	46	40	10	17					
		4.66%	3.62%	3.57%	4.04%	4.25%	6.61%	5.43%	4.16%	3.44%	5.86%	5.73%	4.76%	4.52%	3.53%	4.71%	4.03%	4.44%	5.81%	4.97%	5.20%	3.59%	5.21%	4.86%	4.98%	4.65%	3.66%	6.14%					
19	. Малышкин Олег Александрович	559	23	21	26	25	16	19	22	29	27	12	16	26	19	24	37	32	28	15	23	27	21	19	21	23	4	4					
		2.17%	1.89%	1.98%	2.50%	2.08%	1.45%	1.91%	2.13%	2.93%	2.78%	1.23%	1.90%	2.67%	2.17%	1.88%	2.98%	2.54%	2.47%	1.22%	2.60%	2.31%	1.96%	2.05%	2.27%	2.67%	1.47%	1.44%					
20	. Миронов Сергей Михайлович	196	9	8	13	11	8	10	9	3	11	9	2	11	7	9	6	11	7	10	3	7	7	7	4	11	3	0					
		0.76%	0.74%	0.75%	1.25%	0.92%	0.72%	1.01%	0.87%	0.30%	1.13%	0.92%	0.24%	1.13%	0.80%	0.71%	0.48%	0.87%	0.62%	0.81%	0.34%	0.60%	0.65%	0.76%	0.43%	1.28%	1.10%	0.00%					
21	. Путин Владимир Владимирович	16786	841	713	704	805	672	626	662	646	577	642	577	599	555	856	811	863	745	810	582	758	698	576	578	519	191	180					
