Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																			
Дата голосования: 07.12.2003 0:00:00																			
																			
Наименование Избирательной комиссии:    Батецкая																			
																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																			
																			
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12					
1	"Число избирателей, внесенных в списки"	5300	1914	439	180	218	534	247	388	259	292	171	133	525					
2	"Число бюллетеней, полученных участковыми комиссиями"	5267	1921	432	180	214	529	233	384	261	288	170	132	523					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	2224	957	180	53	61	164	88	153	138	97	39	85	209					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1166	161	92	77	122	180	100	102	32	102	93	25	80					
6	Число погашенных бюллетеней	1877	803	160	50	31	185	45	129	91	89	38	22	234					
7	Число бюллетеней в переносных ящиках для голосования	1166	161	92	77	122	180	100	102	32	102	93	25	80					
8	Число бюллетеней в стационарных ящиках для голосования	2224	957	180	53	61	164	88	153	138	97	39	85	209					
9	Число недействительных бюллетеней	37	18	4	0	3	4	1	1	0	0	0	0	6					
10	Число действительных бюллетеней	3353	1100	268	130	180	340	187	254	170	199	132	110	283					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	90	30	7	4	5	7	5	5	5	5	5	5	7					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	28	20	2	0	1	1	2	0	1	0	0	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	45	10	3	1	5	5	3	3	2	3	3	3	4					
14	Число погашенных открепительных удостоверений	62	10	5	4	4	6	3	5	4	5	5	5	6					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	0	0	0	1	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
																			
18	"1. ""ЕДИНЕНИЕ"""	36	6	6	0	1	5	1	4	1	4	0	3	5					
		1.06%	0.53%	2.20%	0.0%	0.54%	1.45%	0.53%	1.56%	0.58%	2.01%	0.0%	2.72%	1.73%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	57	28	2	0	0	4	1	2	2	1	1	12	4					
		1.68%	2.50%	0.73%	0.0%	0.0%	1.16%	0.53%	0.78%	1.17%	0.50%	0.75%	10.90%	1.38%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	68	18	7	0	6	5	6	7	3	8	3	3	2					
		2.00%	1.61%	2.57%	0.0%	3.27%	1.45%	3.19%	2.74%	1.76%	4.02%	2.27%	2.72%	0.69%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	72	20	8	8	3	9	4	6	6	1	0	1	6					
		2.12%	1.78%	2.94%	6.15%	1.63%	2.61%	2.12%	2.35%	3.52%	0.50%	0.0%	0.90%	2.07%					
22	"5. ""За Русь Святую"""	17	6	2	0	0	3	1	2	0	1	0	1	1					
		0.50%	0.53%	0.73%	0.0%	0.0%	0.87%	0.53%	0.78%	0.0%	0.50%	0.0%	0.90%	0.34%					
23	"6. ""Объединенная Российская партия ""Русь"""	15	4	1	0	0	0	1	1	1	3	0	1	3					
		0.44%	0.35%	0.36%	0.0%	0.0%	0.0%	0.53%	0.39%	0.58%	1.50%	0.0%	0.90%	1.03%					
24	"7. ""Новый курс - Автомобильная Россия"""	8	2	1	0	1	0	1	0	1	1	0	0	1					
		0.23%	0.17%	0.36%	0.0%	0.54%	0.0%	0.53%	0.0%	0.58%	0.50%	0.0%	0.0%	0.34%					
25	"8. ""Народно-республиканская партия России"""	3	1	1	0	0	1	0	0	0	0	0	0	0					
		0.08%	0.08%	0.36%	0.0%	0.0%	0.29%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	9	4	0	1	1	1	0	1	0	1	0	0	0					
		0.26%	0.35%	0.0%	0.76%	0.54%	0.29%	0.0%	0.39%	0.0%	0.50%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	226	48	36	6	9	30	13	18	11	22	12	3	18					
		6.66%	4.29%	13.23%	4.61%	4.91%	8.72%	6.91%	7.05%	6.47%	11.05%	9.09%	2.72%	6.22%					
28	"11. ""Истинные патриоты России"""	3	0	0	0	0	1	0	1	0	0	1	0	0					
		0.08%	0.0%	0.0%	0.0%	0.0%	0.29%	0.0%	0.39%	0.0%	0.0%	0.75%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	38	12	2	2	0	3	6	1	1	4	1	2	4					
		1.12%	1.07%	0.73%	1.53%	0.0%	0.87%	3.19%	0.39%	0.58%	2.01%	0.75%	1.81%	1.38%					
30	"13. ""Демократическая партия России"""	17	8	1	0	1	1	0	1	1	2	1	1	0					
