Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																						
Дата голосования: 18.09.2016																																						
																																						
Наименование Избирательной комиссии:    Намская																																						
																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																						
																																						
		Сумма	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	15577	777	1046	685	299	1257	507	155	263	87	199	199	129	1043	449	168	621	414	608	103	256	917	823	1059	1042	1019	504	948									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15150	800	1000	650	280	1200	500	150	300	80	200	190	100	1000	500	150	600	400	600	100	250	900	800	1000	1000	1000	450	950									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8192	377	565	529	174	652	243	100	151	44	119	101	80	628	243	107	342	213	343	61	143	558	396	477	472	388	228	458									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	412	26	48	12	11	46	11	8	6	2	4	0	0	32	24	5	13	9	14	3	8	11	6	50	21	15	13	14									
6	Число погашенных избирательных бюллетеней	6546	397	387	109	95	502	246	42	143	34	77	89	20	340	233	38	245	178	243	36	99	331	398	473	507	597	209	478									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	412	26	48	12	11	46	11	8	6	2	4	0	0	32	24	5	13	9	14	3	8	11	6	50	21	15	13	14									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8192	377	565	529	174	652	243	100	151	44	119	101	80	628	243	107	342	213	343	61	143	558	396	477	472	388	228	458									
9	Число недействительных избирательных бюллетеней	97	7	8	9	0	6	5	5	1	0	0	1	1	10	2	2	1	1	2	1	1	6	6	2	11	1	3	5									
10	Число действительных избирательных бюллетеней	8507	396	605	532	185	692	249	103	156	46	123	100	79	650	265	110	354	221	355	63	150	563	396	525	482	402	238	467									
