Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва														
Дата голосования: 07.12.2003 0:00:00														
														
Наименование Избирательной комиссии:    Бронницкая городская														
														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)														
														
		Сумма	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80					
1	"Число избирателей, внесенных в списки"	14977	2482	2154	2100	2277	1706	2043	2215					
2	"Число бюллетеней, полученных участковыми комиссиями"	14200	2217	2049	1996	2235	1644	2014	2045					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	8496	1436	1183	1252	1292	981	1102	1250					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	253	32	23	42	19	51	40	46					
6	Число погашенных бюллетеней	5451	749	843	702	924	612	872	749					
7	Число бюллетеней в переносных ящиках для голосования	253	32	23	42	19	51	40	46					
8	Число бюллетеней в стационарных ящиках для голосования	8459	1436	1152	1250	1291	978	1102	1250					
9	Число недействительных бюллетеней	211	7	30	22	29	14	69	40					
10	Число действительных бюллетеней	8501	1461	1145	1270	1281	1015	1073	1256					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	345	50	45	50	50	50	50	50					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	66	9	12	8	7	12	6	12					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	60	15	13	5	4	11	5	7					
14	Число погашенных открепительных удостоверений	279	41	33	42	43	38	44	38					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0					
														
18	"1. ""ЕДИНЕНИЕ"""	91	17	15	6	13	13	12	15					
		1.04%	1.15%	1.27%	0.46%	0.99%	1.26%	1.05%	1.15%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	334	55	61	34	52	44	41	47					
		3.83%	3.74%	5.19%	2.63%	3.96%	4.27%	3.59%	3.62%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	227	41	36	32	28	38	23	29					
		2.60%	2.79%	3.06%	2.47%	2.13%	3.69%	2.01%	2.23%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	392	69	43	80	64	39	40	57					
		4.49%	4.70%	3.65%	6.19%	4.88%	3.79%	3.50%	4.39%					
22	"5. ""За Русь Святую"""	42	9	7	2	5	4	8	7					
		0.48%	0.61%	0.59%	0.15%	0.38%	0.38%	0.70%	0.54%					
23	"6. ""Объединенная Российская партия ""Русь"""	27	0	4	6	3	5	6	3					
		0.30%	0.0%	0.34%	0.46%	0.22%	0.48%	0.52%	0.23%					
24	"7. ""Новый курс - Автомобильная Россия"""	174	32	35	23	33	9	17	25					
		1.99%	2.17%	2.97%	1.78%	2.51%	0.87%	1.48%	1.92%					
25	"8. ""Народно-республиканская партия России"""	11	2	0	1	4	2	0	2					
		0.12%	0.13%	0.0%	0.07%	0.30%	0.19%	0.0%	0.15%					
26	"9. ""Российская экологическая партия ""Зеленые"""	21	1	2	4	3	6	5	0					
		0.24%	0.06%	0.17%	0.30%	0.22%	0.58%	0.43%	0.0%					
27	"10. ""Аграрная партия России"""	175	30	30	27	27	21	19	21					
		2.00%	2.04%	2.55%	2.08%	2.06%	2.04%	1.66%	1.62%					
28	"11. ""Истинные патриоты России"""	11	1	1	2	0	4	2	1					
		0.12%	0.06%	0.08%	0.15%	0.0%	0.38%	0.17%	0.07%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	161	31	26	19	29	13	23	20					
		1.84%	2.11%	2.21%	1.47%	2.21%	1.26%	2.01%	1.54%					
30	"13. ""Демократическая партия России"""	14	0	2	2	1	6	3	0					
		0.16%	0.0%	0.17%	0.15%	0.07%	0.58%	0.26%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	12	0	1	4	3	1	1	2					
		0.13%	0.0%	0.08%	0.30%	0.22%	0.09%	0.08%	0.15%					
32	"15. ""Партия СЛОН"""	26	5	4	2	2	3	1	9					
