Выборы Президента Российской Федерации											
											
Наименование Избирательной комиссии:    район Восточный											
											
Итоги голосования 											
											
		Сумма	УИК №930	УИК №931	УИК №932	УИК №933					
1	"Число избирателей, внесенных в список"	7677	2009	2118	2522	1028					
2	Число полученных избирательных бюллетеней	8000	2150	2150	2600	1100					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	4704	1225	1246	1612	621					
5	"Число избирательных бюллетеней, выданных вне помещения"	173	70	41	43	19					
6	Число погашенных избирательных бюллетеней	3123	855	863	945	460					
7	Число избирательных бюллетеней в переносных ящиках	173	70	41	43	19					
8	Число бюллетеней в стационарных ящиках для голосования	4632	1155	1246	1612	619					
9	Число недействительных избирательных бюллетеней	56	11	20	20	5					
10	Число действительных избирательных бюллетеней	4749	1214	1267	1635	633					
11	Число полученных открепительных  удостоверений	296	80	80	80	56					
12	Число выданных открепительных удостоверений	70	22	26	14	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	51	11	14	12	14					
14	Число неиспользованных открепительных удостоверений	226	58	54	66	48					
15	"Число открепительных удостоверений, выданных в ТИК"	4	0	3	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"											
18	. Глазьев Сергей Юрьевич	258	70	68	83	37					
		5.37%	5.71%	5.28%	5.02%	5.80%					
19	. Малышкин Олег Александрович	41	10	7	18	6					
		0.85%	0.82%	0.54%	1.09%	0.94%					
20	. Миронов Сергей Михайлович	23	5	5	7	6					
		0.48%	0.41%	0.39%	0.42%	0.94%					
21	. Путин Владимир Владимирович	3504	883	936	1224	461					
		72.92%	72.08%	72.73%	73.96%	72.26%					
22	. Хакамада Ирина Муцуовна	235	66	63	78	28					
		4.89%	5.39%	4.90%	4.71%	4.39%					
23	. Харитонов Николай Михайлович	364	88	103	129	44					
		7.58%	7.18%	8.00%	7.79%	6.90%					
											
24	Против всех	324	92	85	96	51					
		6.74%	7.51%	6.60%	5.80%	7.99%					
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
