Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																																																																																																																								
Дата голосования: 18.09.2016																																																																																																																																																																																																								
																																																																																																																																																																																																								
"Наименование Избирательной комиссии:    Нижний Новгород, Нижегородская"																																																																																																																																																																																																								
																																																																																																																																																																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																																																																																																																								
																																																																																																																																																																																																								
		Сумма	УИК №2537	УИК №2538	УИК №2539	УИК №2540	УИК №2541	УИК №2542	УИК №2543	УИК №2544	УИК №2545	УИК №2546	УИК №2547	УИК №2548	УИК №2549	УИК №2550	УИК №2551	УИК №2552	УИК №2553	УИК №2554	УИК №2555	УИК №2556	УИК №2557	УИК №2558	УИК №2559	УИК №2560	УИК №2561	УИК №2562	УИК №2563	УИК №2564	УИК №2565	УИК №2566	УИК №2567	УИК №2568	УИК №2569	УИК №2570	УИК №2571	УИК №2572	УИК №2573	УИК №2574	УИК №2575	УИК №2576	УИК №2577	УИК №2578	УИК №2579	УИК №2580	УИК №2581	УИК №2582	УИК №2583	УИК №2584	УИК №2585	УИК №2586	УИК №2587	УИК №2588	УИК №2589	УИК №2590	УИК №2591	УИК №2592	УИК №2593	УИК №2594	УИК №3000	УИК №3001	УИК №3002	УИК №3003	УИК №3004	УИК №3005	УИК №3006	УИК №3007	УИК №3008	УИК №3009	УИК №3010	УИК №3011	УИК №3012	УИК №3013	УИК №3014	УИК №3015	УИК №3016	УИК №3017	УИК №3018	УИК №3019	УИК №3020	УИК №3021	УИК №3022	УИК №3023	УИК №3024	УИК №3025	УИК №3026	УИК №3027	УИК №3028	УИК №3029	УИК №3030	УИК №3031	УИК №3032	УИК №3033	УИК №3034	УИК №3035	УИК №3036	УИК №3037	УИК №3038	УИК №3039	УИК №3040	УИК №3041	УИК №3042	УИК №3043	УИК №3044	УИК №3045	УИК №3046	УИК №3047	УИК №3048	УИК №3049	УИК №3050	УИК №3051	УИК №3052	УИК №3053	УИК №3054	УИК №3055	УИК №3056	УИК №3057	УИК №3058	УИК №3059	УИК №3060	УИК №3061	УИК №3062	УИК №3063	УИК №3064	УИК №3065	УИК №3066	УИК №3067	УИК №3068	УИК №3069	УИК №3070	УИК №3071	УИК №3072	УИК №3073	УИК №3074	УИК №3075	УИК №3076	УИК №3077	УИК №3078	УИК №3079	УИК №3081	УИК №3082	УИК №3083	УИК №3084	УИК №3085	УИК №3088	УИК №3089	УИК №3090	УИК №3091	УИК №3092	УИК №3093	УИК №3094	УИК №3095	УИК №3096	УИК №3097	УИК №3099	УИК №3101	УИК №3103	УИК №3104	УИК №3105	УИК №3106	УИК №3107	УИК №3108	УИК №3109	УИК №3111	УИК №3113	УИК №3114	УИК №3116	УИК №3117	УИК №3118	УИК №3119	УИК №3120	УИК №3121	УИК №3122	УИК №3123	УИК №3125	УИК №3126	УИК №3127	УИК №3128	УИК №3129	УИК №3130	УИК №3131	УИК №3132	УИК №3133	УИК №3134	УИК №8026	УИК №8027	УИК №8031	УИК №8032	УИК №8033	УИК №8034									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	116076	1688	1950	2281	1405	2132	1958	1482	1548	1943	2069	1577	1015	2067	1086	1479	1257	1410	1526	2214	2107	2371	2556	1022	2118	1922	1583	1510	2412	2284	1671	2456	2207	1950	1153	2413	2125	1995	2013	2015	1202	2223	2492	2004	2282	1655	1628	1998	2289	1237	2360	2363	2323	2772	3097	2114	1081	1022	1062	12	12	13	13	12	10	13	12	12	11	11	12	11	11	11	11	12	11	12	12	12	12	11	12	12	12	12	10	12	12	12	12	12	12	12	12	11	13	12	12	12	12	12	13	10	11	9	10	12	9	9	9	9	9	11	9	9	14	10	15	12	12	9	13	13	12	13	11	12	13	13	12	11	11	13	13	12	9	4	12	12	12	12	12	11	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	9	13	13	13	13	13	13	10	11	12	12	12	12	12	14	8	8	8	8	10	10	10	11	1329	982	358	979	1168	653									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	112157	1500	1800	2100	1300	2000	1800	279	1300	1800	1800	1550	220	1900	900	496	412	340	1250	2000	1800	1900	2400	900	2000	1800	515	530	2300	2100	1500	2300	2100	1800	1000	1800	1900	1700	1800	1800	161	2100	2100	2000	2100	2100	372	1900	2100	301	2200	2200	2200	2600	2900	1900	1000	950	950	12	14	15	15	14	12	15	14	12	13	13	14	13	13	13	13	14	13	14	14	14	14	13	14	14	14	14	13	14	14	14	14	14	14	14	14	13	15	14	12	14	14	14	15	12	13	11	12	14	11	11	11	11	11	13	11	11	16	12	17	14	14	9	15	15	14	15	13	14	15	15	14	13	13	15	15	14	10	6	14	12	14	12	12	14	14	14	12	14	12	14	14	14	12	14	14	12	14	14	14	14	14	14	15	15	15	13	13	13	12	13	14	14	12	14	14	14	10	10	10	10	10	10	12	13	7200	6500	1926	1550	1744	760									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	1902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	12	13	13	12	10	13	10	12	11	11	12	11	11	11	11	12	11	12	12	12	12	11	12	11	12	12	10	12	12	10	12	12	12	12	12	11	13	12	12	12	12	12	13	10	11	9	10	12	9	9	9	9	9	11	9	9	14	10	15	12	12	9	13	13	12	13	11	12	13	13	12	11	10	13	13	12	9	4	12	12	8	12	12	11	12	12	12	12	12	12	12	12	12	12	11	12	12	12	12	12	12	9	13	13	13	10	12	13	10	11	12	12	12	12	12	14	8	8	8	8	9	10	10	11	118	367	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	35878	454	638	728	436	528	534	279	285	529	624	412	218	587	204	482	408	335	392	624	680	566	748	290	639	425	510	523	713	636	503	816	759	568	266	619	652	1053	554	606	151	639	924	681	653	596	372	619	597	298	613	683	709	773	787	602	258	176	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1207	615	358	849	1009	640									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2341	68	1	28	2	4	29	0	159	102	34	24	2	32	49	14	4	5	146	61	66	119	23	107	24	13	5	7	7	35	6	3	15	1	4	110	10	325	5	1	10	0	1	5	8	8	0	6	3	3	28	5	2	3	0	1	2	209	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	130	159	13									
6	Число погашенных избирательных бюллетеней	72036	978	1161	1344	862	1468	1237	0	856	1169	1142	1114	0	1281	647	0	0	0	712	1315	1054	1215	1629	503	1337	1362	0	0	1580	1429	991	1481	1326	1231	730	1071	1238	322	1241	1193	0	1461	1175	1314	1439	1496	0	1275	1500	0	1559	1512	1489	1824	2113	1297	740	565	613	0	2	2	2	2	2	2	4	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	3	2	2	4	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	3	2	2	2	1	2	2	0	6	0	0	3	2	2	0	2	0	2	2	2	0	2	3	0	2	2	2	2	2	5	2	2	2	3	1	0	2	2	2	2	0	2	2	0	2	2	2	2	1	0	2	2	5871	5518	1568	571	576	107									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	4224	68	1	28	2	4	29	0	159	102	34	24	2	32	49	14	4	5	146	61	58	119	23	107	23	13	5	7	7	35	6	3	15	1	4	110	10	325	5	1	10	0	1	5	8	8	0	6	3	3	28	5	2	3	0	1	2	209	91	12	12	13	13	12	10	13	10	12	10	11	12	11	11	11	11	12	11	12	12	12	12	11	12	11	12	12	10	12	12	10	12	12	12	12	12	11	13	12	12	12	12	12	13	10	11	9	10	12	9	9	9	9	9	11	9	9	14	10	15	12	12	9	13	13	12	13	11	12	13	13	12	11	10	13	13	12	9	4	12	12	8	12	5	11	12	12	12	12	12	12	12	12	12	12	11	12	12	12	12	12	12	9	13	11	13	10	12	13	10	11	12	12	12	12	12	14	8	8	8	8	9	10	10	11	122	367	0	130	159	13									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	35750	454	638	728	436	528	533	278	285	528	621	412	213	587	204	473	403	333	392	621	680	566	746	290	639	425	506	504	713	636	503	814	740	568	264	619	651	1044	549	606	151	639	910	681	652	596	359	619	593	297	613	683	709	773	787	601	258	176	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1207	614	358	849	1009	640									
9	Число недействительных избирательных бюллетеней	881	7	13	11	10	8	5	4	16	10	17	6	19	6	3	7	19	4	6	7	12	10	21	5	18	4	8	16	12	46	16	21	18	8	15	7	16	32	7	3	4	19	15	31	6	17	31	7	13	3	17	10	21	13	18	17	6	9	10	0	0	0	0	0	0	0	3	0	0	1	1	1	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	5	3	0	2	0	0	0	0	12	0	0	0	2	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6	1	0	0	0	0	0	0	3	10	1	17	19	5	13	13	9									
10	Число действительных избирательных бюллетеней	39093	515	626	745	428	524	557	274	428	620	638	430	196	613	250	480	388	334	532	675	726	675	748	392	644	434	503	495	708	625	493	796	737	561	253	722	645	1337	547	604	157	620	896	655	654	587	328	618	583	297	624	678	690	763	769	585	254	376	327	12	12	13	13	12	10	13	7	12	10	10	11	10	11	11	11	9	11	12	12	12	12	11	12	11	11	12	10	12	12	10	12	12	12	12	12	11	13	12	12	11	12	12	13	10	11	9	10	12	9	9	8	9	9	11	9	9	14	10	15	12	12	9	13	13	12	13	11	12	13	13	12	11	10	13	12	12	9	2	7	9	8	10	5	11	12	12	0	12	12	12	10	9	12	12	10	12	12	12	12	12	12	9	13	11	13	10	12	13	10	11	11	12	12	6	11	14	8	8	8	8	9	7	0	10	1312	962	353	966	1155	644									
