Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																											
Дата голосования: 18.09.2016																																											
																																											
Наименование Избирательной комиссии:    Минусинская																																											
																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																											
																																											
		Сумма	УИК №1595	УИК №1596	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	20952	1759	432	629	942	850	1418	304	1925	651	218	691	325	1060	165	393	2070	377	425	239	530	1857	115	488	192	260	657	332	64	110	426	245	803									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	20190	1750	430	620	890	850	1300	290	1920	650	210	690	320	1010	160	350	1920	330	330	230	520	1800	110	470	190	250	650	320	60	110	420	240	800									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8758	765	176	224	380	310	610	108	762	235	72	301	131	517	79	181	879	201	131	104	237	687	61	195	89	129	306	199	27	51	173	92	346									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	328	22	18	4	9	11	12	10	21	30	4	4	3	12	2	33	11	1	9	4	11	33	0	11	3	10	3	7	6	3	14	3	4									
6	Число погашенных избирательных бюллетеней	11104	963	236	392	501	529	678	172	1137	385	134	385	186	481	79	136	1030	128	190	122	272	1080	49	264	98	111	341	114	27	56	233	145	450									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	328	22	18	4	9	11	12	10	21	30	4	4	3	12	2	33	11	1	9	4	11	33	0	11	3	10	3	7	6	3	14	3	4									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8757	765	176	224	380	310	610	108	762	235	72	301	131	517	79	181	878	201	131	104	237	687	61	195	89	129	306	199	27	51	173	92	346									
9	Число недействительных избирательных бюллетеней	341	35	16	16	9	11	15	3	19	12	1	7	6	15	6	3	36	7	1	1	3	42	1	7	3	6	11	11	0	2	10	4	22									
10	Число действительных избирательных бюллетеней	8744	752	178	212	380	310	607	115	764	253	75	298	128	514	75	211	853	195	139	107	245	678	60	199	89	133	298	195	33	52	177	91	328									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	550	40	10	10	30	10	30	10	40	20	10	10	10	30	10	10	50	20	10	10	10	40	10	10	10	10	20	10	10	10	10	10	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	122	6	0	1	6	2	8	1	22	9	0	1	3	7	3	1	16	4	7	1	2	4	0	1	1	1	4	1	0	2	4	0	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	460	7	5	7	24	3	66	6	26	4	2	4	1	16	5	9	137	50	9	7	6	9	4	6	4	6	6	9	5	3	9	1	4									
14	Число погашенных неиспользованных открепительных удостоверений	428	34	10	9	24	8	22	9	18	11	10	9	7	23	7	9	34	16	3	9	8	36	10	9	9	9	16	9	10	8	6	10	16									
