Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																												
Дата голосования: 04.12.2011																																																												
																																																												
Наименование Избирательной комиссии:    Невельская судовая																																																												
																																																												
Сводная таблица результатов выборов																																																												
																																																												
		Сумма	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №572	УИК №573	УИК №574	УИК №575	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №613					
1	"Число избирателей, внесенных в список избирателей"	1742	45	26	24	25	25	17	25	21	20	20	20	31	32	31	31	32	30	18	21	21	30	31	14	88	57	40	45	90	86	86	82	32	51	29	24	30	12	41	17	16	16	15	11	17	19	21	28	29	78	30	18	17	27					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	1742	45	26	24	25	25	17	25	21	20	20	20	31	32	31	31	32	30	18	21	21	30	31	14	88	57	40	45	90	86	86	82	32	51	29	24	30	12	41	17	16	16	15	11	17	19	21	28	29	78	30	18	17	27					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	1691	45	26	24	25	22	17	25	21	20	20	20	31	32	31	9	32	30	18	16	21	30	31	14	75	56	40	45	90	86	86	82	32	51	29	22	29	12	37	17	16	16	15	11	17	19	21	28	29	78	30	18	17	27					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	51	0	0	0	0	3	0	0	0	0	0	0	0	0	0	22	0	0	0	5	0	0	0	0	13	1	0	0	0	0	0	0	0	0	0	2	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	1691	45	26	24	25	22	17	25	21	20	20	20	31	32	31	9	32	30	18	16	21	30	31	14	75	56	40	45	90	86	86	82	32	51	29	22	29	12	37	17	16	16	15	11	17	19	21	28	29	78	30	18	17	27					
9	Число недействительных избирательных бюллетеней	16	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	6	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	1675	44	26	24	25	22	17	25	21	20	20	20	31	32	31	9	32	30	18	16	21	30	31	13	70	56	40	45	90	86	86	76	31	51	29	22	29	12	36	17	16	16	15	11	16	19	21	28	29	78	30	18	17	27					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
