Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																														
Дата голосования: 02.12.2007																																																																														
																																																																														
Наименование Избирательной комиссии:    Невельская судовая																																																																														
																																																																														
Сводная таблица результатов выборов																																																																														
																																																																														
		Сумма	УИК №551	УИК №552	УИК №553	УИК №554	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №581	УИК №582	УИК №583	УИК №584	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631					
1	"Число избирателей, внесенных в списки избирателей"	1852	31	7	16	17	26	15	17	31	16	32	31	30	19	20	28	25	27	28	13	17	25	10	25	4	42	13	4	14	8	4	13	10	87	87	87	28	83	31	30	29	29	37	16	20	14	15	21	20	20	26	20	20	20	23	20	25	18	25	21	21	25	20	30	50	45	24	29	18	54	18	28					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	1855	31	7	16	17	26	15	17	31	16	32	31	30	19	20	28	25	27	28	13	17	25	10	25	4	42	13	4	14	8	4	13	10	87	87	87	28	83	31	30	29	29	37	16	20	14	15	24	20	20	26	20	20	20	23	20	25	18	25	21	21	25	20	30	50	45	24	29	18	54	18	28					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	1787	31	7	16	17	26	15	17	31	16	32	31	30	19	20	28	25	27	26	13	8	25	6	25	4	42	13	4	14	8	4	13	10	87	59	87	28	62	31	30	29	29	37	16	20	14	15	21	20	20	26	20	20	20	23	20	25	18	25	21	21	24	20	30	50	45	24	29	18	54	18	28					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	9	0	4	0	0	0	0	0	0	0	0	0	0	0	28	0	0	21	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	1786	31	7	16	17	26	15	17	31	16	32	31	30	19	20	28	25	27	26	13	8	25	6	25	4	42	13	4	14	8	4	13	10	87	59	87	28	61	31	30	29	29	37	16	20	14	15	21	20	20	26	20	20	20	23	20	25	18	25	21	21	24	20	30	50	45	24	29	18	54	18	28					
9	Число недействительных избирательных бюллетеней	40	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	3	0	2	0	9	5	0	0	0	0	1	0	0	2	1	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	1746	31	7	16	17	26	15	17	30	15	32	31	30	19	20	28	23	27	26	13	8	24	6	25	4	42	13	4	14	8	4	13	10	81	58	87	28	58	31	28	29	20	32	16	20	14	15	20	20	20	24	19	20	18	23	17	25	18	25	21	21	24	20	30	50	45	24	29	18	54	18	28					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																														
18	1.Политическая партия «Аграрная партия России»	33	0	0	0	0	0	0	1	2	0	0	1	0	0	0	2	1	2	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	2	1	2	0	1	0	0	0	0	3	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	3	0	2	0	0	0	0	1	0					
		1.85%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	5.88%	6.45%	0.00%	0.00%	3.23%	0.00%	0.00%	0.00%	7.14%	4.00%	7.41%	0.00%	0.00%	0.00%	4.00%	0.00%	0.00%	0.00%	4.76%	0.00%	0.00%	0.00%	0.00%	0.00%	7.69%	0.00%	2.30%	1.69%	2.30%	0.00%	1.64%	0.00%	0.00%	0.00%	0.00%	8.11%	0.00%	0.00%	0.00%	6.67%	4.76%	0.00%	0.00%	0.00%	0.00%	5.00%	0.00%	0.00%	5.00%	0.00%	0.00%	0.00%	0.00%	4.76%	0.00%	0.00%	10.00%	0.00%	4.44%	0.00%	0.00%	0.00%	0.00%	5.56%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	33	0	0	0	0	0	2	2	0	0	0	3	0	0	0	1	0	2	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	2	0	1	0	2	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	1	0	1	0	5	0	0					
		1.85%	0.00%	0.00%	0.00%	0.00%	0.00%	13.33%	11.76%	0.00%	0.00%	0.00%	9.68%	0.00%	0.00%	0.00%	3.57%	0.00%	7.41%	0.00%	0.00%	0.00%	4.00%	16.67%	8.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.30%	0.00%	1.15%	0.00%	3.28%	0.00%	6.67%	0.00%	0.00%	2.70%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	10.00%	6.67%	0.00%	2.22%	0.00%	3.45%	0.00%	9.26%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	17	0	0	0	4	0	0	1	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0					
		0.95%	0.00%	0.00%	0.00%	23.53%	0.00%	0.00%	5.88%	3.23%	0.00%	0.00%	0.00%	0.00%	0.00%	10.00%	0.00%	0.00%	3.70%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.30%	0.00%	0.00%	6.45%	0.00%	0.00%	0.00%	0.00%	6.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.17%	10.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	160	1	0	0	2	0	1	1	1	4	0	1	0	0	2	4	2	2	0	1	0	1	1	5	0	2	3	0	2	0	0	1	2	13	5	16	3	7	1	3	3	3	1	2	20	0	0	3	0	0	2	2	3	2	0	5	0	0	1	1	0	0	0	2	3	5	6	0	2	4	2	1					
		8.96%	3.23%	0.00%	0.00%	11.76%	0.00%	6.67%	5.88%	3.23%	25.00%	0.00%	3.23%	0.00%	0.00%	10.00%	14.29%	8.00%	7.41%	0.00%	7.69%	0.00%	4.00%	16.67%	20.00%	0.00%	4.76%	23.08%	0.00%	14.29%	0.00%	0.00%	7.69%	20.00%	14.94%	8.47%	18.39%	10.71%	11.48%	3.23%	10.00%	10.34%	10.34%	2.70%	12.50%	10.00%	0.00%	0.00%	14.29%	0.00%	0.00%	7.69%	10.00%	15.00%	10.00%	0.00%	25.00%	0.00%	0.00%	4.00%	4.76%	0.00%	0.00%	0.00%	6.67%	6.00%	11.11%	25.00%	0.00%	11.11%	7.41%	11.11%	3.57%					
