Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																	
Дата голосования: 18.09.2016																																																	
																																																	
Наименование Избирательной комиссии:    Красночикойская																																																	
																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																	
																																																	
		Сумма	УИК №2001	УИК №2002	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2015	УИК №2016	УИК №2017	УИК №2018	УИК №2019	УИК №2020	УИК №2021	УИК №2022	УИК №2023	УИК №2024	УИК №2025	УИК №2026	УИК №2027	УИК №2028	УИК №2029	УИК №2030	УИК №2031	УИК №2032	УИК №2033	УИК №2034	УИК №2035	УИК №2036	УИК №2037	УИК №2038									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	15158	113	589	175	183	491	132	701	126	264	96	106	376	82	402	723	2597	2617	506	111	55	222	261	259	204	69	358	134	559	277	120	73	164	423	57	302	811	297	123									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15150	113	570	176	189	494	131	638	132	262	96	107	386	87	412	729	2644	2625	504	116	57	226	261	257	204	68	361	134	560	281	121	73	162	411	58	260	825	296	124									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	226	0	33	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	58	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4648	42	182	37	84	136	81	190	41	117	49	53	121	42	125	247	572	649	191	61	29	82	124	97	62	34	111	50	193	103	58	35	55	187	33	104	138	71	62									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	664	12	23	20	14	32	6	10	3	26	6	9	19	19	26	39	18	46	30	9	1	16	18	13	9	2	25	4	10	11	7	7	12	31	3	6	72	41	9									
6	Число погашенных избирательных бюллетеней	9612	59	332	119	91	326	44	330	88	119	41	45	246	26	261	443	2054	1930	283	46	27	128	119	147	133	32	225	80	330	167	56	31	95	193	22	92	615	184	53									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	890	12	56	20	14	32	6	118	3	26	6	9	19	19	26	39	18	46	30	9	1	16	18	13	9	2	25	4	37	11	7	7	12	31	3	64	72	41	9									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4648	42	182	37	84	136	81	190	41	117	49	53	121	42	125	247	572	649	191	61	29	82	124	97	62	34	111	50	193	103	58	35	55	187	33	104	138	71	62									
9	Число недействительных избирательных бюллетеней	138	0	8	0	4	12	2	6	6	3	6	2	3	3	6	2	16	8	1	2	0	6	9	2	0	1	0	0	11	4	1	0	0	3	0	4	3	3	1									
10	Число действительных избирательных бюллетеней	5400	54	230	57	94	156	85	302	38	140	49	60	137	58	145	284	574	687	220	68	30	92	133	108	71	35	136	54	219	110	64	42	67	215	36	164	207	109	70									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	368	3	14	5	4	12	3	14	3	7	3	3	10	3	10	20	60	60	13	3	2	3	3	7	5	3	9	4	14	7	3	3	4	11	3	6	20	8	3									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	49	0	3	1	3	1	0	3	0	0	0	0	0	1	1	5	10	12	0	1	0	0	0	0	0	0	0	2	2	1	0	0	0	2	0	0	1	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	43	0	1	2	1	2	1	1	0	1	1	0	1	0	2	1	4	8	2	0	0	0	0	1	1	0	1	0	1	0	0	1	1	4	1	1	1	1	1									
14	Число погашенных неиспользованных открепительных удостоверений	319	3	11	4	1	11	3	11	3	7	3	3	10	2	9	15	50	48	13	2	2	3	3	7	5	3	9	2	12	6	3	3	4	9	3	6	19	8	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	16	0	0	1	0	3	0	0	0	0	0	0	1	0	0	0	4	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	39	0	2	0	1	0	3	1	0	1	1	0	0	0	2	2	5	7	3	0	0	0	1	3	1	0	2	0	0	1	0	1	0	1	0	1	0	0	0									
		0.70%	0.00%	0.84%	0.00%	1.02%	0.00%	3.45%	0.32%	0.00%	0.70%	1.82%	0.00%	0.00%	0.00%	1.32%	0.70%	0.85%	1.01%	1.36%	0.00%	0.00%	0.00%	0.70%	2.73%	1.41%	0.00%	1.47%	0.00%	0.00%	0.88%	0.00%	2.38%	0.00%	0.46%	0.00%	0.60%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	255	5	12	1	5	8	2	17	0	9	2	6	3	5	7	12	33	39	12	3	0	6	10	2	2	1	2	1	13	8	0	2	1	5	0	5	8	5	3									
		4.60%	9.26%	5.04%	1.75%	5.10%	4.76%	2.30%	5.52%	0.00%	6.29%	3.64%	9.68%	2.14%	8.20%	4.64%	4.20%	5.59%	5.61%	5.43%	4.29%	0.00%	6.12%	7.04%	1.82%	2.82%	2.78%	1.47%	1.85%	5.65%	7.02%	0.00%	4.76%	1.49%	2.29%	0.00%	2.98%	3.81%	4.46%	4.23%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	116	0	5	2	4	4	1	6	2	3	1	1	2	0	5	6	15	18	4	2	0	0	1	2	0	0	4	0	3	4	2	0	0	5	1	5	7	1	0									
		2.09%	0.00%	2.10%	3.51%	4.08%	2.38%	1.15%	1.95%	4.55%	2.10%	1.82%	1.61%	1.43%	0.00%	3.31%	2.10%	2.54%	2.59%	1.81%	2.86%	0.00%	0.00%	0.70%	1.82%	0.00%	0.00%	2.94%	0.00%	1.30%	3.51%	3.08%	0.00%	0.00%	2.29%	2.78%	2.98%	3.33%	0.89%	0.00%									
