Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																								
Дата голосования: 02.12.2007																																																																																																								
																																																																																																								
Наименование Избирательной комиссии:    Шахтинская городская																																																																																																								
																																																																																																								
Сводная таблица результатов выборов																																																																																																								
																																																																																																								
		Сумма	УИК №2127	УИК №2128	УИК №2129	УИК №2130	УИК №2131	УИК №2132	УИК №2133	УИК №2134	УИК №2135	УИК №2136	УИК №2137	УИК №2138	УИК №2139	УИК №2140	УИК №2141	УИК №2142	УИК №2143	УИК №2144	УИК №2145	УИК №2146	УИК №2147	УИК №2148	УИК №2149	УИК №2150	УИК №2151	УИК №2152	УИК №2153	УИК №2154	УИК №2155	УИК №2156	УИК №2157	УИК №2158	УИК №2159	УИК №2160	УИК №2161	УИК №2162	УИК №2163	УИК №2164	УИК №2165	УИК №2166	УИК №2168	УИК №2169	УИК №2170	УИК №2171	УИК №2172	УИК №2173	УИК №2174	УИК №2175	УИК №2176	УИК №2177	УИК №2178	УИК №2179	УИК №2180	УИК №2181	УИК №2182	УИК №2183	УИК №2184	УИК №2185	УИК №2186	УИК №2187	УИК №2188	УИК №2189	УИК №2190	УИК №2191	УИК №2192	УИК №2193	УИК №2194	УИК №2196	УИК №2197	УИК №2198	УИК №2199	УИК №2200	УИК №2201	УИК №2202	УИК №2203	УИК №2204	УИК №2205	УИК №2206	УИК №2207	УИК №2208	УИК №2209	УИК №2210	УИК №2211	УИК №2212	УИК №2213	УИК №2214	УИК №2215	УИК №2216	УИК №2217	УИК №2218	УИК №2219	УИК №2220	УИК №2221	УИК №2222	УИК №2223	УИК №2224	УИК №2612					
1	"Число избирателей, внесенных в списки избирателей"	180488	2370	2208	1974	2939	3021	1797	2475	1806	2273	2126	1400	1613	1573	1605	1684	2113	1978	1376	1061	1565	1285	1353	2263	2707	2323	2283	1980	951	1576	1630	2332	2080	2091	2350	1756	1974	1825	1181	2086	2049	699	2270	1528	2478	2179	1302	1932	1465	2261	1295	1843	1060	1976	2601	2639	2126	1911	2795	1875	1676	1956	2316	1480	1353	1584	1649	1744	2090	2891	2034	816	1892	859	1671	1960	1920	1025	2454	2500	1823	2002	2727	1789	1288	1881	962	1921	1233	2002	2566	2753	2553	1655	2926	171	153	946					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	161150	2100	2000	1800	2600	2700	1600	2200	1600	2000	1900	1200	1400	1400	1400	1500	1900	1950	1200	900	1400	1100	1100	1900	2600	2000	2000	1800	800	1400	1400	2100	1800	1800	2100	1600	1700	1600	1000	1900	1900	700	2000	1300	2200	2000	1200	1800	1300	2000	1100	1600	900	1800	2400	2300	1900	1700	2500	1700	1500	1800	2100	1300	1200	1500	1500	1600	1900	2600	1800	700	1700	800	1500	1700	2000	900	2200	2100	1600	1800	2400	1700	1100	1700	800	1700	1100	1800	2300	2500	2300	1500	2500	200	200	800					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	105836	1312	1185	1306	1630	1710	1060	1206	1051	1220	1221	607	1223	1061	846	857	1103	1709	807	545	946	702	677	1422	1284	1077	1282	988	438	985	559	1820	1641	1341	2041	998	1505	1247	794	1305	1323	397	1214	550	2083	1303	580	1122	1255	1429	769	1187	522	1347	1668	1478	1116	1137	1823	1156	1002	1240	1340	884	631	550	915	741	1185	1672	949	388	1145	415	941	855	1023	521	1709	1434	1001	1034	1840	966	531	924	428	1192	733	1171	1345	1656	1792	1073	1756	171	153	360					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	14189	168	130	101	193	161	291	208	65	76	231	161	35	60	206	108	433	106	62	114	55	92	236	80	97	110	194	123	136	132	554	160	39	93	36	344	160	153	139	94	157	302	472	276	35	76	103	143	45	276	102	40	56	80	281	513	103	110	200	94	148	209	191	96	378	372	178	142	200	74	118	139	226	85	72	242	47	86	69	93	71	386	122	115	96	93	30	105	68	33	42	31	36	20	43	0	0	333					
6	Число погашенных избирательных бюллетеней	41125	620	685	393	777	829	249	786	484	704	448	432	142	279	348	535	364	135	331	241	399	306	187	398	1219	813	524	689	226	283	287	120	120	366	23	258	35	200	67	501	420	1	314	474	82	621	517	535	0	295	229	373	322	373	451	309	681	453	477	450	350	351	569	320	191	578	407	717	515	854	733	173	329	300	487	603	930	293	422	573	528	380	438	619	473	683	342	403	299	596	913	813	472	407	701	29	47	107					
7	Число избирательных бюллетеней в переносных ящиках для голосования	14186	168	130	101	193	161	291	208	65	76	231	161	35	60	206	108	433	106	62	114	55	92	236	80	97	110	194	123	136	132	554	160	39	93	36	344	160	153	139	94	157	302	469	276	35	76	103	143	45	276	102	40	56	80	281	513	103	110	200	94	148	209	191	96	378	372	178	142	200	74	118	139	226	85	72	242	47	86	69	93	71	386	122	115	96	93	30	105	68	33	42	31	36	20	43	0	0	333					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	105742	1311	1185	1306	1630	1710	1060	1206	1051	1220	1220	607	1223	1061	846	857	1101	1709	807	545	946	701	677	1422	1284	1077	1282	988	429	985	559	1820	1641	1341	2041	998	1505	1247	794	1305	1323	397	1210	549	2083	1303	580	1122	1255	1429	769	1187	522	1346	1668	1478	1116	1137	1823	1156	1002	1240	1340	884	631	550	915	741	1185	1672	949	388	1145	415	941	855	1023	521	1709	1360	1001	1034	1840	966	531	924	428	1192	733	1171	1345	1656	1792	1073	1756	171	153	360					
9	Число недействительных избирательных бюллетеней	703	13	10	14	0	20	6	2	6	0	2	4	6	12	0	8	7	12	3	4	4	5	5	17	8	4	14	6	5	12	0	6	0	7	0	12	8	7	6	20	4	89	20	7	10	9	5	9	0	8	10	6	3	1	11	5	12	8	6	8	7	0	3	0	5	3	3	5	6	0	5	8	9	0	0	8	7	1	11	12	5	10	9	0	10	0	3	9	8	10	5	14	12	5	0	1	1	2					
10	Число действительных избирательных бюллетеней	119225	1466	1305	1393	1823	1851	1345	1412	1110	1296	1449	764	1252	1109	1052	957	1527	1803	866	655	997	788	908	1485	1373	1183	1462	1105	560	1105	1113	1974	1680	1427	2077	1330	1657	1393	927	1379	1476	610	1659	818	2108	1370	678	1256	1300	1697	861	1221	575	1425	1938	1986	1207	1239	2017	1242	1143	1449	1528	980	1004	919	1090	878	1379	1746	1062	519	1362	500	1013	1089	1063	606	1767	1441	1067	1410	1953	1081	617	1017	455	1288	793	1194	1382	1673	1816	1088	1799	170	152	691					
