Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																									
Дата голосования: 04.12.2011																																																																																																									
																																																																																																									
Наименование Избирательной комиссии:    Шахтинская городская																																																																																																									
																																																																																																									
Сводная таблица результатов выборов																																																																																																									
																																																																																																									
		Сумма	УИК №2127	УИК №2128	УИК №2129	УИК №2130	УИК №2131	УИК №2132	УИК №2133	УИК №2134	УИК №2135	УИК №2136	УИК №2137	УИК №2138	УИК №2139	УИК №2140	УИК №2141	УИК №2142	УИК №2143	УИК №2144	УИК №2145	УИК №2146	УИК №2147	УИК №2148	УИК №2149	УИК №2150	УИК №2151	УИК №2152	УИК №2153	УИК №2154	УИК №2155	УИК №2156	УИК №2157	УИК №2158	УИК №2159	УИК №2160	УИК №2161	УИК №2162	УИК №2163	УИК №2164	УИК №2165	УИК №2166	УИК №2168	УИК №2169	УИК №2170	УИК №2171	УИК №2172	УИК №2173	УИК №2174	УИК №2175	УИК №2176	УИК №2177	УИК №2178	УИК №2179	УИК №2180	УИК №2181	УИК №2182	УИК №2183	УИК №2184	УИК №2185	УИК №2186	УИК №2187	УИК №2188	УИК №2189	УИК №2190	УИК №2191	УИК №2192	УИК №2193	УИК №2194	УИК №2196	УИК №2197	УИК №2198	УИК №2199	УИК №2200	УИК №2201	УИК №2202	УИК №2203	УИК №2204	УИК №2205	УИК №2206	УИК №2207	УИК №2208	УИК №2209	УИК №2210	УИК №2211	УИК №2212	УИК №2213	УИК №2214	УИК №2215	УИК №2216	УИК №2217	УИК №2218	УИК №2219	УИК №2220	УИК №2221	УИК №2222	УИК №2223	УИК №2224	УИК №2612	УИК №2621					
1	"Число избирателей, внесенных в список избирателей"	179743	2345	2296	1971	2859	1118	1743	2267	1712	2171	1993	1397	1587	1575	1573	1660	2370	1922	1269	1069	1541	1301	1283	2206	2807	2340	2440	1972	942	1651	1636	2319	2147	2079	2203	1777	1923	1881	1147	2088	1961	903	2361	1492	2471	2157	1365	2013	1475	2189	1244	1772	1058	1965	2796	2886	2220	1758	2685	1855	1593	1974	2252	1512	1305	1543	1669	1736	2042	2808	1959	827	1784	732	1611	1946	1954	1064	2634	2443	1778	1890	2765	1830	1284	1966	871	1934	1210	1970	2660	2662	2130	2041	2920	222	178	1038	1800					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	166550	2200	2200	1800	2700	1200	1600	2200	1600	2000	1900	1300	1300	1400	1400	1500	2100	1600	1200	1000	1500	1200	1200	2000	2700	2100	2200	1800	900	1500	1500	2100	1900	1900	2100	1600	1800	1700	1100	2000	1800	875	2450	1400	2300	2000	1300	1900	1400	2000	1200	1600	1000	1800	2600	2600	2000	1600	2500	1700	1500	1800	2100	1400	1300	1500	1500	1600	1900	2600	1800	800	1700	700	1500	1800	1800	1000	2400	2200	1600	1800	2400	1700	1200	1800	800	1800	1100	1900	2400	2500	2000	1900	2600	225	200	1000	1700					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	91281	1486	939	961	1174	437	915	965	1030	1308	1180	637	916	877	729	819	1478	890	634	511	642	654	501	912	1309	892	1179	1090	277	579	751	1316	1601	1306	1715	1136	1488	755	580	841	980	581	1088	500	1258	1241	516	825	1048	1177	613	897	366	705	1178	1395	875	1063	1504	905	796	1103	1633	1153	572	574	753	722	683	1372	636	459	826	462	647	862	1013	418	1635	1140	1250	1175	1107	771	641	1291	527	787	518	1143	1341	1634	1307	1120	1552	222	178	382	751					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	11542	163	131	77	262	73	67	158	84	118	140	96	39	46	207	314	114	86	80	66	44	63	165	52	119	210	217	247	144	125	160	149	42	70	37	139	88	147	94	131	164	283	573	172	71	51	70	381	40	65	53	46	54	113	63	135	119	188	77	78	81	166	141	47	388	233	128	123	216	105	148	75	163	28	66	121	171	93	60	63	56	144	112	72	151	39	71	145	58	42	87	36	47	65	41	0	0	124	76					
6	Число погашенных избирательных бюллетеней	63727	551	1130	762	1264	690	618	1077	486	574	580	567	345	477	464	367	508	624	486	423	814	483	534	1036	1272	998	804	463	479	796	589	635	257	524	348	325	224	798	426	1028	656	11	789	728	971	708	714	694	312	758	534	657	580	982	1359	1070	1006	349	919	717	623	531	326	200	340	693	619	755	1001	1123	1016	266	711	210	787	817	616	489	705	997	294	481	1181	857	408	470	202	868	524	715	972	830	646	715	1007	3	22	494	873					
7	Число избирательных бюллетеней в переносных ящиках для голосования	11541	163	131	77	262	73	67	158	84	118	140	96	39	46	207	314	114	86	80	66	44	63	165	52	119	210	216	247	144	125	160	149	42	70	37	139	88	147	94	131	164	283	573	172	71	51	70	381	40	65	53	46	54	113	63	135	119	188	77	78	81	166	141	47	388	233	128	123	216	105	148	75	163	28	66	121	171	93	60	63	56	144	112	72	151	39	71	145	58	42	87	36	47	65	41	0	0	124	76					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	91255	1483	939	961	1174	437	913	965	1030	1308	1179	635	916	877	729	819	1478	890	634	510	642	654	501	912	1309	892	1179	1090	277	579	751	1316	1601	1306	1714	1136	1488	755	580	841	980	580	1087	500	1258	1241	516	825	1048	1177	613	897	366	705	1178	1395	875	1063	1504	905	794	1095	1633	1152	572	574	753	722	683	1372	636	458	826	462	647	862	1013	418	1635	1140	1250	1175	1107	770	641	1291	527	787	518	1143	1341	1633	1307	1120	1552	222	178	382	751					
9	Число недействительных избирательных бюллетеней	1683	10	19	21	6	4	10	20	14	20	0	12	3	12	23	22	17	15	11	7	10	10	9	16	17	19	10	20	7	13	8	0	8	18	25	5	21	16	6	21	12	14	19	8	21	12	9	58	6	26	0	8	3	8	18	14	16	15	346	16	7	18	41	3	9	5	6	9	8	20	4	4	24	0	0	18	21	5	0	18	0	11	25	15	11	11	8	14	15	17	16	131	13	12	21	1	2	1	5					
10	Число действительных избирательных бюллетеней	101113	1636	1051	1017	1430	506	970	1103	1100	1406	1319	719	952	911	913	1111	1575	961	703	569	676	707	657	948	1411	1083	1385	1317	414	691	903	1465	1635	1358	1726	1270	1555	886	668	951	1132	849	1641	664	1308	1280	577	1148	1082	1216	666	935	417	810	1223	1516	978	1236	1235	967	868	1243	1733	1196	951	802	875	836	891	1457	780	529	965	490	713	965	1163	506	1695	1185	1306	1308	1194	827	781	1319	590	918	561	1168	1412	1538	1341	1173	1572	221	176	505	822					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2465	30	30	20	30	20	25	40	30	30	35	20	30	30	35	30	30	20	20	20	20	20	20	30	30	30	30	30	10	20	20	30	30	30	30	20	30	20	20	40	30	0	30	20	30	30	20	20	20	40	20	20	10	30	40	35	30	20	40	30	20	30	30	20	20	20	20	20	30	40	20	10	20	10	20	20	30	20	35	30	30	20	30	30	20	20	15	20	20	30	30	30	30	40	45	0	0	20	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1887	24	30	20	26	20	20	35	23	28	33	12	26	27	31	20	15	17	20	6	19	13	9	27	30	21	24	26	8	10	11	15	19	20	28	14	28	16	11	38	26	0	18	14	22	19	13	19	14	30	9	19	7	21	37	34	26	12	34	22	20	17	19	12	7	16	5	9	12	40	20	7	13	2	11	9	18	14	35	23	28	20	24	21	15	14	11	20	15	13	23	30	26	31	41	0	0	13	17					
