Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва														
Дата голосования: 02.12.2007														
														
Наименование Избирательной комиссии:    Город Байконур (Республика Казахстан)														
														
Сводная таблица результатов выборов														
														
		Сумма	УИК №5348	УИК №5349	УИК №5350	УИК №5351	УИК №5352	УИК №5353	УИК №5354					
1	"Число избирателей, внесенных в списки избирателей"	15995	2104	2463	2586	1946	2026	2235	2635					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	16000	2500	2500	2500	2000	2000	2000	2500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	12418	1930	1860	1946	1462	1469	1719	2032					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	142	11	17	25	23	19	20	27					
6	Число погашенных избирательных бюллетеней	3440	559	623	529	515	512	261	441					
7	Число избирательных бюллетеней в переносных ящиках для голосования	142	11	17	25	23	19	20	27					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	12404	1927	1860	1946	1453	1469	1717	2032					
9	Число недействительных избирательных бюллетеней	108	13	9	18	4	21	15	28					
10	Число действительных избирательных бюллетеней	12438	1925	1868	1953	1472	1467	1722	2031					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	420	60	60	60	60	60	60	60					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	162	25	30	22	10	26	28	21					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	78	3	5	2	6	15	4	43					
14	Число погашенных неиспользованных открепительных удостоверений	258	35	30	38	50	34	32	39					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	21	2	8	2	0	1	2	6					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0					
														
18	1.Политическая партия «Аграрная партия России»	198	28	32	35	21	19	32	31					
		1.58%	1.44%	1.70%	1.78%	1.42%	1.28%	1.84%	1.51%					
19	2.Всероссийская политическая партия «Гражданская Сила»	139	18	17	24	11	21	22	26					
		1.11%	0.93%	0.91%	1.22%	0.75%	1.41%	1.27%	1.26%					
20	3.Политическая партия «Демократическая партия России»	13	3	1	2	2	1	1	3					
		0.10%	0.15%	0.05%	0.10%	0.14%	0.07%	0.06%	0.15%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	834	119	103	112	95	124	120	161					
		6.65%	6.14%	5.49%	5.68%	6.44%	8.33%	6.91%	7.82%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	118	8	81	3	5	4	6	11					
		0.94%	0.41%	4.32%	0.15%	0.34%	0.27%	0.35%	0.53%					
23	6.Политическая партия «Партия социальной справедливости»	25	6	5	6	1	2	0	5					
		0.20%	0.31%	0.27%	0.30%	0.07%	0.13%	0.00%	0.24%					
24	7.Политическая партия «Либерально-демократическая партия России»	1059	170	178	169	109	109	139	185					
		8.44%	8.77%	9.48%	8.57%	7.38%	7.33%	8.00%	8.98%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	502	74	5	91	69	77	82	104					
		4.00%	3.82%	0.27%	4.62%	4.67%	5.17%	4.72%	5.05%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	85	19	9	12	5	10	11	19					
		0.68%	0.98%	0.48%	0.61%	0.34%	0.67%	0.63%	0.92%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	9285	1450	1414	1485	1126	1076	1284	1450					
		74.01%	74.82%	75.33%	75.34%	76.29%	72.31%	73.92%	70.42%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	180	30	23	14	28	24	25	36					
		1.43%	1.55%	1.23%	0.71%	1.90%	1.61%	1.44%	1.75%					
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
