Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва														
Дата голосования: 04.12.2011														
														
Наименование Избирательной комиссии:    Город Байконур (Республика Казахстан)														
														
Сводная таблица результатов выборов														
														
		Сумма	УИК №5348	УИК №5349	УИК №5350	УИК №5351	УИК №5352	УИК №5353	УИК №5354					
1	"Число избирателей, внесенных в список избирателей"	16543	2422	2506	2595	2048	2118	2371	2483					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16356	2400	2400	2600	2000	1956	2300	2700					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	8620	1284	1300	1371	1056	1144	1169	1296					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	147	20	21	20	36	12	17	21					
6	Число погашенных избирательных бюллетеней	7589	1096	1079	1209	908	800	1114	1383					
7	Число избирательных бюллетеней в переносных ящиках для голосования	147	20	21	20	36	12	17	21					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	8589	1283	1292	1369	1051	1141	1168	1285					
9	Число недействительных избирательных бюллетеней	275	48	56	40	34	10	34	53					
10	Число действительных избирательных бюллетеней	8461	1255	1257	1349	1053	1143	1151	1253					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	280	40	40	40	40	40	40	40					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	74	12	6	14	14	6	13	9					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	48	1	4	2	1	13	5	22					
14	Число погашенных неиспользованных открепительных удостоверений	206	28	34	26	26	34	27	31					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	9	2	0	1	2	1	1	2					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0					
														
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1036	150	125	157	129	139	152	184					
		11.86%	11.51%	9.52%	11.30%	11.87%	12.06%	12.83%	14.09%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1363	192	219	223	156	198	169	206					
		15.60%	14.74%	16.68%	16.05%	14.35%	17.17%	14.26%	15.77%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	112	12	15	19	12	14	16	24					
		1.28%	0.92%	1.14%	1.37%	1.10%	1.21%	1.35%	1.84%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1425	231	194	210	155	199	200	236					
		16.31%	17.73%	14.78%	15.12%	14.26%	17.26%	16.88%	18.07%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	250	40	44	26	22	34	32	52					
		2.86%	3.07%	3.35%	1.87%	2.02%	2.95%	2.70%	3.98%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4225	621	650	705	577	553	575	544					
		48.36%	47.66%	49.50%	50.76%	53.08%	47.96%	48.52%	41.65%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	50	9	10	9	2	6	7	7					
		0.57%	0.69%	0.76%	0.65%	0.18%	0.52%	0.59%	0.54%					
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
