Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																									
Дата голосования: 18.09.2016																																									
																																									
"Наименование Избирательной комиссии:    Орел, Железнодорожная"																																									
																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																									
																																									
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №740	УИК №750									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	52795	2555	1704	2003	1545	1576	1764	2125	2744	2245	1579	1475	1823	2051	1999	1813	1540	1293	1117	1432	1428	2128	2024	2367	1796	1735	1915	2525	1832	512	150									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	51300	2600	1700	1900	1500	1500	1700	2000	2500	2200	1500	1400	1800	2000	1900	1800	1400	1000	1000	1400	1400	2000	2000	2300	1700	1700	1900	2500	1800	600	600									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	21937	1239	774	976	659	699	779	838	1127	899	655	477	729	723	718	804	650	651	421	582	566	808	736	916	667	658	692	1157	701	486	150									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	884	9	9	22	14	21	25	32	25	43	47	75	51	17	22	42	5	4	18	21	32	16	52	76	50	50	38	34	8	26	0									
6	Число погашенных избирательных бюллетеней	28479	1352	917	902	827	780	896	1130	1348	1258	798	848	1020	1260	1160	954	745	345	561	797	802	1176	1212	1308	983	992	1170	1309	1091	88	450									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	884	9	9	22	14	21	25	32	25	43	47	75	51	17	22	42	5	4	18	21	32	16	52	76	50	50	38	34	8	26	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	21924	1238	774	976	659	699	779	836	1126	899	655	477	728	721	718	804	650	650	421	582	566	808	736	916	667	656	692	1155	700	486	150									
9	Число недействительных избирательных бюллетеней	786	24	20	41	22	21	18	32	26	16	21	21	43	27	25	34	20	29	11	16	63	29	24	36	43	21	38	41	15	9	0									
10	Число действительных избирательных бюллетеней	22022	1223	763	957	651	699	786	836	1125	926	681	531	736	711	715	812	635	625	428	587	535	795	764	956	674	685	692	1148	693	503	150									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1261	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	46	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	374	12	14	17	15	15	12	18	13	20	8	11	19	27	14	16	10	10	8	11	9	8	16	12	5	13	17	11	13	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	819	12	4	22	9	16	17	6	7	15	9	2	9	6	38	17	123	146	13	11	13	9	12	82	13	33	8	17	10	0	140									
14	Число погашенных неиспользованных открепительных удостоверений	887	33	31	28	30	30	33	27	32	25	37	34	26	18	31	29	35	35	37	34	36	37	29	33	40	32	28	34	33	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	39	1	0	1	0	1	2	0	0	3	3	1	3	3	3	0	0	3	3	2	1	2	1	0	0	2	0	3	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	347	27	15	13	12	10	14	13	31	16	14	9	9	19	5	9	8	4	5	8	7	5	16	16	6	13	11	14	14	1	3									
		1.52%	2.17%	1.92%	1.30%	1.78%	1.39%	1.74%	1.50%	2.69%	1.70%	1.99%	1.63%	1.16%	2.57%	0.68%	1.06%	1.22%	0.61%	1.14%	1.33%	1.17%	0.61%	2.03%	1.61%	0.84%	1.84%	1.51%	1.18%	1.98%	0.20%	2.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	920	57	24	38	24	27	26	34	37	25	34	16	29	35	27	33	27	19	25	42	28	48	34	41	35	28	37	53	26	7	4									
		4.03%	4.57%	3.07%	3.81%	3.57%	3.75%	3.23%	3.92%	3.21%	2.65%	4.84%	2.90%	3.72%	4.74%	3.65%	3.90%	4.12%	2.91%	5.69%	6.97%	4.68%	5.83%	4.31%	4.13%	4.88%	3.97%	5.07%	4.46%	3.67%	1.37%	2.67%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	542	36	23	26	17	18	19	28	26	26	13	11	18	26	17	22	10	9	18	10	14	15	16	21	10	24	25	22	20	2	0									
		2.38%	2.89%	2.94%	2.61%	2.53%	2.50%	2.36%	3.23%	2.26%	2.76%	1.85%	1.99%	2.31%	3.52%	2.30%	2.60%	1.53%	1.38%	4.10%	1.66%	2.34%	1.82%	2.03%	2.12%	1.39%	3.40%	3.42%	1.85%	2.82%	0.39%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	8460	387	243	326	216	225	262	316	427	368	261	227	296	251	294	334	268	266	155	201	213	334	277	343	281	264	253	455	236	413	68									
		37.09%	31.03%	31.03%	32.67%	32.10%	31.25%	32.59%	36.41%	37.10%	39.07%	37.18%	41.12%	37.99%	34.01%	39.73%	39.48%	40.92%	40.67%	35.31%	33.33%	35.62%	40.53%	35.15%	34.58%	39.19%	37.39%	34.66%	38.27%	33.33%	80.66%	45.33%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	284	22	8	16	9	11	21	11	12	12	6	5	8	16	6	10	6	14	7	5	7	8	8	9	7	4	8	14	9	4	1									
