Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																							
Дата голосования: 04.12.2011																																																							
																																																							
"Наименование Избирательной комиссии:    Красноярск, Кировская"																																																							
																																																							
Сводная таблица результатов выборов																																																							
																																																							
		Сумма	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235					
1	"Число избирателей, внесенных в список избирателей"	85824	2280	1854	1929	1556	1515	1740	1809	1702	2658	1752	1618	2247	1896	2550	1711	1862	2070	1912	1798	1430	1736	1730	1725	1542	1699	1695	1751	2213	1892	1755	1726	1080	1731	1936	1917	1575	1852	2153	2309	557	1646	1864	2286	1563	1524	879	1853	1746					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	84678	2255	1822	1941	1524	1485	1721	1785	1686	2609	1763	1587	2183	1813	2564	1693	1857	2063	1852	1784	1525	1747	1740	1740	1576	1697	1679	1734	2199	1892	1745	1601	1063	1679	1819	1895	1563	1817	2127	2312	518	1659	1853	2280	1535	1437	744	1764	1751					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	41893	627	671	859	643	708	866	884	639	1230	939	885	1186	983	1208	857	862	961	983	1127	713	937	939	939	948	883	855	879	981	828	876	874	444	945	1007	1031	771	859	983	1023	220	972	795	1060	768	806	506	923	1010					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	972	56	0	17	12	9	8	14	3	6	20	17	32	10	5	18	22	27	21	11	13	14	12	7	18	21	19	15	22	34	25	103	6	55	13	15	27	23	21	30	0	32	29	30	17	14	8	21	20					
6	Число погашенных избирательных бюллетеней	41813	1572	1151	1065	869	768	847	887	1044	1373	804	685	965	820	1351	818	973	1075	848	646	799	796	789	794	610	793	805	840	1196	1030	844	624	613	679	799	849	765	935	1123	1259	298	655	1029	1190	750	617	230	820	721					
7	Число избирательных бюллетеней в переносных ящиках для голосования	972	56	0	17	12	9	8	14	3	6	20	17	32	10	5	18	22	27	21	11	13	14	12	7	18	21	19	15	22	34	25	103	6	55	13	15	27	23	21	30	0	32	29	30	17	14	8	21	20					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	41847	627	671	859	642	708	866	884	639	1230	939	885	1186	983	1203	857	840	961	982	1127	713	937	939	939	948	883	855	879	981	828	876	874	444	945	1007	1017	771	859	983	1023	220	972	795	1059	768	806	506	921	1010					
9	Число недействительных избирательных бюллетеней	834	11	18	21	17	13	15	24	10	18	12	12	21	11	21	20	5	24	22	37	27	18	18	15	17	16	57	18	22	17	21	22	6	15	34	14	10	11	16	21	3	8	15	26	10	13	9	11	12					
10	Число действительных избирательных бюллетеней	41985	672	653	855	637	704	859	874	632	1218	947	890	1197	982	1187	855	857	964	981	1101	699	933	933	931	949	888	817	876	981	845	880	955	444	985	986	1018	788	871	988	1032	217	996	809	1063	775	807	505	931	1018					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1941	40	40	40	40	40	40	40	40	40	40	40	40	40	60	40	40	40	40	40	40	40	40	40	40	40	40	40	40	41	41	41	41	41	41	41	41	41	41	66	16	41	41	41	21	42	41	41	41					
