Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																	
Дата голосования: 18.09.2016																																	
																																	
Наименование Избирательной комиссии:    Пролетарская																																	
																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																	
																																	
		Сумма	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	25743	1264	2202	2115	2225	2043	1852	2084	907	960	1367	560	793	369	709	520	320	941	505	250	1178	1609	970									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	24610	1230	2100	2000	2100	1900	1800	2000	900	940	1300	500	750	350	650	500	300	900	480	230	1180	1550	950									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10114	400	757	704	786	727	568	602	390	371	814	167	463	166	494	232	127	407	284	122	497	667	369									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1093	22	128	109	60	65	30	37	30	18	115	32	47	13	34	33	17	42	20	8	78	88	67									
6	Число погашенных избирательных бюллетеней	13403	808	1215	1187	1254	1108	1202	1361	480	551	371	301	240	171	122	235	156	451	176	100	605	795	514									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1093	22	128	109	60	65	30	37	30	18	115	32	47	13	34	33	17	42	20	8	78	88	67									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	10111	400	757	704	786	727	566	602	389	371	814	167	463	166	494	232	127	407	284	122	497	667	369									
9	Число недействительных избирательных бюллетеней	378	21	22	27	17	48	22	21	13	17	29	2	21	10	1	5	9	18	8	2	18	37	10									
10	Число действительных избирательных бюллетеней	10826	401	863	786	829	744	574	618	406	372	900	197	489	169	527	260	135	431	296	128	557	718	426									
