Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																					
Дата голосования: 02.12.2007																																					
																																					
Наименование Избирательной комиссии:    Токаревская																																					
																																					
Сводная таблица результатов выборов																																					
																																					
		Сумма	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967					
1	"Число избирателей, внесенных в списки избирателей"	15198	1484	1513	1061	1461	451	529	186	331	357	687	192	302	330	511	398	408	114	307	454	280	148	183	297	489	224	131	627	331	902	510					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	15258	1482	1551	1089	1429	432	532	188	343	358	685	185	328	329	512	401	414	116	309	452	290	149	184	295	487	232	125	628	331	905	497					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	9093	890	916	684	853	229	217	110	229	225	324	148	198	246	293	279	264	77	119	337	197	103	117	164	352	142	87	350	173	492	278					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2908	143	203	101	80	97	218	47	37	75	184	37	104	61	139	60	88	25	152	90	40	29	53	94	79	54	27	166	73	183	169					
6	Число погашенных избирательных бюллетеней	3257	449	432	304	496	106	97	31	77	58	177	0	26	22	80	62	62	14	38	25	53	17	14	37	56	36	11	112	85	230	50					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2908	143	203	101	80	97	218	47	37	75	184	37	104	61	139	60	88	25	152	90	40	29	53	94	79	54	27	166	73	183	169					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9093	890	916	684	853	229	217	110	229	225	324	148	198	246	293	279	264	77	119	337	197	103	117	164	352	142	87	350	173	492	278					
9	Число недействительных избирательных бюллетеней	93	9	8	9	11	2	4	1	0	2	1	1	0	0	5	1	3	0	0	0	2	0	1	4	20	2	0	2	1	2	2					
10	Число действительных избирательных бюллетеней	11908	1024	1111	776	922	324	431	156	266	298	507	184	302	307	427	338	349	102	271	427	235	132	169	254	411	194	114	514	245	673	445					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	153	23	9	14	15	3	8	2	4	3	3	0	1	1	5	6	5	1	2	4	3	2	0	2	5	2	0	8	2	13	7					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	137	23	9	12	15	3	6	1	4	2	3	0	1	1	4	5	4	0	2	4	3	1	0	0	5	2	0	8	0	13	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	35	3	1	1	1	1	2	2	1	1	1	0	2	2	2	1	0	1	1	3	0	2	1	1	0	0	2	1	0	1	1					
14	Число погашенных неиспользованных открепительных удостоверений	16	0	0	2	0	0	2	1	0	1	0	0	0	0	1	1	1	1	0	0	0	1	0	2	0	0	0	0	2	0	1					
