Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																								
Дата голосования: 18.09.2016																								
																								
Наименование Избирательной комиссии:    Черноголовская поселковая																								
																								
Сводная таблица итогов голосования по федеральному избирательному округу																								
																								
		Сумма	УИК №3227	УИК №3228	УИК №3229	УИК №3230	УИК №3231	УИК №3232	УИК №3233	УИК №3234	УИК №3235	УИК №3236	УИК №3237	УИК №3238	УИК №3239									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	18219	211	264	1752	1629	559	1759	1735	1656	2082	1637	1642	1738	1555									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15967	203	262	1500	1500	502	1500	1500	1500	1500	1500	1500	1500	1500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7302	89	60	651	634	303	709	636	612	858	691	665	705	689									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	114	7	2	10	8	5	4	14	13	7	10	13	8	13									
6	Число погашенных избирательных бюллетеней	8551	107	200	839	858	194	787	850	875	635	799	822	787	798									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	114	7	2	10	8	5	4	14	13	7	10	13	8	13									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7293	89	60	651	634	302	709	635	611	857	690	664	705	686									
9	Число недействительных избирательных бюллетеней	193	2	1	25	23	9	9	16	23	20	18	17	9	21									
10	Число действительных избирательных бюллетеней	7214	94	61	636	619	298	704	633	601	844	682	660	704	678									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	460	20	20	40	40	20	40	40	40	40	40	40	40	40									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	91	0	1	4	4	5	8	8	9	16	7	9	12	8									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	111	9	4	12	9	5	3	3	18	10	23	7	3	5									
14	Число погашенных неиспользованных открепительных удостоверений	369	20	19	36	36	15	32	32	31	24	33	31	28	32									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	37	3	0	4	1	1	1	3	5	3	3	4	4	5									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	202	2	0	14	19	4	15	11	19	20	19	16	40	23									
		2.73%	2.08%	0.00%	2.12%	2.96%	1.30%	2.10%	1.69%	3.04%	2.31%	2.71%	2.36%	5.61%	3.29%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	178	1	0	14	14	3	23	15	13	30	15	22	8	20									
		2.40%	1.04%	0.00%	2.12%	2.18%	0.98%	3.23%	2.31%	2.08%	3.47%	2.14%	3.25%	1.12%	2.86%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	180	1	1	15	18	4	17	18	11	27	15	16	16	21									
		2.43%	1.04%	1.61%	2.27%	2.80%	1.30%	2.38%	2.77%	1.76%	3.13%	2.14%	2.36%	2.24%	3.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2128	42	27	180	157	172	199	196	181	254	194	188	195	143									
		28.73%	43.75%	43.55%	27.23%	24.45%	56.03%	27.91%	30.20%	29.01%	29.40%	27.71%	27.77%	27.35%	20.46%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	126	1	3	9	9	4	8	5	6	17	17	18	16	13									
		1.70%	1.04%	4.84%	1.36%	1.40%	1.30%	1.12%	0.77%	0.96%	1.97%	2.43%	2.66%	2.24%	1.86%									
24	"6. Политическая партия ""Гражданская Платформа"""	16	0	0	2	1	0	0	1	2	2	2	2	4	0									
		0.22%	0.00%	0.00%	0.30%	0.16%	0.00%	0.00%	0.15%	0.32%	0.23%	0.29%	0.30%	0.56%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	834	12	12	80	84	55	75	96	53	103	70	82	60	52									
		11.26%	12.50%	19.35%	12.10%	13.08%	17.92%	10.52%	14.79%	8.49%	11.92%	10.00%	12.11%	8.42%	7.44%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	120	0	0	10	7	1	12	4	11	9	10	17	25	14									
		1.62%	0.00%	0.00%	1.51%	1.09%	0.33%	1.68%	0.62%	1.76%	1.04%	1.43%	2.51%	3.51%	2.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	248	1	1	20	13	4	15	15	24	26	28	28	46	27									
		3.35%	1.04%	1.61%	3.03%	2.02%	1.30%	2.10%	2.31%	3.85%	3.01%	4.00%	4.14%	6.45%	3.86%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	7	0	0	0	1	0	0	0	0	0	2	2	1	1									
		0.09%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.30%	0.14%	0.14%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	641	6	0	41	48	1	79	32	44	81	71	62	104	72									
		8.65%	6.25%	0.00%	6.20%	7.48%	0.33%	11.08%	4.93%	7.05%	9.38%	10.14%	9.16%	14.59%	10.30%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2038	22	15	185	193	40	210	194	196	224	185	175	157	242									
		27.51%	22.92%	24.19%	27.99%	30.06%	13.03%	29.45%	29.89%	31.41%	25.93%	26.43%	25.85%	22.02%	34.62%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	34	2	0	4	2	1	1	4	3	3	4	3	2	5									
		0.46%	2.08%	0.00%	0.61%	0.31%	0.33%	0.14%	0.62%	0.48%	0.35%	0.57%	0.44%	0.28%	0.72%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	462	4	2	62	53	9	50	42	38	48	50	29	30	45									
		6.24%	4.17%	3.23%	9.38%	8.26%	2.93%	7.01%	6.47%	6.09%	5.56%	7.14%	4.28%	4.21%	6.44%									
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
