Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																		
Дата голосования: 18.09.2016																																																																		
																																																																		
Наименование Избирательной комиссии:    Карасукская																																																																		
																																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																																		
																																																																		
		Сумма	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №1125	УИК №1141	УИК №1144									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	36508	1270	1344	1349	1383	1196	1219	1129	1228	1131	1283	1272	1295	1308	1204	1316	659	671	265	313	658	596	89	723	350	329	494	95	79	97	731	402	183	61	850	221	212	190	127	843	234	65	403	253	331	336	240	1024	77	719	557	175	126	1149	1332	1322									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	36850	1270	1360	1355	1375	1200	1225	1135	1195	1140	1295	1285	1305	1315	1240	1315	670	685	270	310	675	605	95	750	365	330	510	95	85	100	750	405	195	65	865	220	210	185	130	850	245	70	400	255	345	335	240	1040	80	725	565	180	125	1140	1340	1335									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13790	417	612	464	450	411	433	326	490	287	358	481	543	552	466	539	273	264	86	143	303	238	55	351	160	125	216	54	63	43	224	208	138	44	227	122	110	107	64	218	83	53	166	110	135	155	85	342	30	238	171	54	109	374	573	447									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1093	19	27	30	15	14	10	28	25	7	9	38	10	30	18	6	14	39	65	13	35	33	4	27	20	20	19	0	1	0	39	11	3	0	27	8	21	0	3	45	41	6	11	8	35	5	12	89	0	30	45	6	7	30	9	26									
6	Число погашенных избирательных бюллетеней	21967	834	721	861	910	775	782	781	680	846	928	766	752	733	756	770	383	382	119	154	337	334	36	372	185	185	275	41	21	57	487	186	54	21	611	90	79	78	63	587	121	11	223	137	175	175	143	609	50	457	349	120	9	736	758	862									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1093	19	27	30	15	14	10	28	25	7	9	38	10	30	18	6	14	39	65	13	35	33	4	27	20	20	19	0	1	0	39	11	3	0	27	8	21	0	3	45	41	6	11	8	35	5	12	89	0	30	45	6	7	30	9	26									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13789	417	612	464	450	411	433	326	490	287	358	481	543	552	466	539	273	264	86	143	303	238	55	351	160	125	216	54	63	43	224	208	138	44	227	122	110	107	64	218	83	53	166	110	135	155	85	342	30	238	171	54	109	374	572	447									
9	Число недействительных избирательных бюллетеней	353	9	15	5	10	5	10	7	18	5	13	16	11	24	7	12	5	9	0	2	7	12	1	9	9	2	5	0	0	0	7	6	0	0	6	8	1	2	2	3	4	0	8	3	9	1	2	10	0	9	3	2	0	15	14	10									
10	Число действительных избирательных бюллетеней	14529	427	624	489	455	420	433	347	497	289	354	503	542	558	477	533	282	294	151	154	331	259	58	369	171	143	230	54	64	43	256	213	141	44	248	122	130	105	65	260	120	59	169	115	161	159	95	421	30	259	213	58	116	389	567	463									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	830	29	35	35	35	35	35	35	35	35	35	35	35	35	35	35	10	10	3	3	10	10	3	10	4	3	10	3	3	3	14	4	3	2	10	3	3	3	3	10	3	2	10	3	3	3	3	10	3	10	10	3	3	35	35	35									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	331	10	13	6	5	11	4	5	13	8	4	7	12	5	13	7	10	10	3	3	10	8	3	10	4	3	10	3	3	3	14	4	3	2	10	3	3	3	3	10	3	2	1	1	3	0	3	10	3	10	10	3	3	5	5	8									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	158	6	4	5	6	13	4	4	4	3	5	4	8	8	3	5	5	4	0	1	1	5	0	2	2	2	2	1	1	2	3	1	0	1	4	2	2	3	1	1	1	1	2	1	2	1	2	1	1	5	1	2	1	2	1	6									
14	Число погашенных неиспользованных открепительных удостоверений	499	19	22	29	30	24	31	30	22	27	31	28	23	30	22	28	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	2	0	3	0	0	0	0	0	0	0	30	30	27									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	70	3	3	5	3	4	4	3	8	2	3	2	4	1	4	2	0	1	0	1	0	0	0	1	0	0	2	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	2	3	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	203	2	4	11	6	7	2	5	12	1	4	9	3	10	11	14	5	4	1	2	6	5	2	4	0	3	3	0	0	0	4	1	0	0	4	1	1	2	0	3	0	0	4	0	1	1	3	6	0	9	5	0	0	4	7	11									
		1.36%	0.46%	0.63%	2.23%	1.29%	1.65%	0.45%	1.41%	2.33%	0.34%	1.09%	1.73%	0.54%	1.72%	2.27%	2.57%	1.74%	1.32%	0.66%	1.28%	1.78%	1.85%	3.39%	1.06%	0.00%	2.07%	1.28%	0.00%	0.00%	0.00%	1.52%	0.46%	0.00%	0.00%	1.57%	0.77%	0.76%	1.87%	0.00%	1.14%	0.00%	0.00%	2.26%	0.00%	0.59%	0.63%	3.09%	1.39%	0.00%	3.36%	2.31%	0.00%	0.00%	0.99%	1.20%	2.33%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	810	27	32	22	24	21	26	27	25	17	11	29	36	34	34	27	16	19	14	7	14	27	3	33	13	3	9	0	2	1	9	11	13	0	10	8	10	4	3	14	3	1	6	8	15	7	1	21	1	10	17	4	4	26	25	26									
		5.44%	6.19%	5.01%	4.45%	5.16%	4.94%	5.87%	7.63%	4.85%	5.78%	2.99%	5.59%	6.51%	5.84%	7.02%	4.95%	5.57%	6.27%	9.27%	4.49%	4.14%	9.96%	5.08%	8.73%	7.22%	2.07%	3.83%	0.00%	3.13%	2.33%	3.42%	5.02%	9.22%	0.00%	3.94%	6.15%	7.63%	3.74%	4.48%	5.32%	2.42%	1.69%	3.39%	6.78%	8.82%	4.38%	1.03%	4.87%	3.33%	3.73%	7.87%	6.67%	3.45%	6.44%	4.30%	5.50%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	304	13	16	5	9	5	13	3	10	5	6	19	13	14	7	11	10	3	3	2	10	6	2	11	0	5	0	1	0	1	2	5	2	4	8	3	7	0	1	6	2	0	4	2	2	2	0	17	1	1	4	1	1	5	12	9									
		2.04%	2.98%	2.50%	1.01%	1.94%	1.18%	2.93%	0.85%	1.94%	1.70%	1.63%	3.66%	2.35%	2.41%	1.45%	2.02%	3.48%	0.99%	1.99%	1.28%	2.96%	2.21%	3.39%	2.91%	0.00%	3.45%	0.00%	1.85%	0.00%	2.33%	0.76%	2.28%	1.42%	9.09%	3.15%	2.31%	5.34%	0.00%	1.49%	2.28%	1.61%	0.00%	2.26%	1.69%	1.18%	1.25%	0.00%	3.94%	3.33%	0.37%	1.85%	1.67%	0.86%	1.24%	2.07%	1.90%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5761	167	211	193	159	141	134	140	163	130	130	169	200	190	158	191	126	126	76	66	145	110	18	132	75	52	118	33	32	22	109	86	71	30	105	74	64	40	29	102	77	39	73	46	81	52	45	164	14	113	140	37	77	140	201	145									
		38.71%	38.30%	33.02%	39.07%	34.19%	33.18%	30.25%	39.55%	31.65%	44.22%	35.42%	32.56%	36.17%	32.65%	32.64%	35.05%	43.90%	41.58%	50.33%	42.31%	42.90%	40.59%	30.51%	34.92%	41.67%	35.86%	50.21%	61.11%	50.00%	51.16%	41.44%	39.27%	50.35%	68.18%	41.34%	56.92%	48.85%	37.38%	43.28%	38.78%	62.10%	66.10%	41.24%	38.98%	47.65%	32.50%	46.39%	38.05%	46.67%	42.16%	64.81%	61.67%	66.38%	34.65%	34.60%	30.66%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	72	4	4	5	2	3	3	2	4	1	2	1	7	1	1	0	1	1	0	2	2	2	0	1	0	0	2	0	1	1	0	0	0	0	1	0	3	0	3	2	1	0	0	1	0	2	0	1	0	0	1	0	1	1	2	0									
		0.48%	0.92%	0.63%	1.01%	0.43%	0.71%	0.68%	0.56%	0.78%	0.34%	0.54%	0.19%	1.27%	0.17%	0.21%	0.00%	0.35%	0.33%	0.00%	1.28%	0.59%	0.74%	0.00%	0.26%	0.00%	0.00%	0.85%	0.00%	1.56%	2.33%	0.00%	0.00%	0.00%	0.00%	0.39%	0.00%	2.29%	0.00%	4.48%	0.76%	0.81%	0.00%	0.00%	0.85%	0.00%	1.25%	0.00%	0.23%	0.00%	0.00%	0.46%	0.00%	0.86%	0.25%	0.34%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	81	0	1	0	0	0	0	1	1	1	0	1	4	2	1	1	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	1	0	54	0	0	0	1	2	0									
		0.54%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.28%	0.19%	0.34%	0.00%	0.19%	0.72%	0.34%	0.21%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.74%	1.69%	0.00%	0.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.91%	0.00%	0.00%	0.00%	0.00%	0.76%	0.93%	0.00%	0.00%	0.00%	1.69%	0.00%	0.00%	0.00%	0.00%	1.03%	0.23%	0.00%	20.15%	0.00%	0.00%	0.00%	0.25%	0.34%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3605	120	168	140	132	140	145	84	140	72	109	117	127	126	122	153	52	84	43	37	55	52	12	63	27	53	71	7	23	15	77	38	4	5	47	14	22	33	21	62	22	7	52	36	45	47	28	103	5	1	24	7	4	111	161	140									
		24.22%	27.52%	26.29%	28.34%	28.39%	32.94%	32.73%	23.73%	27.18%	24.49%	29.70%	22.54%	22.97%	21.65%	25.21%	28.07%	18.12%	27.72%	28.48%	23.72%	16.27%	19.19%	20.34%	16.67%	15.00%	36.55%	30.21%	12.96%	35.94%	34.88%	29.28%	17.35%	2.84%	11.36%	18.50%	10.77%	16.79%	30.84%	31.34%	23.57%	17.74%	11.86%	29.38%	30.51%	26.47%	29.38%	28.87%	23.90%	16.67%	0.37%	11.11%	11.67%	3.45%	27.48%	27.71%	29.60%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	49	1	1	3	3	0	3	1	1	1	1	2	6	4	3	3	1	2	0	1	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	3									
		0.33%	0.23%	0.16%	0.61%	0.65%	0.00%	0.68%	0.28%	0.19%	0.34%	0.27%	0.39%	1.08%	0.69%	0.62%	0.55%	0.35%	0.66%	0.00%	0.64%	0.59%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.76%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.49%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.37%	0.00%	0.00%	0.00%	0.50%	0.17%	0.63%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	63	0	6	1	2	1	4	0	4	1	2	3	2	3	4	3	1	0	0	0	4	4	0	2	0	0	0	0	0	0	4	0	1	0	3	0	0	0	0	0	0	0	2	0	0	1	0	2	0	1	0	0	0	1	1	0									
		0.42%	0.00%	0.94%	0.20%	0.43%	0.24%	0.90%	0.00%	0.78%	0.34%	0.54%	0.58%	0.36%	0.52%	0.83%	0.55%	0.35%	0.00%	0.00%	0.00%	1.18%	1.48%	0.00%	0.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.52%	0.00%	0.71%	0.00%	1.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.13%	0.00%	0.00%	0.63%	0.00%	0.46%	0.00%	0.37%	0.00%	0.00%	0.00%	0.25%	0.17%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	20	1	0	0	0	3	0	1	0	0	1	0	1	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	2	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0									
		0.13%	0.23%	0.00%	0.00%	0.00%	0.71%	0.00%	0.28%	0.00%	0.00%	0.27%	0.00%	0.18%	0.00%	0.00%	0.00%	0.35%	0.66%	0.00%	0.00%	0.00%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.39%	0.00%	0.76%	0.93%	2.99%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.37%	0.46%	0.00%	0.00%	0.00%	0.17%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	62	2	4	1	0	3	2	1	2	0	0	4	2	4	7	5	1	1	0	2	2	3	0	0	1	0	1	0	0	0	2	0	0	0	0	0	1	0	0	1	1	0	1	0	2	0	0	2	0	1	1	0	0	0	0	2									
		0.42%	0.46%	0.63%	0.20%	0.00%	0.71%	0.45%	0.28%	0.39%	0.00%	0.00%	0.77%	0.36%	0.69%	1.45%	0.92%	0.35%	0.33%	0.00%	1.28%	0.59%	1.11%	0.00%	0.00%	0.56%	0.00%	0.43%	0.00%	0.00%	0.00%	0.76%	0.00%	0.00%	0.00%	0.00%	0.00%	0.76%	0.00%	0.00%	0.38%	0.81%	0.00%	0.56%	0.00%	1.18%	0.00%	0.00%	0.46%	0.00%	0.37%	0.46%	0.00%	0.00%	0.00%	0.00%	0.42%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2922	71	139	92	99	75	89	65	108	49	71	115	109	146	97	103	58	44	12	30	82	44	20	114	52	20	21	9	5	3	44	69	49	5	60	21	16	21	3	62	11	8	21	20	12	40	15	90	7	56	8	7	28	81	122	104									
		19.63%	16.28%	21.75%	18.62%	21.29%	17.65%	20.09%	18.36%	20.97%	16.67%	19.35%	22.16%	19.71%	25.09%	20.04%	18.90%	20.21%	14.52%	7.95%	19.23%	24.26%	16.24%	33.90%	30.16%	28.89%	13.79%	8.94%	16.67%	7.81%	6.98%	16.73%	31.51%	34.75%	11.36%	23.62%	16.15%	12.21%	19.63%	4.48%	23.57%	8.87%	13.56%	11.86%	16.95%	7.06%	25.00%	15.46%	20.88%	23.33%	20.90%	3.70%	11.67%	24.14%	20.05%	20.99%	21.99%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	59	1	2	2	4	4	1	0	1	0	2	2	2	2	5	1	1	2	0	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	2	1	2	0	1	2	0	0	2	1	0	0	0	4	0	2	0	0	0	0	2	3									
