Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																				
Дата голосования: 02.12.2007																																				
																																				
Наименование Избирательной комиссии:    Приволжская																																				
																																				
Сводная таблица результатов выборов																																				
																																				
		Сумма	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673					
1	"Число избирателей, внесенных в списки избирателей"	22141	1389	1522	1288	964	761	824	1104	1184	1161	1034	1361	1414	646	1528	856	237	362	996	278	434	308	484	583	176	131	485	297	96	238					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	21769	1361	1481	1283	962	773	776	1024	1178	1127	999	1295	1370	519	1447	882	201	390	1065	292	436	306	496	589	184	145	489	308	106	285					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	10685	684	738	657	487	358	393	530	595	493	404	692	683	341	791	315	95	152	543	19	252	143	264	335	87	65	189	198	72	110					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1763	68	40	62	50	46	39	76	46	46	78	89	78	36	52	167	54	123	83	147	9	46	42	41	45	11	94	29	19	47					
6	Число погашенных избирательных бюллетеней	9321	609	703	564	425	369	344	418	537	588	517	514	609	142	604	400	52	115	439	126	175	117	190	213	52	69	206	81	15	128					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1763	68	40	62	50	46	39	76	46	46	78	89	78	36	52	167	54	123	83	147	9	46	42	41	45	11	94	29	19	47					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	10685	684	738	657	487	358	393	530	595	493	404	692	683	341	791	315	95	152	543	19	252	143	264	335	87	65	189	198	72	110					
9	Число недействительных избирательных бюллетеней	87	2	5	10	8	6	2	4	3	2	3	8	3	3	10	2	2	0	6	1	0	0	1	1	1	0	2	1	1	0					
10	Число действительных избирательных бюллетеней	12361	750	773	709	529	398	430	602	638	537	479	773	758	374	833	480	147	275	620	165	261	189	305	375	131	76	281	226	90	157					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	318	15	15	17	12	10	10	12	10	10	10	14	14	12	12	12	10	9	14	8	7	7	7	20	7	10	10	9	7	8					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	251	7	15	14	2	7	5	12	9	6	10	4	6	5	10	12	10	9	14	8	7	2	6	20	7	10	10	9	7	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	242	4	7	5	8	3	8	6	3	2	6	7	1	102	29	4	2	2	7	3	2	0	7	7	2	4	3	3	1	4					
14	Число погашенных неиспользованных открепительных удостоверений	67	8	0	3	10	3	5	0	1	4	0	10	8	7	2	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																				
18	1.Политическая партия «Аграрная партия России»	570	23	36	30	23	15	22	22	30	26	18	31	13	13	36	29	6	14	46	10	10	14	28	12	2	5	35	11	5	5					
		4.58%	3.06%	4.63%	4.17%	4.28%	3.71%	5.09%	3.63%	4.68%	4.82%	3.73%	3.97%	1.71%	3.45%	4.27%	6.02%	4.03%	5.09%	7.35%	6.02%	3.83%	7.41%	9.15%	3.19%	1.52%	6.58%	12.37%	4.85%	5.49%	3.18%					
19	2.Всероссийская политическая партия «Гражданская Сила»	76	8	2	6	3	4	2	3	9	0	2	3	4	10	7	4	1	1	1	1	0	4	0	0	0	0	0	1	0	0					
		0.61%	1.06%	0.26%	0.83%	0.56%	0.99%	0.46%	0.50%	1.40%	0.00%	0.41%	0.38%	0.53%	2.65%	0.83%	0.83%	0.67%	0.36%	0.16%	0.60%	0.00%	2.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.44%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	7	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1					
		0.06%	0.13%	0.26%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.64%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1171	61	76	52	60	46	56	45	68	38	22	81	50	43	105	36	21	37	57	15	22	14	22	46	17	17	30	26	1	7					
