Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																												
Дата голосования: 02.12.2007																																																												
																																																												
Наименование Избирательной комиссии:    Курагинская																																																												
																																																												
Сводная таблица результатов выборов																																																												
																																																												
		Сумма	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560					
1	"Число избирателей, внесенных в списки избирателей"	33213	387	231	623	297	120	571	301	319	706	368	626	1331	1180	1303	1622	1356	1553	547	948	151	1659	1561	163	463	285	122	273	90	82	504	121	212	71	886	566	725	156	287	199	585	454	252	299	1001	893	721	1336	1140	1416	1627	86	232	206					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	34201	381	228	620	294	119	603	290	316	704	345	582	1460	1259	1350	1806	1415	1654	529	950	149	1797	1704	167	447	279	122	267	92	86	493	114	201	67	927	565	732	177	294	193	560	444	267	306	964	924	712	1260	1164	1526	1777	87	233	199					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	21316	290	155	470	193	80	427	201	167	423	216	321	824	691	798	967	656	947	333	596	102	1227	1115	129	343	172	93	182	68	42	303	91	136	47	517	397	459	132	216	170	476	374	197	233	537	552	397	678	738	961	1093	45	195	144					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1830	27	21	0	20	15	33	18	12	81	12	30	100	88	52	64	82	85	31	82	11	47	44	12	14	18	0	9	5	0	53	8	43	5	117	14	30	0	13	9	16	23	9	5	51	91	126	72	34	24	34	16	15	9					
6	Число погашенных избирательных бюллетеней	10927	64	52	150	81	24	143	71	137	200	117	231	536	480	500	775	677	622	165	272	36	523	545	26	90	89	29	76	19	44	137	15	22	15	293	154	243	45	65	14	68	47	61	68	248	281	189	510	392	541	650	26	23	46					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1958	27	21	0	20	15	33	18	12	81	12	30	100	88	52	64	82	85	31	82	11	47	44	12	14	18	0	9	5	0	53	8	43	5	117	14	30	0	13	9	16	23	9	5	179	91	126	72	34	24	34	16	15	9					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	21313	290	155	470	193	80	427	201	167	423	216	321	824	691	798	967	656	947	333	596	102	1227	1115	129	343	172	93	182	68	42	303	91	136	47	517	397	459	132	216	170	476	374	197	233	537	552	397	678	738	958	1093	45	195	144					
9	Число недействительных избирательных бюллетеней	202	5	2	7	3	0	8	1	6	2	1	5	5	5	6	6	2	8	4	6	0	7	18	0	2	8	0	1	0	0	7	0	1	1	5	2	5	0	3	2	9	3	1	4	12	6	1	2	5	7	5	0	1	2					
10	Число действительных избирательных бюллетеней	23069	312	174	463	210	95	452	218	173	502	227	346	919	774	844	1025	736	1024	360	672	113	1267	1141	141	355	182	93	190	73	42	349	99	178	51	629	409	484	132	226	177	483	394	205	234	704	637	522	748	767	975	1122	61	209	151					
