Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																								
Дата голосования: 18.09.2016																																																								
																																																								
Наименование Избирательной комиссии:    Добринская																																																								
																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																								
																																																								
		Сумма	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	28961	1401	866	794	1660	1600	207	1027	275	492	637	1088	450	324	315	743	184	471	1056	570	468	474	1354	328	392	574	310	434	300	419	410	578	897	223	1119	99	243	1618	1326	438	139	568	295	1198	324	273									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	28600	1300	850	800	1600	1600	200	1000	275	475	640	1000	450	325	300	725	175	475	1050	575	450	475	1375	325	390	575	300	425	295	420	400	575	900	220	1125	100	240	1625	1325	440	140	570	300	1200	325	270									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	16754	597	352	524	939	630	48	388	245	148	472	655	204	227	222	440	138	373	787	447	334	307	709	244	246	395	217	341	239	211	220	400	721	114	500	71	189	908	480	225	72	318	187	985	113	172									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3111	60	39	34	66	17	42	78	28	58	120	196	159	86	55	65	35	51	126	72	74	73	61	53	32	61	35	57	37	137	107	74	86	50	161	24	34	49	69	83	43	89	48	132	37	18									
6	Число погашенных избирательных бюллетеней	8735	643	459	242	595	953	110	534	2	269	48	149	87	12	23	220	2	51	137	56	42	95	605	28	112	119	48	27	19	72	73	101	93	56	464	5	17	668	776	132	25	163	65	83	175	80									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3111	60	39	34	66	17	42	78	28	58	120	196	159	86	55	65	35	51	126	72	74	73	61	53	32	61	35	57	37	137	107	74	86	50	161	24	34	49	69	83	43	89	48	132	37	18									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	16754	597	352	524	939	630	48	388	245	148	472	655	204	227	222	440	138	373	787	447	334	307	709	244	246	395	217	341	239	211	220	400	721	114	500	71	189	908	480	225	72	318	187	985	113	172									
9	Число недействительных избирательных бюллетеней	215	11	11	3	13	35	0	5	3	3	0	3	5	18	0	10	0	0	0	1	6	7	9	0	0	0	1	0	0	1	1	0	4	3	0	0	2	5	6	4	3	36	3	0	2	1									
10	Число действительных избирательных бюллетеней	19650	646	380	555	992	612	90	461	270	203	592	848	358	295	277	495	173	424	913	518	402	373	761	297	278	456	251	398	276	347	326	474	803	161	661	95	221	952	543	304	112	371	232	1117	148	189									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	222	15	5	5	10	10	3	10	2	2	2	10	3	3	3	3	2	5	10	5	3	3	10	2	2	3	3	3	3	3	3	3	10	2	10	2	2	10	10	2	2	5	2	10	3	3									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	67	9	0	2	2	1	0	4	0	1	0	3	0	0	0	1	0	0	3	0	1	1	10	0	1	0	2	0	0	2	0	0	1	1	10	2	0	3	4	0	0	0	1	2	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	53	8	0	1	1	1	2	4	0	3	0	0	1	0	0	3	0	0	0	2	0	0	2	0	2	0	0	1	0	0	0	0	2	4	3	0	0	3	5	0	0	0	0	2	2	1									
14	Число погашенных неиспользованных открепительных удостоверений	155	6	5	3	8	9	3	6	2	1	2	7	3	3	3	2	2	5	7	5	2	2	0	2	1	3	1	3	3	1	3	3	9	1	0	0	2	7	6	2	2	5	1	8	3	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	31	0	2	2	4	3	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	3	0	1	1	0	0	0	0	0	0	5	1	0	0	0	1	1	2	0	0	0	0	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																								
