Выборы Президента Российской Федерации																																																																																							
																																																																																							
Наименование Избирательной комиссии:    Сыктывкарская городская																																																																																							
																																																																																							
Итоги голосования 																																																																																							
																																																																																							
		Сумма	УИК  179	УИК  180	УИК  181	УИК  182	УИК  183	УИК  184	УИК  185	УИК  186	УИК  187	УИК  188	УИК  189	УИК  190	УИК  191	УИК  192	УИК  193	УИК  194	УИК  195	УИК  196	УИК  197	УИК  198	УИК  199	УИК  200	УИК  201	УИК  202	УИК  203	УИК  204	УИК  205	УИК  206	УИК  207	УИК  208	УИК  209	УИК  210	УИК  211	УИК  212	УИК  213	УИК  214	УИК  215	УИК  216	УИК  217	УИК  218	УИК  219	УИК  220	УИК  221	УИК  222	УИК  223	УИК  224	УИК  225	УИК  226	УИК  227	УИК  228	УИК  229	УИК  230	УИК  231	УИК  232	УИК  233	УИК  234	УИК  235	УИК  236	УИК  237	УИК  238	УИК  239	УИК  240	УИК  241	УИК  242	УИК  243	УИК  244	УИК  245	УИК  246	УИК  247	УИК  248	УИК  249	УИК  250	УИК  251	УИК  252	УИК  253	УИК  254	УИК  255	УИК  256	УИК  257	УИК  258					
1	"Число избирателей, внесенных в список"	141165	103	2826	503	1680	310	1077	1804	1653	1399	1031	1445	1377	1765	1932	1260	1380	528	2458	2564	2094	1681	2521	496	2145	2127	2113	2045	2007	2012	2325	2202	2009	2640	2009	2175	2751	1328	2239	1316	1740	1701	1504	1798	1593	1440	1535	1155	1476	1807	1699	1472	1541	1998	2035	1985	1802	2263	2502	2260	2275	1615	1679	1640	2524	1414	1110	1299	1898	2140	2402	2396	2131	1859	1430	2002	2794	2021	2444	1121	335					
2	Число полученных избирательных бюллетеней	135524	120	2600	500	1600	300	1100	1800	1600	1400	1000	1300	1300	1700	1800	1200	1300	504	2300	2400	2000	1600	2300	700	2000	2000	2000	1900	1900	2100	2200	2100	1900	2600	2000	2100	3000	1300	2300	1200	1600	1600	1700	1700	1500	1400	1600	1100	1500	1800	1600	1400	1500	1900	1900	1900	1800	2100	2400	2100	2100	1500	1500	1600	2300	1300	1100	1200	1800	2000	2200	2200	2000	1700	1400	1800	2600	2000	2300	1100	700					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	79873	65	1567	315	821	183	587	1018	1004	829	558	794	751	906	1081	669	669	197	1462	1569	1289	1070	1457	285	982	1062	1121	1145	1068	1085	1333	1235	1241	1632	1233	1373	1790	796	1133	692	868	693	1040	1002	891	899	1022	709	1049	1163	1003	676	683	1169	1218	1248	1004	1403	1644	1419	1371	837	865	971	1534	718	578	712	1122	1246	1419	1331	1285	1117	805	993	1376	941	1218	435	129					
5	"Число избирательных бюллетеней, выданных вне помещения"	2662	5	26	6	33	3	10	11	26	95	4	13	16	14	12	16	63	7	15	16	12	14	20	211	15	10	18	12	13	12	10	23	16	18	24	27	88	24	11	4	11	17	8	27	19	28	18	12	13	34	11	11	14	10	18	21	62	49	34	17	23	19	9	31	18	14	15	27	16	22	9	27	8	30	7	152	9	328	177	109	205					
6	Число погашенных избирательных бюллетеней	52989	50	1007	179	746	114	503	771	570	476	438	493	533	780	707	515	568	300	823	815	699	516	823	204	1003	928	861	743	819	1003	857	842	643	950	743	700	1122	480	1156	504	721	890	652	671	590	473	560	379	438	603	586	713	803	721	664	631	734	648	722	664	706	644	626	598	748	568	507	461	662	732	772	842	707	553	588	655	1215	731	905	556	366					
7	Число избирательных бюллетеней в переносных ящиках	2662	5	26	6	33	3	10	11	26	95	4	13	16	14	12	16	63	7	15	16	12	14	20	211	15	10	18	12	13	12	10	23	16	18	24	27	88	24	11	4	11	17	8	27	19	28	18	12	13	34	11	11	14	10	18	21	62	49	34	17	23	19	9	31	18	14	15	27	16	22	9	27	8	30	7	152	9	328	177	109	205					
8	Число бюллетеней в стационарных ящиках для голосования	79806	65	1567	315	821	183	587	1018	1004	829	557	793	750	906	1051	669	669	197	1458	1569	1287	1070	1457	283	982	1062	1121	1145	1068	1085	1332	1232	1241	1632	1233	1371	1790	796	1133	692	868	693	1032	1002	891	899	1022	709	1049	1163	1003	676	683	1169	1218	1248	1004	1403	1643	1417	1371	837	861	971	1534	718	578	710	1121	1246	1418	1331	1285	1117	804	993	1376	941	1218	435	129					
9	Число недействительных избирательных бюллетеней	513	0	22	0	10	2	8	17	10	8	4	16	9	16	10	11	15	3	6	2	5	4	5	6	8	8	4	12	5	5	4	1	6	5	5	8	7	2	8	1	4	7	7	1	8	5	6	7	6	6	1	4	2	3	7	9	5	3	9	5	7	6	9	3	5	5	4	7	4	0	10	5	5	3	3	7	9	15	17	4	2					
10	Число действительных избирательных бюллетеней	81955	70	1571	321	844	184	589	1012	1020	916	557	790	757	904	1053	674	717	201	1467	1583	1294	1080	1472	488	989	1064	1135	1145	1076	1092	1338	1254	1251	1645	1252	1390	1871	818	1136	695	875	703	1033	1028	902	922	1034	714	1056	1191	1013	683	695	1176	1229	1260	1061	1449	1668	1429	1387	850	861	999	1547	727	589	730	1133	1268	1417	1353	1288	1144	808	1138	1376	1254	1378	540	332					
11	Число полученных открепительных  удостоверений	985	5	10	5	15	5	10	15	10	10	5	10	5	10	5	5	10	5	15	15	15	15	10	0	10	20	20	10	10	10	20	10	10	25	20	15	10	10	20	10	10	10	20	20	5	10	15	15	25	20	10	10	10	20	20	10	15	25	20	25	20	15	15	10	10	10	5	10	10	10	10	15	10	15	10	15	10	10	10	10	0					
12	Число выданных открепительных удостоверений	564	0	8	1	12	1	3	4	0	4	0	2	1	5	3	1	6	0	14	6	9	10	2	0	5	15	10	7	7	4	18	5	9	18	11	13	9	7	10	5	0	3	20	3	2	9	5	8	10	10	7	4	1	18	5	6	9	9	16	20	13	7	10	5	7	7	1	5	7	5	9	15	10	11	6	11	8	7	7	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	710	0	9	0	4	4	2	0	3	11	2	7	6	6	3	4	11	4	24	34	6	6	9	38	1	6	7	8	18	2	10	11	12	12	8	14	25	11	13	5	7	4	14	7	3	8	11	3	17	12	1	4	4	3	9	7	19	18	27	17	6	6	4	4	6	5	5	2	16	7	8	5	9	8	8	10	3	10	10	3	24					
14	Число неиспользованных открепительных удостоверений	421	5	2	4	3	4	7	11	10	6	5	8	4	5	2	4	4	5	1	9	6	5	8	0	5	5	10	3	3	6	2	5	1	7	9	2	1	3	10	5	10	7	0	17	3	1	10	7	15	10	3	6	9	2	15	4	6	16	4	5	7	8	5	5	3	3	4	5	3	5	1	0	0	4	4	4	2	3	3	7	0					
15	"Число открепительных удостоверений, выданных в ТИК"	56	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	2	3	2	0	1	0	1	1	2	0	1	0	1	0	1	0	0	0	1	1	0	1	0	0	1	1	1	1	0	1	0	0	0	1	2	0	0	1	0	2	0	1	1	0	2	1	0	1	1	0	0	0	0	2	2	1	3	1	2	5	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																							
18	. Глазьев Сергей Юрьевич	3167	1	43	5	14	6	27	30	47	41	19	24	18	23	33	19	29	9	72	63	58	57	75	11	24	44	41	52	48	36	49	40	64	70	52	59	32	22	28	33	31	24	12	45	31	53	53	37	29	59	43	19	13	67	50	64	57	59	84	83	62	26	33	29	82	23	27	21	51	40	74	52	47	44	37	46	55	21	45	11	10					
		3.84%	1.43%	2.70%	1.56%	1.64%	3.23%	4.52%	2.92%	4.56%	4.44%	3.39%	2.98%	2.35%	2.50%	3.10%	2.77%	3.96%	4.41%	4.89%	3.97%	4.46%	5.26%	5.08%	2.23%	2.41%	4.10%	3.60%	4.49%	4.44%	3.28%	3.65%	3.19%	5.09%	4.24%	4.14%	4.22%	1.70%	2.68%	2.45%	4.74%	3.53%	3.38%	1.15%	4.37%	3.41%	5.72%	5.10%	5.13%	2.73%	4.93%	4.24%	2.77%	1.87%	5.68%	4.05%	5.04%	5.35%	4.06%	5.01%	5.79%	4.45%	3.04%	3.79%	2.89%	5.28%	3.14%	4.55%	2.85%	4.49%	3.15%	5.19%	3.83%	3.63%	3.84%	4.56%	4.02%	3.97%	1.65%	3.23%	2.02%	2.99%					
19	. Малышкин Олег Александрович	1517	9	33	9	16	6	20	21	29	24	10	16	16	19	21	6	16	6	19	23	24	11	24	10	24	17	22	36	13	23	18	32	14	17	21	24	22	14	29	20	21	18	14	22	12	11	16	13	14	16	16	14	23	11	28	21	22	19	22	18	18	18	15	19	24	15	20	13	15	28	28	22	24	20	11	24	20	39	34	15	10					
		1.84%	12.86%	2.07%	2.80%	1.87%	3.23%	3.35%	2.04%	2.82%	2.60%	1.78%	1.99%	2.09%	2.07%	1.98%	0.88%	2.19%	2.94%	1.29%	1.45%	1.85%	1.01%	1.62%	2.02%	2.41%	1.59%	1.93%	3.11%	1.20%	2.10%	1.34%	2.55%	1.11%	1.03%	1.67%	1.72%	1.17%	1.71%	2.53%	2.87%	2.39%	2.54%	1.35%	2.14%	1.32%	1.19%	1.54%	1.80%	1.32%	1.34%	1.58%	2.04%	3.30%	0.93%	2.27%	1.65%	2.06%	1.31%	1.31%	1.26%	1.29%	2.10%	1.72%	1.90%	1.55%	2.05%	3.37%	1.76%	1.32%	2.21%	1.96%	1.62%	1.86%	1.74%	1.36%	2.10%	1.44%	3.07%	2.44%	2.76%	2.99%					
