Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																		
Дата голосования: 07.12.2003 0:00:00																		
																		
Наименование Избирательной комиссии:    Петропавловская 																		
																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																		
																		
		Сумма	УИК №1253	УИК №1254	УИК №1255	УИК №1256	УИК №1257	УИК №1258	УИК №1259	УИК №1260	УИК №1261	УИК №1262	УИК №1263					
1	"Число избирателей, внесенных в списки"	10737	1184	1233	1319	1371	799	935	818	1283	1035	114	646					
2	"Число бюллетеней, полученных участковыми комиссиями"	9618	1054	1065	1190	1205	725	850	734	1131	923	160	581					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	6273	667	756	707	854	467	511	524	710	606	78	393					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	440	27	19	71	28	45	72	34	74	19	23	28					
6	Число погашенных бюллетеней	2905	360	290	412	323	213	267	176	347	298	59	160					
7	Число бюллетеней в переносных ящиках для голосования	440	27	19	71	28	45	72	34	74	19	23	28					
8	Число бюллетеней в стационарных ящиках для голосования	6273	667	756	707	854	467	511	524	710	606	78	393					
9	Число недействительных бюллетеней	95	5	21	13	11	6	6	16	11	4	0	2					
10	Число действительных бюллетеней	6618	689	754	765	871	506	577	542	773	621	101	419					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	100	10	10	10	10	10	10	9	10	10	3	8					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	17	0	1	2	2	3	4	2	3	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	13	0	3	0	0	0	0	5	1	0	3	1					
14	Число погашенных открепительных удостоверений	83	10	9	8	8	7	6	7	7	10	3	8					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
																		
18	"1. ""ЕДИНЕНИЕ"""	72	8	9	11	9	9	3	6	5	4	3	5					
		1.07%	1.15%	1.16%	1.41%	1.02%	1.75%	0.51%	1.07%	0.63%	0.64%	2.97%	1.18%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	96	18	8	8	1	6	8	2	24	20	0	1					
		1.43%	2.59%	1.03%	1.02%	0.11%	1.17%	1.37%	0.35%	3.06%	3.2%	0.0%	0.23%					
