Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																						
Дата голосования: 02.12.2007																																																						
																																																						
Наименование Избирательной комиссии:    Новоаннинская																																																						
																																																						
Сводная таблица результатов выборов																																																						
																																																						
		Сумма	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1248	УИК №1249	УИК №1250	УИК №1251					
1	"Число избирателей, внесенных в списки избирателей"	28135	1505	1408	1115	1129	1354	1414	1540	1309	1157	1384	1087	740	81	95	434	159	101	76	396	201	307	724	172	681	132	169	198	451	291	532	197	1627	434	361	398	761	126	154	422	623	181	833	170	221	1134	57	94					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	29880	1476	1402	1101	1185	1375	1431	1579	1442	1163	1300	1050	789	85	130	467	180	114	91	429	230	344	827	210	796	155	202	259	506	302	605	233	1671	501	419	498	850	127	189	423	669	212	972	222	254	1223	80	112					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	16104	802	749	581	511	770	737	788	739	560	732	543	444	72	86	335	125	79	73	235	116	190	410	71	459	93	116	118	291	166	364	126	963	126	311	208	475	67	114	232	375	147	524	136	150	680	49	66					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3367	89	81	62	135	78	87	97	62	93	73	104	106	5	2	39	31	17	3	43	40	29	174	85	98	15	39	54	82	69	63	52	167	192	30	144	160	52	25	109	102	27	100	34	51	141	4	22					
6	Число погашенных избирательных бюллетеней	10409	585	572	458	539	527	607	694	641	510	495	403	239	8	42	93	24	18	15	151	74	125	243	54	239	47	47	87	133	67	178	55	541	183	78	146	215	8	50	82	192	38	348	52	53	402	27	24					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3367	89	81	62	135	78	87	97	62	93	73	104	106	5	2	39	31	17	3	43	40	29	174	85	98	15	39	54	82	69	63	52	167	192	30	144	160	52	25	109	102	27	100	34	51	141	4	22					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	16101	802	748	581	511	770	737	788	739	559	731	543	444	72	86	335	125	79	73	235	116	190	410	71	459	93	116	118	291	166	364	126	963	126	311	208	475	67	114	232	375	147	524	136	150	680	49	66					
9	Число недействительных избирательных бюллетеней	154	13	6	6	5	15	9	4	7	3	9	2	1	0	2	3	3	0	0	0	3	0	2	0	8	0	1	3	3	0	4	0	4	1	2	0	9	3	3	2	6	2	2	1	0	6	1	0					
10	Число действительных избирательных бюллетеней	19314	878	823	637	641	833	815	881	794	649	795	645	549	77	86	371	153	96	76	278	153	219	582	156	549	108	154	169	370	235	423	178	1126	317	339	352	626	116	136	339	471	172	622	169	201	815	52	88					
