Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																														
Дата голосования: 18.09.2016																																																														
																																																														
"Наименование Избирательной комиссии:    Казань, Московская"																																																														
																																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																																														
																																																														
		Сумма	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	96261	1572	1950	1922	1951	2055	1906	2342	2300	1892	2008	1574	1452	1648	1639	1746	1943	1512	2406	1770	2779	1831	2119	1873	1821	2737	1586	1642	2006	2705	2317	2374	1728	2924	1943	1958	2068	2574	2358	2406	1945	1692	2372	2593	2548	2290	2448	440	95	147	210	144									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	93639	1500	1900	1900	1900	2000	1900	2300	2200	1900	2000	1400	1400	1600	1600	1700	1900	1400	2300	1800	2700	1800	2000	1800	1800	2500	1500	1600	2000	2700	2300	2400	1600	2800	1900	1900	2000	2500	2300	2300	1900	1600	2400	2500	2500	2200	2400	400	95	230	270	144									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	54069	1007	937	845	1010	986	1260	1308	983	921	902	905	864	893	977	1091	1098	1064	1543	1100	1337	1075	1378	1037	967	1470	772	715	1033	1481	1471	1126	827	1578	1202	1102	1058	1519	1863	1385	1253	934	1303	1431	1424	1370	1367	352	95	120	199	131									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1080	9	11	38	61	42	36	15	12	31	14	12	21	24	23	9	50	6	22	36	24	14	11	32	63	62	24	26	9	32	12	19	17	10	34	6	9	38	0	14	13	2	18	5	14	24	9	16	0	27	11	13									
6	Число погашенных избирательных бюллетеней	38490	484	952	1017	829	972	604	977	1205	948	1084	483	515	683	600	600	752	330	735	664	1339	711	611	731	770	968	704	859	958	1187	817	1255	756	1212	664	792	933	943	437	901	634	664	1079	1064	1062	806	1024	32	0	83	60	0									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1080	9	11	38	61	42	36	15	12	31	14	12	21	24	23	9	50	6	22	36	24	14	11	32	63	62	24	26	9	32	12	19	17	10	34	6	9	38	0	14	13	2	18	5	14	24	9	16	0	27	11	13									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	54041	1007	937	845	1010	986	1260	1307	983	921	900	905	864	893	974	1091	1098	1064	1543	1100	1337	1075	1378	1037	967	1467	772	715	1033	1478	1471	1126	827	1578	1202	1102	1058	1507	1863	1383	1253	932	1303	1431	1424	1370	1367	352	95	120	199	131									
9	Число недействительных избирательных бюллетеней	919	15	20	32	7	34	0	24	26	11	27	36	58	4	0	23	13	7	21	6	51	12	25	3	14	28	25	20	26	10	0	38	15	31	2	22	39	9	52	37	0	12	26	32	16	2	4	0	0	4	0	0									
10	Число действительных избирательных бюллетеней	54202	1001	928	851	1064	994	1296	1298	969	941	887	881	827	913	997	1077	1135	1063	1544	1130	1310	1077	1364	1066	1016	1501	771	721	1016	1500	1483	1107	829	1557	1234	1086	1028	1536	1811	1360	1266	922	1295	1404	1422	1392	1372	368	95	143	210	144									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2310	40	50	50	50	50	50	50	50	50	50	40	40	40	40	50	50	40	50	40	70	50	50	50	50	50	40	40	50	70	50	50	40	100	50	50	50	50	50	50	50	40	70	50	50	50	50	10	0	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1627	35	31	38	34	37	43	32	31	35	28	23	24	28	25	31	36	24	50	38	53	26	36	32	32	40	19	23	42	54	33	41	35	63	30	26	36	43	22	37	26	22	70	39	47	33	37	7	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1383	38	21	17	31	20	26	23	27	17	18	32	10	32	10	55	9	79	16	11	21	31	19	19	13	53	22	28	23	15	21	27	60	88	16	2	22	6	6	51	8	42	8	26	43	48	9	22	0	60	56	26									
14	Число погашенных неиспользованных открепительных удостоверений	683	5	19	12	16	13	7	18	19	15	22	17	16	12	15	19	14	16	0	2	17	24	14	18	18	10	21	17	8	16	17	9	5	37	20	24	14	7	28	13	24	18	0	11	3	17	13	3	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	94	2	4	1	2	1	4	3	0	0	1	2	0	2	0	3	1	0	2	3	3	2	3	1	0	3	2	1	3	2	4	9	1	0	1	0	2	5	5	1	0	1	4	4	3	0	3	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
