Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																														
Дата голосования: 02.12.2007																																														
																																														
"Наименование Избирательной комиссии:    Нижний Новгород, Приокская"																																														
																																														
Сводная таблица результатов выборов																																														
																																														
		Сумма	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706					
1	"Число избирателей, внесенных в списки избирателей"	82373	1163	2208	2271	2389	1513	1639	1762	2539	2557	2286	2592	2805	2288	2646	2622	2549	1326	1792	1505	1104	2511	2739	1991	2347	1516	2469	2164	2112	2451	2282	1934	1840	1741	2266	2334	2679	2473	1908	1060					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	74300	1000	2000	2000	2200	1400	1400	1600	2300	2300	2100	2400	2500	2000	2400	2400	2300	1200	1600	1400	1000	2200	2500	1800	2100	1400	2200	2000	2000	2200	2100	1700	1700	1600	2000	2000	2400	2200	1700	1000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	42288	594	1247	1209	1666	816	788	865	1480	1412	1120	1414	1365	1176	1291	1125	1096	466	728	702	420	1204	1395	914	1146	804	1366	1157	1105	1317	1269	1089	923	921	1216	1232	1458	1276	1046	470					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1098	35	25	81	22	31	38	33	15	23	33	27	24	33	17	28	22	14	25	12	12	57	27	11	25	7	26	19	24	25	19	22	27	19	16	133	18	10	9	54					
6	Число погашенных избирательных бюллетеней	30914	371	728	710	512	553	574	702	805	865	947	959	1111	791	1092	1247	1182	720	847	686	568	939	1078	875	929	589	808	824	871	858	812	589	750	660	768	635	924	914	645	476					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1098	35	25	81	22	31	38	33	15	23	33	27	24	33	17	28	22	14	25	12	12	57	27	11	25	7	26	19	24	25	19	22	27	19	16	133	18	10	9	54					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	42254	594	1247	1205	1663	816	786	865	1480	1412	1119	1414	1365	1176	1291	1125	1095	464	728	702	420	1204	1395	914	1146	804	1358	1157	1100	1315	1269	1087	921	921	1215	1232	1457	1276	1046	470					
9	Число недействительных избирательных бюллетеней	502	3	9	15	25	8	7	12	12	18	15	19	18	15	19	17	3	4	10	10	8	13	7	8	14	8	21	10	15	13	18	10	14	10	9	21	27	17	7	13					
10	Число действительных избирательных бюллетеней	42850	626	1263	1271	1660	839	817	886	1483	1417	1137	1422	1371	1194	1289	1136	1114	474	743	704	424	1248	1415	917	1157	803	1363	1166	1109	1327	1270	1099	934	930	1222	1344	1448	1269	1048	511					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	895	35	65	25	35	15	15	20	25	25	28	22	21	15	20	15	15	15	15	15	15	15	20	15	19	107	18	25	20	20	20	15	15	15	20	20	25	20	15	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	682	32	37	17	27	14	12	16	21	21	26	21	17	11	17	8	13	8	9	9	3	15	18	8	16	88	15	14	15	15	15	6	14	7	17	17	19	17	14	13					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	398	14	14	15	11	15	8	8	6	6	12	7	13	22	13	3	6	11	10	4	7	11	18	6	8	18	15	15	5	11	9	14	12	5	7	5	5	12	8	9					
14	Число погашенных неиспользованных открепительных удостоверений	213	3	28	8	8	1	3	4	4	4	2	1	4	4	3	7	2	7	6	6	12	0	2	7	3	19	3	11	5	5	5	9	1	8	3	3	6	3	1	2					
