Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																														
Дата голосования: 04.12.2011																																														
																																														
"Наименование Избирательной комиссии:    Нижний Новгород, Приокская"																																														
																																														
Сводная таблица результатов выборов																																														
																																														
		Сумма	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706					
1	"Число избирателей, внесенных в список избирателей"	81613	1410	2204	2202	2197	1452	1490	1847	2475	2314	2277	2415	2689	2433	2475	2405	2864	1552	1715	1417	1074	2474	2677	2345	2212	1523	2305	2176	1987	2325	2292	1840	1681	1659	2197	2366	3226	2495	1872	1054					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	65850	1100	1800	1700	1700	1200	1200	1500	2000	1850	2000	2000	2200	2000	2000	2000	2300	1000	1500	1200	900	2000	2200	2000	1800	1300	1850	1800	1600	2000	1800	1500	1350	1350	1700	2000	2100	2000	1500	850					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	50023	1053	1531	1583	1465	1065	1078	1303	1354	1171	1584	1748	1690	1685	1734	1535	1395	694	1080	840	599	1554	1911	1610	1110	923	1210	1505	1378	1312	1510	1179	815	926	1328	1477	1417	1328	1009	334					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1619	5	14	69	18	24	25	28	12	16	10	15	30	18	23	28	37	237	35	10	24	104	9	16	23	6	16	18	13	15	26	17	13	14	56	61	448	10	14	62					
6	Число погашенных избирательных бюллетеней	14208	42	255	48	217	111	97	169	634	663	406	237	480	297	243	437	868	69	385	350	277	342	280	374	667	371	624	277	209	673	264	304	522	410	316	462	235	662	477	454					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1619	5	14	69	18	24	25	28	12	16	10	15	30	18	23	28	37	237	35	10	24	104	9	16	23	6	16	18	13	15	26	17	13	14	56	61	448	10	14	62					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	49982	1053	1531	1583	1461	1065	1078	1302	1354	1171	1584	1747	1688	1685	1734	1534	1395	694	1080	840	599	1552	1911	1607	1109	923	1207	1505	1377	1310	1510	1179	815	926	1328	1474	1400	1328	1009	334					
9	Число недействительных избирательных бюллетеней	555	7	17	25	18	14	16	19	16	14	16	28	19	14	16	14	19	7	15	5	4	26	16	8	11	4	19	8	15	18	12	15	6	12	13	18	20	11	15	5					
10	Число действительных избирательных бюллетеней	51046	1051	1528	1627	1461	1075	1087	1311	1350	1173	1578	1734	1699	1689	1741	1548	1413	924	1100	845	619	1630	1904	1615	1121	925	1204	1515	1375	1307	1524	1181	822	928	1371	1517	1828	1327	1008	391					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1221	61	75	35	25	25	17	35	36	50	30	45	40	27	40	35	38	7	25	19	16	25	25	25	25	80	35	35	32	33	28	19	20	18	15	25	25	35	34	6					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1167	61	75	34	21	23	14	33	35	40	30	44	40	27	40	33	37	6	22	17	13	24	25	25	21	80	35	35	27	33	27	19	20	18	15	25	24	33	31	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1007	72	25	37	35	23	17	31	47	48	8	17	20	29	33	7	26	17	14	15	38	9	62	42	28	10	11	27	23	36	56	17	14	9	10	14	20	10	10	40					
14	Число погашенных неиспользованных открепительных удостоверений	54	0	0	1	4	2	3	2	1	10	0	1	0	0	0	2	1	1	3	2	3	1	0	0	4	0	0	0	5	0	1	0	0	0	0	0	1	2	3	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	26	0	0	2	0	0	1	0	1	0	5	1	2	1	0	0	3	0	0	0	1	0	1	1	2	1	0	1	0	0	0	1	0	0	1	0	1	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																														
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	6183	83	182	185	194	144	123	159	230	189	182	209	177	166	146	177	200	81	95	84	42	174	201	192	193	47	213	156	167	187	211	149	110	153	186	185	227	202	150	32					
		11.98%	7.84%	11.78%	11.20%	13.12%	13.22%	11.15%	11.95%	16.84%	15.92%	11.42%	11.86%	10.30%	9.75%	8.31%	11.33%	13.97%	8.70%	8.52%	9.88%	6.74%	10.51%	10.47%	11.83%	17.05%	5.06%	17.42%	10.24%	12.01%	14.11%	13.74%	12.46%	13.29%	16.28%	13.44%	12.05%	12.28%	15.10%	14.66%	8.08%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	4668	88	166	121	277	68	74	85	157	135	99	131	129	116	129	135	157	65	83	54	44	161	154	142	138	79	121	132	112	148	136	96	73	92	156	149	159	171	107	29					
		9.05%	8.32%	10.74%	7.32%	18.73%	6.24%	6.71%	6.39%	11.49%	11.37%	6.21%	7.43%	7.51%	6.81%	7.34%	8.64%	10.96%	6.98%	7.44%	6.35%	7.06%	9.72%	8.02%	8.75%	12.19%	8.50%	9.89%	8.67%	8.06%	11.17%	8.85%	8.03%	8.82%	9.79%	11.27%	9.71%	8.60%	12.78%	10.46%	7.32%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	502	6	17	17	20	16	12	8	15	15	13	17	19	18	13	9	13	8	2	7	3	11	18	14	16	6	15	6	13	15	13	14	12	8	14	21	22	16	13	7					
		0.97%	0.57%	1.10%	1.03%	1.35%	1.47%	1.09%	0.60%	1.10%	1.26%	0.82%	0.96%	1.11%	1.06%	0.74%	0.58%	0.91%	0.86%	0.18%	0.82%	0.48%	0.66%	0.94%	0.86%	1.41%	0.65%	1.23%	0.39%	0.94%	1.13%	0.85%	1.17%	1.45%	0.85%	1.01%	1.37%	1.19%	1.20%	1.27%	1.77%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	13106	182	420	358	346	226	237	349	473	390	292	431	418	348	428	347	354	164	222	194	206	316	403	325	339	240	419	407	353	425	413	337	278	325	403	434	472	451	316	65					
		25.40%	17.20%	27.18%	21.67%	23.39%	20.75%	21.49%	26.24%	34.63%	32.86%	18.32%	24.46%	24.33%	20.43%	24.36%	22.22%	24.72%	17.62%	19.91%	22.82%	33.07%	19.08%	20.99%	20.02%	29.95%	25.83%	34.26%	26.72%	25.40%	32.08%	26.89%	28.18%	33.57%	34.57%	29.12%	28.27%	25.54%	33.71%	30.89%	16.41%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	2297	26	74	74	58	52	66	59	75	104	66	95	58	76	76	61	59	25	29	9	7	52	79	49	62	18	60	65	48	65	71	75	51	57	78	66	98	80	65	9					
		4.45%	2.46%	4.79%	4.48%	3.92%	4.78%	5.98%	4.44%	5.49%	8.76%	4.14%	5.39%	3.38%	4.46%	4.33%	3.91%	4.12%	2.69%	2.60%	1.06%	1.12%	3.14%	4.11%	3.02%	5.48%	1.94%	4.91%	4.27%	3.45%	4.91%	4.62%	6.27%	6.16%	6.06%	5.64%	4.30%	5.30%	5.98%	6.35%	2.27%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	23935	659	658	860	552	561	567	640	379	325	912	837	887	958	940	811	621	565	665	493	313	910	1045	888	365	530	369	736	677	460	670	505	290	285	527	649	834	397	347	248					
		46.38%	62.29%	42.59%	52.06%	37.32%	51.52%	51.41%	48.12%	27.75%	27.38%	57.21%	47.50%	51.63%	56.25%	53.50%	51.92%	43.37%	60.69%	59.64%	58.00%	50.24%	54.95%	54.43%	54.71%	32.24%	57.05%	30.17%	48.33%	48.71%	34.72%	43.62%	42.22%	35.02%	30.32%	38.08%	42.28%	45.13%	29.67%	33.92%	62.63%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	355	7	11	12	14	8	8	11	21	15	14	14	11	7	9	8	9	16	4	4	4	6	4	5	8	5	7	13	5	7	10	5	8	8	7	13	16	10	10	1					
		0.69%	0.66%	0.71%	0.73%	0.95%	0.73%	0.73%	0.83%	1.54%	1.26%	0.88%	0.79%	0.64%	0.41%	0.51%	0.51%	0.63%	1.72%	0.36%	0.47%	0.64%	0.36%	0.21%	0.31%	0.71%	0.54%	0.57%	0.85%	0.36%	0.53%	0.65%	0.42%	0.97%	0.85%	0.51%	0.85%	0.87%	0.75%	0.98%	0.25%					
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
