Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																								
Дата голосования: 18.09.2016																								
																								
Наименование Избирательной комиссии:    Лесная																								
																								
Сводная таблица итогов голосования по федеральному избирательному округу																								
																								
		Сумма	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	4420	190	87	184	315	196	183	1407	340	213	313	295	513	184									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	4130	180	90	180	300	200	170	1200	330	200	300	300	500	180									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	1630	73	45	80	111	67	68	584	139	95	126	115	65	62									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	656	35	11	27	63	58	56	68	28	32	25	54	162	37									
6	Число погашенных избирательных бюллетеней	1844	72	34	73	126	75	46	548	163	73	149	131	273	81									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	656	35	11	27	63	58	56	68	28	32	25	54	162	37									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	1621	73	45	80	111	67	68	575	139	95	126	115	65	62									
9	Число недействительных избирательных бюллетеней	48	3	1	2	6	3	1	17	5	3	3	3	0	1									
10	Число действительных избирательных бюллетеней	2229	105	55	105	168	122	123	626	162	124	148	166	227	98									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	78	2	0	2	14	10	3	15	5	3	12	4	5	3									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	54	2	0	2	14	10	0	9	0	3	6	4	1	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	35	1	0	2	9	1	0	10	4	0	3	2	2	1									
14	Число погашенных неиспользованных открепительных удостоверений	24	0	0	0	0	0	3	6	5	0	6	0	4	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	38	1	4	2	4	1	0	22	1	0	2	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	39	0	0	3	4	2	3	12	2	2	3	2	1	5									
		1.71%	0.00%	0.00%	2.80%	2.30%	1.60%	2.42%	1.87%	1.20%	1.57%	1.99%	1.18%	0.44%	5.05%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	51	0	3	3	5	1	2	20	3	1	4	3	4	2									
		2.24%	0.00%	5.36%	2.80%	2.87%	0.80%	1.61%	3.11%	1.80%	0.79%	2.65%	1.78%	1.76%	2.02%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	73	1	2	3	9	1	5	22	2	9	2	1	13	3									
		3.21%	0.93%	3.57%	2.80%	5.17%	0.80%	4.03%	3.42%	1.20%	7.09%	1.32%	0.59%	5.73%	3.03%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	982	55	29	42	67	60	46	248	57	60	82	96	84	56									
		43.13%	50.93%	51.79%	39.25%	38.51%	48.00%	37.10%	38.57%	34.13%	47.24%	54.30%	56.80%	37.00%	56.57%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	14	0	0	1	0	3	1	3	1	0	2	3	0	0									
		0.61%	0.00%	0.00%	0.93%	0.00%	2.40%	0.81%	0.47%	0.60%	0.00%	1.32%	1.78%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	7	0	0	0	0	4	0	0	0	1	0	0	2	0									
		0.31%	0.00%	0.00%	0.00%	0.00%	3.20%	0.00%	0.00%	0.00%	0.79%	0.00%	0.00%	0.88%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	365	21	7	30	35	25	22	102	22	14	19	26	28	14									
		16.03%	19.44%	12.50%	28.04%	20.11%	20.00%	17.74%	15.86%	13.17%	11.02%	12.58%	15.38%	12.33%	14.14%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	10	1	0	0	0	0	0	3	1	2	0	1	2	0									
		0.44%	0.93%	0.00%	0.00%	0.00%	0.00%	0.00%	0.47%	0.60%	1.57%	0.00%	0.59%	0.88%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	19	0	1	1	1	1	0	7	0	0	1	4	3	0									
		0.83%	0.00%	1.79%	0.93%	0.57%	0.80%	0.00%	1.09%	0.00%	0.00%	0.66%	2.37%	1.32%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	5	0	0	1	0	0	0	1	0	1	1	0	1	0									
		0.22%	0.00%	0.00%	0.93%	0.00%	0.00%	0.00%	0.16%	0.00%	0.79%	0.66%	0.00%	0.44%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	23	2	1	2	3	3	2	3	2	0	2	0	2	1									
		1.01%	1.85%	1.79%	1.87%	1.72%	2.40%	1.61%	0.47%	1.20%	0.00%	1.32%	0.00%	0.88%	1.01%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	317	11	7	9	16	12	14	123	22	18	14	13	49	9									
		13.92%	10.19%	12.50%	8.41%	9.20%	9.60%	11.29%	19.13%	13.17%	14.17%	9.27%	7.69%	21.59%	9.09%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	11	0	0	1	2	1	0	3	2	0	0	1	0	1									
		0.48%	0.00%	0.00%	0.93%	1.15%	0.80%	0.00%	0.47%	1.20%	0.00%	0.00%	0.59%	0.00%	1.01%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	313	14	5	9	26	9	28	79	48	16	18	16	38	7									
		13.75%	12.96%	8.93%	8.41%	14.94%	7.20%	22.58%	12.29%	28.74%	12.60%	11.92%	9.47%	16.74%	7.07%									
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
