Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																														
Дата голосования: 18.09.2016																														
																														
Наименование Избирательной комиссии:    Северная																														
																														
Сводная таблица итогов голосования по федеральному избирательному округу																														
																														
		Сумма	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	8274	188	184	189	227	273	299	423	75	506	133	70	321	242	173	309	79	1785	2564	234									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8410	190	190	180	240	280	310	440	80	520	130	70	330	240	170	320	80	1800	2600	240									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3348	105	77	115	146	162	115	182	48	201	67	35	136	123	70	154	47	628	822	115									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	367	11	13	10	7	20	13	36	1	19	0	9	11	18	6	32	3	56	75	27									
6	Число погашенных избирательных бюллетеней	4695	74	100	55	87	98	182	222	31	300	63	26	183	99	94	134	30	1116	1703	98									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	367	11	13	10	7	20	13	36	1	19	0	9	11	18	6	32	3	56	75	27									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3348	105	77	115	146	162	115	182	48	201	67	35	136	123	70	154	47	628	822	115									
9	Число недействительных избирательных бюллетеней	140	7	2	3	11	11	4	8	1	9	2	1	5	6	4	1	2	28	32	3									
10	Число действительных избирательных бюллетеней	3575	109	88	122	142	171	124	210	48	211	65	43	142	135	72	185	48	656	865	139									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	182	5	9	5	10	5	5	10	2	10	4	5	10	5	5	10	2	35	35	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	107	0	9	2	10	5	0	10	2	10	0	5	0	0	1	6	0	25	22	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	61	3	5	4	5	3	3	4	0	1	4	2	2	3	3	1	4	5	7	2									
14	Число погашенных неиспользованных открепительных удостоверений	75	5	0	3	0	0	5	0	0	0	4	0	10	5	4	4	2	10	13	10									
