Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																								
Дата голосования: 18.09.2016																																																																								
																																																																								
Наименование Избирательной комиссии:    Стерлитамакская																																																																								
																																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																																								
																																																																								
		Сумма	УИК №2850	УИК №2851	УИК №2852	УИК №2853	УИК №2854	УИК №2855	УИК №2856	УИК №2857	УИК №2858	УИК №2859	УИК №2860	УИК №2861	УИК №2862	УИК №2863	УИК №2864	УИК №2865	УИК №2866	УИК №2867	УИК №2869	УИК №2870	УИК №2871	УИК №2872	УИК №2873	УИК №2874	УИК №2875	УИК №2876	УИК №2877	УИК №2878	УИК №2879	УИК №2880	УИК №2881	УИК №2882	УИК №2883	УИК №2884	УИК №2885	УИК №2886	УИК №2887	УИК №2888	УИК №2889	УИК №2890	УИК №2891	УИК №2892	УИК №2893	УИК №2894	УИК №2895	УИК №2896	УИК №2897	УИК №2898	УИК №2899	УИК №2900	УИК №2901	УИК №2902	УИК №2903	УИК №2904	УИК №2905	УИК №2906	УИК №2907	УИК №2908	УИК №2909	УИК №2910	УИК №2911									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	30522	529	229	283	247	196	733	449	207	226	109	530	611	290	651	534	473	530	578	1480	496	679	210	312	190	998	1110	306	474	487	202	580	404	775	260	199	249	310	1338	2010	311	2126	309	560	165	132	181	133	203	117	231	474	327	1436	476	298	320	558	649	345	422	275									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	31412	520	235	284	257	192	819	443	224	233	114	627	658	315	555	408	576	532	644	1607	557	704	214	343	196	1060	1190	279	455	530	200	618	402	785	238	202	234	317	1407	1864	298	1819	356	645	161	151	199	120	213	164	278	535	380	1575	506	303	356	643	680	334	409	249									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	23527	438	177	212	213	140	652	309	145	202	94	373	470	245	505	333	345	478	443	622	430	592	148	213	160	799	859	237	340	346	149	431	217	640	203	165	211	286	1037	1573	251	1743	287	449	153	132	159	118	201	71	171	355	241	1196	352	168	257	460	479	271	347	234									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1856	28	25	34	0	29	8	92	5	3	3	55	18	15	50	72	22	20	44	130	47	67	37	68	14	0	29	10	48	42	10	48	38	27	18	0	0	7	33	30	12	7	0	45	3	0	4	0	0	33	33	63	47	8	74	85	32	47	86	28	17	6									
6	Число погашенных избирательных бюллетеней	6029	54	33	38	44	23	159	42	74	28	17	199	170	55	0	3	209	34	157	855	80	45	29	62	22	261	302	32	67	142	41	139	147	118	17	37	23	24	337	261	35	69	69	151	5	19	36	2	12	60	74	117	92	371	80	50	67	136	115	35	45	9									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1856	28	25	34	0	29	8	92	5	3	3	55	18	15	50	72	22	20	44	130	47	67	37	68	14	0	29	10	48	42	10	48	38	27	18	0	0	7	33	30	12	7	0	45	3	0	4	0	0	33	33	63	47	8	74	85	32	47	86	28	17	6									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	23527	438	177	212	213	140	652	309	145	202	94	373	470	245	505	333	345	478	443	622	430	592	148	213	160	799	859	237	340	346	149	431	217	640	203	165	211	286	1037	1573	251	1743	287	449	153	132	159	118	201	71	171	355	241	1196	352	168	257	460	479	271	347	234									
9	Число недействительных избирательных бюллетеней	99	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	9	2	23	12	1	4	0	0	0	0	0	0	0	0	0	0	7	3	0	0	0	0	0	7	0	0	0	0	2	0	0	0	1	0	0	0	0	14	0	0	0	2	6	3	0	1									
10	Число действительных избирательных бюллетеней	25284	466	202	246	213	169	660	401	150	205	97	428	488	258	555	405	358	496	464	740	476	655	185	281	174	799	888	247	388	388	159	479	248	664	221	165	211	293	1070	1596	263	1750	287	494	154	132	163	118	200	104	204	418	288	1190	426	253	289	505	559	296	364	239									
