Выборы Президента Российской Федерации																																																																
																																																																
"Наименование Избирательной комиссии:    Владикавказ, Левобережная"																																																																
																																																																
Итоги голосования 																																																																
																																																																
		Сумма	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317					
1	"Число избирателей, внесенных в список"	120936	732	1272	1239	2955	1999	2949	2538	2246	1010	2782	2952	2823	2896	80	663	86	1828	96	1617	2331	2438	2386	2375	1109	408	2907	2273	2397	2216	1923	1745	1612	1928	2184	1638	1874	2165	2522	2745	3103	2871	2820	2751	2667	2850	2797	3062	3019	2454	2256	1431	2972	2982	2303	1511	2198	2950					
2	Число полученных избирательных бюллетеней	118458	782	1097	1050	2900	1900	2801	2400	2105	1000	2800	2900	2800	2800	80	700	100	2000	96	1500	2299	2500	2193	2200	1107	444	2700	2100	2390	2178	1700	1720	1611	1860	2150	1628	1863	2163	2511	2722	3073	2827	2799	2705	2663	2838	2772	3052	3019	2700	2200	1419	2925	2879	2296	1500	2000	2941					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	113255	706	1015	942	2644	1827	2587	2331	1976	965	2743	2883	2775	2697	80	636	86	1574	96	1383	2213	2284	2095	2094	914	408	2662	1976	2288	2122	1665	1679	1565	1775	2068	1565	1816	2068	2336	2548	2964	2720	2700	2671	2618	2809	2715	2979	2978	2380	2157	1386	2792	2755	2185	1488	1985	2886					
5	"Число избирательных бюллетеней, выданных вне помещения"	1955	10	14	72	21	45	79	39	97	30	26	17	20	9	0	0	0	76	0	37	46	80	27	46	20	0	36	95	25	38	28	20	31	21	40	27	40	64	30	138	49	50	6	28	36	26	17	26	12	18	23	16	50	46	70	9	15	14					
6	Число погашенных избирательных бюллетеней	3248	66	68	36	235	28	135	30	32	5	31	0	5	94	0	64	14	350	0	80	40	136	71	60	173	36	2	29	77	18	7	21	15	64	42	36	7	31	145	36	60	57	93	6	9	3	40	47	29	302	20	17	83	78	41	3	0	41					
7	Число избирательных бюллетеней в переносных ящиках	1955	10	14	72	21	45	79	39	97	30	26	17	20	9	0	0	0	76	0	37	46	80	27	46	20	0	36	95	25	38	28	20	31	21	40	27	40	64	30	138	49	50	6	28	36	26	17	26	12	18	23	16	50	46	70	9	15	14					
8	Число бюллетеней в стационарных ящиках для голосования	113180	706	1015	942	2644	1827	2587	2331	1976	965	2743	2883	2775	2697	80	636	86	1574	96	1383	2213	2284	2095	2094	914	408	2662	1976	2288	2084	1637	1679	1565	1775	2068	1565	1816	2068	2333	2548	2964	2720	2694	2671	2618	2809	2715	2979	2978	2380	2157	1386	2792	2755	2185	1488	1985	2886					
9	Число недействительных избирательных бюллетеней	640	0	11	0	8	2	2	3	0	3	0	0	0	11	0	2	1	0	0	0	46	3	4	6	0	0	0	0	5	6	22	20	3	0	6	11	9	9	9	17	24	0	18	76	2	2	3	4	7	11	7	4	5	14	0	3	241	0					
10	Число действительных избирательных бюллетеней	114495	716	1018	1014	2657	1870	2664	2367	2073	992	2769	2900	2795	2695	80	634	85	1650	96	1420	2213	2361	2118	2134	934	408	2698	2071	2308	2116	1643	1679	1593	1796	2102	1581	1847	2123	2354	2669	2989	2770	2682	2623	2652	2833	2729	3001	2983	2387	2173	1398	2837	2787	2255	1494	1759	2900					
