Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																									
Дата голосования: 18.09.2016																																									
																																									
Наименование Избирательной комиссии:    Хоринская																																									
																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																									
																																									
		Сумма	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	13869	48	190	67	663	581	468	185	512	236	134	736	121	330	317	153	116	300	217	242	242	223	216	280	174	154	376	2224	2458	1847	59									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12695	45	180	60	600	530	420	180	480	220	130	680	110	300	290	140	110	280	200	210	220	200	200	270	160	150	360	1980	2200	1700	90									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5890	23	105	32	254	256	199	93	294	114	69	300	59	166	117	53	55	119	165	83	112	93	147	129	101	114	210	758	962	649	59									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	574	0	9	0	24	17	31	20	45	22	3	33	6	12	36	7	5	18	12	18	10	11	6	15	15	2	15	116	33	33	0									
6	Число погашенных избирательных бюллетеней	6227	22	66	28	322	257	190	67	141	84	58	347	45	122	137	80	50	143	23	109	98	96	47	126	44	34	135	1106	1205	1014	31									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	578	0	9	0	24	17	31	20	45	22	3	33	6	12	36	7	5	18	12	18	10	11	6	15	15	2	15	116	33	37	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5890	23	105	32	254	256	199	93	294	114	69	300	59	166	117	53	55	119	165	83	112	93	147	129	101	114	210	758	962	649	59									
9	Число недействительных избирательных бюллетеней	156	2	4	0	9	8	6	3	0	4	0	5	2	2	2	0	1	1	1	7	1	4	2	2	0	1	10	38	21	19	1									
10	Число действительных избирательных бюллетеней	6312	21	110	32	269	265	224	110	339	132	72	328	63	176	151	60	59	136	176	94	121	100	151	142	116	115	215	836	974	667	58									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	385	5	10	5	15	15	10	15	20	15	10	20	10	10	10	5	5	10	10	5	10	5	10	10	10	5	10	40	40	40	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	200	3	10	2	5	6	1	15	20	7	7	20	3	10	5	0	0	5	0	0	4	0	10	10	1	5	10	12	11	18	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	67	2	3	0	1	4	3	3	6	3	1	0	2	1	2	0	2	1	1	0	3	1	1	1	0	3	2	14	3	4	0									
14	Число погашенных неиспользованных открепительных удостоверений	185	2	0	3	10	9	9	0	0	8	3	0	7	0	5	5	5	5	10	5	6	5	0	0	9	0	0	28	29	22	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	11	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	4	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	38	0	0	1	1	0	0	1	1	0	0	2	1	2	1	0	0	1	1	2	1	2	0	2	0	0	3	5	7	3	1									
		0.59%	0.00%	0.00%	3.13%	0.36%	0.00%	0.00%	0.88%	0.29%	0.00%	0.00%	0.60%	1.54%	1.12%	0.65%	0.00%	0.00%	0.73%	0.56%	1.98%	0.82%	1.92%	0.00%	1.39%	0.00%	0.00%	1.33%	0.57%	0.70%	0.44%	1.69%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	147	0	3	1	12	6	6	1	3	2	1	6	1	4	9	2	1	6	3	2	3	2	2	1	3	2	3	16	21	22	3									
