Выборы Президента Российской Федерации																																																																			
																																																																			
Наименование Избирательной комиссии:    Кунгурская																																																																			
																																																																			
Итоги голосования 																																																																			
																																																																			
		Сумма	УИК №4601	УИК №4602	УИК №4603	УИК №4604	УИК №4605	УИК №4606	УИК №4607	УИК №4608	УИК №4609	УИК №4610	УИК №4611	УИК №4612	УИК №4613	УИК №4614	УИК №4615	УИК №4616	УИК №4617	УИК №4618	УИК №4619	УИК №4620	УИК №4621	УИК №4622	УИК №4623	УИК №4624	УИК №4625	УИК №4626	УИК №4627	УИК №4628	УИК №4629	УИК №4630	УИК №4631	УИК №4632	УИК №4633	УИК №4634	УИК №4635	УИК №4636	УИК №4637	УИК №4638	УИК №4639	УИК №4640	УИК №4641	УИК №4642	УИК №4643	УИК №4644	УИК №4645	УИК №4646	УИК №4647	УИК №4648	УИК №4649	УИК №4650	УИК №4651	УИК №4652	УИК №4653	УИК №4654	УИК №4655	УИК №4656	УИК №4657	УИК №4658	УИК №4659	УИК №4660					
1	"Число избирателей, внесенных в список"	32362	211	136	395	66	114	154	1595	231	462	350	590	175	857	1041	1227	1249	215	1043	488	1133	1411	223	410	1112	210	265	704	1053	456	1194	117	94	92	213	243	942	152	218	201	410	265	1266	859	517	497	714	208	136	624	825	1028	274	137	959	588	278	296	590	608	241					
2	Число полученных избирательных бюллетеней	33933	188	150	450	90	110	150	1655	255	475	390	625	185	890	1075	1250	1275	225	1060	480	1160	1540	245	450	1200	315	285	730	1120	470	1220	125	95	95	245	255	1005	160	230	210	460	310	1275	875	540	520	635	220	155	675	805	1045	280	185	1005	630	285	300	645	685	270					
3	"Число избирательных бюллетеней, выданных  досрочно"	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	18776	132	91	303	56	74	87	767	156	292	215	245	87	557	628	869	912	136	623	202	510	708	64	249	646	175	173	329	620	212	629	53	53	59	73	79	423	82	107	106	237	258	680	366	343	299	400	86	88	466	719	605	190	120	481	308	150	233	356	429	180					
5	"Число избирательных бюллетеней, выданных вне помещения"	4954	28	30	40	10	0	36	278	46	85	49	172	77	93	84	26	20	40	33	115	136	241	100	91	164	35	19	192	111	146	247	39	31	17	69	90	281	56	54	50	42	7	157	165	50	82	116	76	22	41	48	83	53	17	213	48	46	12	146	48	51					
6	Число погашенных избирательных бюллетеней	10192	28	29	107	24	36	27	610	53	98	126	208	21	240	363	355	343	49	404	163	514	591	81	110	390	105	93	209	389	112	344	33	11	19	103	86	301	22	58	54	181	45	438	344	147	139	119	58	45	168	38	357	37	48	311	274	89	55	143	208	39					
7	Число избирательных бюллетеней в переносных ящиках	4965	28	30	40	10	0	36	278	46	85	49	172	77	93	84	26	20	40	33	115	136	241	100	91	164	35	19	192	111	146	247	39	31	17	69	90	281	56	65	50	42	7	157	165	50	82	116	76	22	41	48	83	53	17	213	48	46	12	146	48	51					
8	Число бюллетеней в стационарных ящиках для голосования	18776	132	91	303	56	74	87	767	156	292	215	245	87	557	628	869	912	136	623	202	510	708	64	249	646	175	173	329	620	212	629	53	53	59	73	79	423	82	107	106	237	258	680	366	343	299	400	86	88	466	719	605	190	120	481	308	150	233	356	429	180					
9	Число недействительных избирательных бюллетеней	215	2	4	6	0	0	4	13	3	4	2	3	0	6	9	9	10	3	6	1	8	15	2	2	5	0	6	2	8	1	12	0	1	0	3	1	4	0	2	1	4	2	6	3	3	1	4	0	0	2	3	7	0	1	3	4	2	5	2	4	1					
10	Число действительных избирательных бюллетеней	23526	158	117	337	66	74	119	1032	199	373	262	414	164	644	703	886	922	173	650	316	638	934	162	338	805	210	186	519	723	357	864	92	83	76	139	168	700	138	170	155	275	263	831	528	390	380	512	162	110	505	764	681	243	136	691	352	194	240	500	473	230					
11	Число полученных открепительных  удостоверений	598	2	3	20	2	3	3	25	13	35	10	10	3	15	15	15	15	5	14	10	15	15	5	5	15	3	18	15	15	5	33	3	3	3	3	3	15	3	5	3	8	6	10	10	20	18	20	5	6	5	15	10	5	3	15	5	5	3	10	11	5					
12	Число выданных открепительных удостоверений	401	1	1	12	0	0	3	21	13	35	8	4	0	6	10	11	12	2	14	0	9	12	4	0	14	0	8	4	12	0	29	1	1	0	1	1	13	2	1	1	4	2	10	10	19	17	8	0	6	4	0	10	5	2	15	3	4	1	4	11	0					
