Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																															
Дата голосования: 07.12.2003 0:00:00																																																															
																																																															
Наименование Избирательной комиссии:    Орловская																																																															
																																																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																															
																																																															
		Сумма	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611					
1	"Число избирателей, внесенных в списки"	47977	409	360	117	568	330	513	190	484	2297	674	409	691	814	1403	791	1369	1666	704	641	2508	2565	2311	2357	452	253	582	667	405	1034	775	204	606	1198	539	1451	506	225	215	868	538	363	335	1488	1274	2237	199	406	868	503	385	706	702	1210	858	1318	436					
2	"Число бюллетеней, полученных участковыми комиссиями"	47928	420	405	119	559	327	503	209	501	2175	670	400	675	810	1370	763	1310	1675	732	653	2503	2570	2293	2390	438	249	586	671	408	1010	721	303	606	1176	540	1470	505	207	219	861	536	349	333	1440	1250	2170	198	421	889	614	429	726	713	1234	887	1303	434					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	30556	220	259	87	383	178	373	76	351	1652	351	304	492	383	758	541	815	892	437	434	2051	1466	1676	1392	278	80	306	426	261	568	338	151	257	789	293	1105	368	144	164	620	416	307	270	1318	649	1377	139	142	502	305	192	400	404	609	566	1000	241					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	4666	101	101	11	24	13	34	87	69	98	102	22	31	126	107	23	21	230	137	44	71	70	67	32	11	105	139	93	91	126	161	53	156	181	143	104	60	48	17	39	0	6	9	42	177	101	0	146	97	198	144	210	60	99	116	33	80					
6	Число погашенных бюллетеней	12503	99	45	21	152	136	96	46	81	425	217	74	152	301	505	199	471	553	158	175	331	1034	550	956	149	64	141	152	56	216	222	99	193	206	104	261	77	15	38	202	120	36	54	80	424	691	58	134	290	111	93	116	248	492	201	270	113					
7	Число бюллетеней в переносных ящиках для голосования	4666	101	101	11	24	13	34	87	69	98	102	22	31	126	107	23	21	230	137	44	71	70	67	32	11	105	139	93	91	126	161	53	156	181	143	104	60	48	17	39	0	6	9	42	177	101	0	146	97	198	144	210	60	99	116	33	80					
8	Число бюллетеней в стационарных ящиках для голосования	30541	220	259	87	383	178	373	76	350	1652	351	304	492	383	758	541	815	892	437	434	2051	1462	1676	1392	278	80	306	426	261	567	336	151	257	789	293	1101	368	144	164	620	416	307	270	1318	649	1377	139	142	502	305	192	400	404	606	566	1000	241					
9	Число недействительных бюллетеней	529	3	1	0	7	7	16	0	1	19	0	10	5	0	23	7	14	0	8	9	9	16	77	11	0	2	4	3	5	5	1	6	6	10	0	0	5	0	6	4	16	0	2	9	6	136	0	0	7	1	2	0	8	7	20	13	2					
10	Число действительных бюллетеней	34678	318	359	98	400	184	391	163	418	1731	453	316	518	509	842	557	822	1122	566	469	2113	1516	1666	1413	289	183	441	516	347	688	496	198	407	960	436	1205	423	192	175	655	400	313	277	1351	820	1342	139	288	592	502	334	610	456	698	662	1020	319					
