Выборы Президента Российской Федерации																																																																												
																																																																												
Наименование Избирательной комиссии:    Нижнекамская городская																																																																												
																																																																												
Итоги голосования 																																																																												
																																																																												
		Сумма	УИК №2225	УИК №2226	УИК №2227	УИК №2228	УИК №2229	УИК №2230	УИК №2231	УИК №2232	УИК №2233	УИК №2234	УИК №2235	УИК №2236	УИК №2237	УИК №2238	УИК №2239	УИК №2240	УИК №2241	УИК №2242	УИК №2243	УИК №2244	УИК №2245	УИК №2246	УИК №2247	УИК №2248	УИК №2249	УИК №2250	УИК №2251	УИК №2252	УИК №2253	УИК №2254	УИК №2255	УИК №2256	УИК №2257	УИК №2258	УИК №2259	УИК №2260	УИК №2261	УИК №2262	УИК №2263	УИК №2264	УИК №2265	УИК №2266	УИК №2267	УИК №2268	УИК №2269	УИК №2270	УИК №2271	УИК №2272	УИК №2273	УИК №2274	УИК №2275	УИК №2276	УИК №2277	УИК №2278	УИК №2279	УИК №2280	УИК №2281	УИК №2282	УИК №2283	УИК №2284	УИК №2285	УИК №2286	УИК №2287	УИК №2288	УИК №2289	УИК №2290	УИК №2291	УИК №2292	УИК №2293					
1	"Число избирателей, внесенных в список"	156238	2634	2419	2524	2262	1673	1813	2470	2517	2503	2591	2589	2297	2413	2064	2634	2362	2115	2871	2679	2600	1464	1278	2582	2552	2253	2971	2310	2554	1827	2006	2043	2194	2176	2221	2606	2602	2549	2652	2882	2666	2473	2511	2239	2314	2338	2714	2672	2583	2693	2936	2214	2103	2461	2590	2805	2350	1585	2038	2289	1979	2109	2368	1970	1948	1823	2009	589	856	261					
2	Число полученных избирательных бюллетеней	156705	2583	2443	2664	2320	1801	1810	2485	2456	2495	2679	2626	2353	2573	2058	2629	2363	2136	2897	2678	2658	1513	1275	2587	2544	2203	2995	2310	2510	1800	2032	2039	2196	2275	2230	2610	2600	2537	2600	2882	2662	2465	2509	2235	2402	2343	2654	2575	2576	2644	2800	2204	2100	2458	2693	2691	2321	1576	2038	2306	2067	2172	2283	1950	1944	1819	1906	607	870	390					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	126067	1982	1790	1857	1810	1481	1634	2045	2170	1892	1974	1908	1829	1811	1531	2004	1745	1732	2191	2052	2003	1208	1011	2123	2032	1888	2431	1752	2212	1393	1557	1608	1695	1764	1804	2339	2288	2051	2097	2286	2135	2021	2073	1834	1839	2035	2096	2215	2252	2451	2550	1900	1727	2213	2207	2344	1935	1266	1570	1824	1651	1706	1811	1637	1743	1597	1714	477	3	261					
5	"Число избирательных бюллетеней, выданных вне помещения"	3571	35	40	42	49	55	23	30	56	81	72	65	23	95	65	85	101	61	80	79	53	29	32	36	48	27	39	54	31	31	40	51	46	39	41	10	17	26	41	48	40	28	28	19	47	41	31	20	14	25	30	48	134	29	20	14	17	19	13	28	24	24	32	49	13	8	17	30	853	0					
6	Число погашенных избирательных бюллетеней	27067	566	613	765	461	265	153	410	230	522	633	653	501	667	462	540	517	343	626	547	602	276	232	428	464	288	525	504	267	376	435	380	455	472	385	261	295	460	462	548	487	416	408	382	516	267	527	340	310	168	220	256	239	216	466	333	369	291	455	454	392	442	440	264	188	214	175	100	14	129					
7	Число избирательных бюллетеней в переносных ящиках	3570	35	40	42	49	55	23	30	56	81	72	65	23	95	65	85	101	61	80	79	53	29	32	36	48	27	39	54	31	31	40	51	46	39	41	10	17	26	41	48	40	28	28	19	47	41	31	20	14	25	30	48	134	29	20	14	17	19	13	28	24	24	32	49	13	8	17	30	852	0					
8	Число бюллетеней в стационарных ящиках для голосования	126042	1982	1790	1857	1810	1481	1634	2045	2170	1892	1974	1908	1829	1811	1531	2004	1745	1732	2191	2052	2003	1208	1011	2123	2032	1888	2428	1752	2212	1393	1557	1608	1695	1764	1804	2339	2288	2051	2096	2286	2135	2021	2073	1834	1839	2035	2096	2215	2252	2451	2550	1900	1727	2205	2207	2344	1935	1256	1570	1824	1651	1706	1811	1637	1743	1594	1714	477	3	261					
9	Число недействительных избирательных бюллетеней	1666	13	12	20	23	11	0	20	0	29	31	82	6	18	19	35	22	8	13	128	0	13	34	37	25	34	5	6	21	15	35	11	11	17	34	35	14	30	30	29	30	15	72	83	26	19	29	9	17	13	9	16	27	11	6	6	9	4	22	138	13	12	16	11	15	15	9	13	74	1					
10	Число действительных избирательных бюллетеней	127946	2004	1818	1879	1836	1525	1657	2055	2226	1944	2015	1891	1846	1888	1577	2054	1824	1785	2258	2003	2056	1224	1009	2122	2055	1881	2462	1800	2222	1409	1562	1648	1730	1786	1811	2314	2291	2047	2107	2305	2145	2034	2029	1770	1860	2057	2098	2226	2249	2463	2571	1932	1834	2223	2221	2352	1943	1271	1561	1714	1662	1718	1827	1675	1741	1587	1722	494	781	260					
11	Число полученных открепительных  удостоверений	3896	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	50	50	40	40	40	40	36	0	0					
12	Число выданных открепительных удостоверений	1055	12	14	13	15	12	13	22	28	15	17	11	7	11	18	17	18	14	18	13	17	6	11	17	18	17	16	17	12	11	13	17	12	15	24	21	15	11	12	22	16	15	12	9	14	7	21	19	31	21	19	14	18	15	28	18	21	12	14	11	19	8	15	25	23	14	24	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	341	8	0	7	3	37	3	5	7	8	4	5	22	8	6	5	5	7	10	3	2	3	3	5	2	4	7	8	4	1	4	4	3	6	1	4	2	9	2	4	4	8	2	4	4	3	5	2	7	2	2	4	0	3	5	9	4	2	3	3	1	3	7	8	4	4	4	3	0	0					
14	Число неиспользованных открепительных удостоверений	2841	48	46	47	45	48	47	38	32	45	43	49	53	49	42	43	42	46	42	47	43	54	49	43	42	43	44	43	48	49	47	43	48	45	36	39	45	49	48	38	44	45	48	51	46	53	39	41	29	39	41	46	42	45	32	42	39	48	46	49	41	42	35	15	17	26	16	36	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	104	0	2	0	2	0	0	0	1	3	1	1	0	4	2	0	5	3	0	2	1	2	0	2	0	1	2	0	1	0	0	1	4	1	3	2	3	3	1	4	1	2	3	3	3	3	1	1	1	4	0	2	0	0	2	3	3	1	2	2	1	1	2	0	3	0	2	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																												
18	. Глазьев Сергей Юрьевич	4476	86	59	79	60	59	20	75	37	16	85	65	39	75	59	74	66	66	100	72	37	53	36	87	61	48	95	23	76	52	84	71	70	71	72	109	75	47	88	98	91	63	94	54	65	85	84	68	83	79	86	66	61	79	84	74	85	49	77	60	70	72	59	46	45	65	54	21	10	2					
		3.45%	4.26%	3.22%	4.16%	3.23%	3.84%	1.21%	3.61%	1.66%	0.81%	4.15%	3.29%	2.11%	3.93%	3.70%	3.54%	3.58%	3.68%	4.40%	3.38%	1.80%	4.28%	3.45%	4.03%	2.93%	2.51%	3.85%	1.27%	3.39%	3.65%	5.26%	4.28%	4.02%	3.94%	3.90%	4.64%	3.25%	2.26%	4.12%	4.20%	4.18%	3.07%	4.47%	2.91%	3.45%	4.09%	3.95%	3.04%	3.66%	3.19%	3.33%	3.39%	3.28%	3.54%	3.77%	3.14%	4.35%	3.84%	4.86%	3.24%	4.18%	4.16%	3.20%	2.73%	2.56%	4.06%	3.12%	4.14%	1.17%	0.77%					
19	. Малышкин Олег Александрович	2932	49	40	34	21	32	217	46	28	43	65	47	47	35	36	25	41	18	51	46	32	40	27	59	50	53	65	22	59	48	45	50	45	50	35	39	31	42	53	37	51	30	58	31	42	43	42	52	45	34	48	34	38	46	50	35	42	24	48	39	28	27	41	43	56	37	39	12	11	3					
		2.26%	2.43%	2.19%	1.79%	1.13%	2.08%	13.10%	2.22%	1.26%	2.18%	3.18%	2.38%	2.54%	1.84%	2.26%	1.20%	2.22%	1.00%	2.25%	2.16%	1.56%	3.23%	2.59%	2.73%	2.40%	2.77%	2.63%	1.22%	2.63%	3.37%	2.82%	3.01%	2.58%	2.77%	1.90%	1.66%	1.34%	2.02%	2.48%	1.59%	2.34%	1.46%	2.76%	1.67%	2.23%	2.07%	1.97%	2.33%	1.99%	1.37%	1.86%	1.75%	2.04%	2.06%	2.25%	1.48%	2.15%	1.88%	3.03%	2.11%	1.67%	1.56%	2.22%	2.55%	3.19%	2.31%	2.25%	2.37%	1.29%	1.15%					
20	. Миронов Сергей Михайлович	1319	39	18	24	15	20	28	16	9	20	25	18	14	14	15	14	19	15	15	18	26	19	9	29	21	26	22	8	18	21	16	29	16	60	11	35	28	28	19	24	22	14	15	12	12	24	23	29	31	28	18	15	7	23	25	19	19	15	7	19	8	22	24	10	18	12	12	12	3	0					
		1.02%	1.93%	0.98%	1.26%	0.81%	1.30%	1.69%	0.77%	0.40%	1.01%	1.22%	0.91%	0.76%	0.73%	0.94%	0.67%	1.03%	0.84%	0.66%	0.84%	1.26%	1.54%	0.86%	1.34%	1.01%	1.36%	0.89%	0.44%	0.80%	1.47%	1.00%	1.75%	0.92%	3.33%	0.60%	1.49%	1.21%	1.35%	0.89%	1.03%	1.01%	0.68%	0.71%	0.65%	0.64%	1.16%	1.08%	1.30%	1.37%	1.13%	0.70%	0.77%	0.38%	1.03%	1.12%	0.81%	0.97%	1.18%	0.44%	1.03%	0.48%	1.27%	1.30%	0.59%	1.03%	0.75%	0.69%	2.37%	0.35%	0.00%					
21	. Путин Владимир Владимирович	95143	1368	1212	1349	1454	1111	1243	1436	1725	1473	1395	1381	1432	1366	1094	1410	1267	1426	1647	1430	1644	845	697	1473	1494	1345	1832	1472	1608	968	1101	1244	1272	1223	1278	1630	1897	1670	1617	1629	1632	1662	1582	1449	1276	1471	1409	1654	1637	1884	2100	1502	1394	1682	1533	1865	1420	1005	1091	1281	1244	1209	1333	1401	1420	1290	1333	288	702	236					
		73.41%	67.82%	66.23%	71.04%	78.21%	72.33%	75.02%	69.20%	77.49%	74.66%	68.18%	69.99%	77.32%	71.67%	68.55%	67.50%	68.63%	79.53%	72.52%	67.10%	79.96%	68.31%	66.83%	68.23%	71.83%	70.23%	74.26%	81.51%	71.69%	67.98%	68.94%	74.98%	73.06%	67.83%	69.27%	69.39%	82.30%	80.40%	75.67%	69.79%	75.03%	81.11%	75.30%	78.20%	67.66%	70.86%	66.24%	74.00%	72.24%	76.09%	81.40%	77.10%	74.91%	75.29%	68.84%	79.09%	72.75%	78.82%	68.92%	69.17%	74.27%	69.88%	72.33%	83.10%	80.87%	80.52%	77.01%	56.80%	82.11%	90.42%					
