Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																													
Дата голосования: 18.09.2016																																													
																																													
Наименование Избирательной комиссии:    Мегино-Кангаласская																																													
																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																													
																																													
		Сумма	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	23829	1868	1884	1866	1504	1471	1734	75	88	217	260	227	317	286	315	279	383	541	307	365	346	385	420	455	455	541	579	685	765	780	706	803	934	1572	416									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	24050	1900	1900	1800	1400	1400	1700	100	100	220	250	250	350	300	330	300	400	550	340	380	350	400	470	500	450	550	600	700	800	800	700	850	970	1500	440									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11733	800	807	793	610	457	840	59	75	149	171	143	194	159	201	168	213	298	213	201	198	195	279	276	265	264	324	321	400	430	330	470	457	714	259									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	644	36	23	59	3	16	42	1	3	9	19	6	0	10	23	6	9	24	4	13	15	16	14	22	17	17	15	17	44	26	27	29	23	45	11									
6	Число погашенных избирательных бюллетеней	11673	1064	1070	948	787	927	818	40	22	62	60	101	156	131	106	126	178	228	123	166	137	189	177	202	168	269	261	362	356	344	343	351	490	741	170									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	644	36	23	59	3	16	42	1	3	9	19	6	0	10	23	6	9	24	4	13	15	16	14	22	17	17	15	17	44	26	27	29	23	45	11									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11733	800	807	793	610	457	840	59	75	149	171	143	194	159	201	168	213	298	213	201	198	195	279	276	265	264	324	321	400	430	330	470	457	714	259									
9	Число недействительных избирательных бюллетеней	165	10	18	13	8	9	10	3	0	1	2	1	3	1	1	0	10	1	2	2	1	3	2	4	2	7	5	6	6	3	2	7	8	12	2									
10	Число действительных избирательных бюллетеней	12212	826	812	839	605	464	872	57	78	157	188	148	191	168	223	174	212	321	215	212	212	208	291	294	280	274	334	332	438	453	355	492	472	747	268									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	624	27	35	42	10	12	15	5	10	10	13	15	10	15	15	10	18	25	20	15	12	15	22	15	23	20	12	25	20	23	15	37	23	30	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	535	23	32	37	9	12	14	0	9	7	9	15	10	10	14	10	17	25	17	15	2	12	22	15	20	16	9	18	11	23	12	35	23	29	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	353	20	20	22	61	4	23	1	6	5	6	3	3	4	16	1	2	11	4	10	7	3	2	4	10	15	10	6	17	14	4	8	13	14	4									
14	Число погашенных неиспользованных открепительных удостоверений	89	4	3	5	1	0	1	5	1	3	4	0	0	5	1	0	1	0	3	0	10	3	0	0	3	4	3	7	9	0	3	2	0	1	7									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	107	16	13	17	1	1	3	0	0	1	3	1	0	1	5	1	0	3	3	0	4	1	2	0	0	0	1	0	10	1	7	2	2	5	3									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	84	8	4	4	10	2	6	0	0	1	2	0	1	2	2	0	5	2	0	1	1	2	2	1	2	2	4	2	5	3	1	2	3	3	1									
