Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва													
Дата голосования: 07.12.2003 0:00:00													
													
Наименование Избирательной комиссии:    Арманская													
													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)													
													
		Сумма	УИК  79	УИК  80	УИК  81	УИК  82	УИК  83	УИК  84					
1	"Число избирателей, внесенных в списки"	2911	1326	70	95	522	356	542					
2	"Число бюллетеней, полученных участковыми комиссиями"	2876	1312	63	97	505	360	539					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	1677	648	41	74	321	258	335					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	65	49	0	0	14	0	2					
6	Число погашенных бюллетеней	1134	615	22	23	170	102	202					
7	Число бюллетеней в переносных ящиках для голосования	65	49	0	0	14	0	2					
8	Число бюллетеней в стационарных ящиках для голосования	1677	648	41	74	321	258	335					
9	Число недействительных бюллетеней	25	7	0	6	5	4	3					
10	Число действительных бюллетеней	1717	690	41	68	330	254	334					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	80	40	5	5	10	10	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	2	0	0	0	0	0	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	0	0	0	0	0	0	0					
14	Число погашенных открепительных удостоверений	78	40	5	5	10	10	8					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0					
													
18	"1. ""ЕДИНЕНИЕ"""	16	7	2	2	4	0	1					
		0.91%	1.00%	4.87%	2.70%	1.19%	0.0%	0.29%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	15	7	0	0	6	1	1					
		0.86%	1.00%	0.0%	0.0%	1.79%	0.38%	0.29%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	39	16	0	3	8	3	9					
		2.23%	2.29%	0.0%	4.05%	2.38%	1.16%	2.67%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	50	21	0	0	7	17	5					
		2.87%	3.01%	0.0%	0.0%	2.08%	6.58%	1.48%					
22	"5. ""За Русь Святую"""	1	0	0	0	1	0	0					
		0.05%	0.0%	0.0%	0.0%	0.29%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	10	1	0	1	4	3	1					
		0.57%	0.14%	0.0%	1.35%	1.19%	1.16%	0.29%					
24	"7. ""Новый курс - Автомобильная Россия"""	10	6	0	2	1	0	1					
		0.57%	0.86%	0.0%	2.70%	0.29%	0.0%	0.29%					
25	"8. ""Народно-республиканская партия России"""	2	1	0	1	0	0	0					
		0.11%	0.14%	0.0%	1.35%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	4	2	0	0	0	0	2					
		0.22%	0.28%	0.0%	0.0%	0.0%	0.0%	0.59%					
27	"10. ""Аграрная партия России"""	65	26	1	4	7	11	16					
		3.73%	3.73%	2.43%	5.40%	2.08%	4.26%	4.74%					
28	"11. ""Истинные патриоты России"""	0	0	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	12	8	0	0	1	1	2					
		0.68%	1.14%	0.0%	0.0%	0.29%	0.38%	0.59%					
30	"13. ""Демократическая партия России"""	1	0	0	0	0	1	0					
		0.05%	0.0%	0.0%	0.0%	0.0%	0.38%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	6	4	0	0	2	0	0					
		0.34%	0.57%	0.0%	0.0%	0.59%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	1	1	0	0	0	0	0					
		0.05%	0.14%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	177	61	2	6	28	33	47					
		10.16%	8.75%	4.87%	8.10%	8.35%	12.79%	13.94%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	3	1	0	0	2	0	0					
		0.17%	0.14%	0.0%	0.0%	0.59%	0.0%	0.0%					
35	"18. ""ЛДПР"""	439	141	12	19	100	85	82					
		25.20%	20.22%	29.26%	25.67%	29.85%	32.94%	24.33%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	13	6	0	1	5	0	1					
		0.74%	0.86%	0.0%	1.35%	1.49%	0.0%	0.29%					
37	"20. ""Политическая партия ""Единая Россия"""	603	243	20	15	118	66	141					
		34.61%	34.86%	48.78%	20.27%	35.22%	25.58%	41.83%					
38	"21. ""Российская Конституционно-демократическая партия"""	2	1	0	0	0	0	1					
		0.11%	0.14%	0.0%	0.0%	0.0%	0.0%	0.29%					
39	"22. ""Развитие предпринимательства"""	6	2	0	1	0	1	2					
		0.34%	0.28%	0.0%	1.35%	0.0%	0.38%	0.59%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	152	97	0	6	19	19	11					
		8.72%	13.91%	0.0%	8.10%	5.67%	7.36%	3.26%					
													
41	Против всех	90	38	4	7	17	13	11					
		5.16%	5.45%	9.75%	9.45%	5.07%	5.03%	3.26%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
