Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																					
Дата голосования: 02.12.2007																																																																																					
																																																																																					
Наименование Избирательной комиссии:    Томская																																																																																					
																																																																																					
Сводная таблица результатов выборов																																																																																					
																																																																																					
		Сумма	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733					
1	"Число избирателей, внесенных в списки избирателей"	50142	867	321	97	384	1142	1954	262	863	2128	1293	225	481	756	228	1608	422	256	935	956	585	436	483	1261	1264	1732	1514	87	134	598	768	663	154	657	202	505	218	192	177	173	276	313	496	90	667	119	971	565	2157	1548	885	1082	792	970	180	231	964	694	408	330	326	163	394	106	136	882	53	136	365	1144	879	1249	329	491	443	560	371	575	821					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	50194	806	310	96	419	1119	2091	269	826	2144	1295	179	511	780	239	1610	405	260	932	925	630	475	482	1215	1390	1722	1529	87	130	583	723	608	140	596	191	488	216	193	166	176	264	326	494	134	608	121	976	602	2234	1669	916	1094	853	983	161	239	840	683	375	327	334	153	388	106	134	890	60	133	352	1161	868	1314	331	475	446	573	357	527	737					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	27634	556	185	64	207	669	849	137	464	1309	743	161	299	348	141	856	255	157	383	474	327	246	187	578	727	939	886	64	92	339	453	440	101	422	114	275	119	109	103	110	175	138	185	82	322	67	555	276	1273	839	460	524	378	492	90	135	450	376	252	192	148	100	262	62	72	564	53	92	209	594	440	776	192	326	319	314	211	295	456					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2168	21	19	8	42	28	63	23	30	11	23	4	29	10	9	64	16	25	120	205	22	5	45	37	22	18	17	0	10	20	15	15	0	57	14	46	39	15	18	12	5	40	37	8	49	20	13	7	31	19	14	67	21	21	10	6	41	16	16	9	15	15	6	3	11	29	0	11	45	68	84	67	31	10	15	81	5	5	40					
6	Число погашенных избирательных бюллетеней	20392	229	106	24	170	422	1179	109	332	824	529	14	183	422	89	690	134	78	429	246	281	224	250	600	641	765	626	23	28	224	255	153	39	117	63	167	58	69	45	54	84	148	272	44	237	34	408	319	930	811	442	503	454	470	61	98	349	291	107	126	171	38	120	41	51	297	7	30	98	499	344	471	108	139	112	178	141	227	241					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2168	21	19	8	42	28	63	23	30	11	23	4	29	10	9	64	16	25	120	205	22	5	45	37	22	18	17	0	10	20	15	15	0	57	14	46	39	15	18	12	5	40	37	8	49	20	13	7	31	19	14	67	21	21	10	6	41	16	16	9	15	15	6	3	11	29	0	11	45	68	84	67	31	10	15	81	5	5	40					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	27622	556	185	64	207	669	849	137	464	1305	742	161	299	348	141	856	255	157	383	474	327	246	187	578	727	936	886	64	92	339	451	439	101	422	114	275	119	109	103	110	175	138	185	82	322	67	555	276	1273	839	460	524	378	492	90	135	450	376	252	192	148	100	262	62	72	564	53	92	209	594	440	776	192	326	319	314	211	295	455					
9	Число недействительных избирательных бюллетеней	432	4	3	3	4	12	10	5	6	14	17	0	4	3	4	9	2	2	6	9	8	6	3	13	6	16	25	0	3	5	12	5	2	4	0	0	1	3	1	2	1	1	1	0	0	0	6	7	21	7	6	5	9	9	0	8	6	6	5	4	11	1	4	1	2	9	0	1	4	8	7	11	0	17	0	5	2	6	9					
10	Число действительных избирательных бюллетеней	29358	573	201	69	245	685	902	155	488	1302	748	165	324	355	146	911	269	180	497	670	341	245	229	602	743	938	878	64	99	354	454	449	99	475	128	321	157	121	120	120	179	177	221	90	371	87	562	276	1283	851	468	586	390	504	100	133	485	386	263	197	152	114	264	64	81	584	53	102	250	654	517	832	223	319	334	390	214	294	486					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1300	25	15	10	10	15	30	10	10	30	25	10	10	10	10	20	10	10	15	15	15	10	20	25	25	30	30	10	10	25	25	15	10	10	10	20	10	10	10	10	10	15	10	15	20	15	15	15	25	20	15	20	20	15	10	10	25	15	15	10	10	10	25	10	10	25	20	15	10	30	30	25	25	10	20	15	25	25	25					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	283	6	1	0	2	3	6	1	0	22	10	2	6	6	1	5	3	1	2	1	2	2	0	4	15	7	2	0	0	3	6	4	0	4	0	0	0	6	0	0	2	4	0	0	2	0	2	2	12	9	3	1	1	4	0	2	7	7	4	3	1	0	9	2	0	12	0	2	3	12	8	10	5	5	3	0	1	6	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	431	2	0	0	4	15	35	0	5	8	6	55	5	3	5	2	35	1	4	0	2	0	3	5	5	6	6	1	2	5	6	3	1	5	2	4	2	2	4	1	3	2	2	1	6	0	6	4	18	3	3	8	10	4	8	2	4	9	3	5	2	4	1	4	2	4	5	1	3	4	7	7	3	7	1	8	13	0	4					
14	Число погашенных неиспользованных открепительных удостоверений	1017	19	14	10	8	12	24	9	10	8	15	8	4	4	9	15	7	9	13	14	13	8	20	21	10	23	28	10	10	22	19	11	10	6	10	20	10	4	10	10	8	11	10	15	18	15	13	13	13	11	12	19	19	11	10	8	18	8	11	7	9	10	16	8	10	13	20	13	7	18	22	15	20	5	17	15	24	19	19					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																					
18	1.Политическая партия «Аграрная партия России»	433	11	3	1	4	13	13	4	4	14	10	1	6	7	7	17	0	2	0	6	1	5	0	11	11	10	14	0	2	5	8	13	2	9	2	8	5	3	3	7	4	4	14	3	8	0	5	4	17	15	4	9	5	5	2	3	5	6	4	2	3	2	4	0	0	5	0	1	3	2	14	11	2	2	9	5	1	5	3					
		1.45%	1.91%	1.47%	1.39%	1.61%	1.87%	1.43%	2.50%	0.81%	1.06%	1.31%	0.61%	1.83%	1.96%	4.67%	1.85%	0.00%	1.10%	0.00%	0.88%	0.29%	1.99%	0.00%	1.79%	1.47%	1.05%	1.55%	0.00%	1.96%	1.39%	1.72%	2.86%	1.98%	1.88%	1.56%	2.49%	3.16%	2.42%	2.48%	5.74%	2.22%	2.25%	6.31%	3.33%	2.16%	0.00%	0.88%	1.41%	1.30%	1.75%	0.84%	1.52%	1.25%	0.97%	2.00%	2.13%	1.02%	1.53%	1.49%	0.99%	1.84%	1.74%	1.49%	0.00%	0.00%	0.84%	0.00%	0.97%	1.18%	0.30%	2.67%	1.30%	0.90%	0.60%	2.69%	1.27%	0.46%	1.67%	0.61%					
19	2.Всероссийская политическая партия «Гражданская Сила»	217	7	3	1	0	8	11	0	1	28	9	1	2	0	0	6	0	5	0	5	0	1	1	6	3	6	0	0	1	3	2	0	1	1	2	2	0	0	0	1	0	1	1	0	0	0	2	0	19	2	4	5	1	4	0	1	3	1	3	2	3	0	0	1	0	5	0	0	6	4	1	3	2	0	1	1	5	8	11					
		0.73%	1.21%	1.47%	1.39%	0.00%	1.15%	1.21%	0.00%	0.20%	2.13%	1.18%	0.61%	0.61%	0.00%	0.00%	0.65%	0.00%	2.75%	0.00%	0.74%	0.00%	0.40%	0.43%	0.98%	0.40%	0.63%	0.00%	0.00%	0.98%	0.84%	0.43%	0.00%	0.99%	0.21%	1.56%	0.62%	0.00%	0.00%	0.00%	0.82%	0.00%	0.56%	0.45%	0.00%	0.00%	0.00%	0.35%	0.00%	1.46%	0.23%	0.84%	0.85%	0.25%	0.78%	0.00%	0.71%	0.61%	0.26%	1.12%	0.99%	1.84%	0.00%	0.00%	1.54%	0.00%	0.84%	0.00%	0.00%	2.36%	0.60%	0.19%	0.36%	0.90%	0.00%	0.30%	0.25%	2.31%	2.67%	2.22%					
20	3.Политическая партия «Демократическая партия России»	45	0	0	0	0	1	3	1	2	4	1	0	0	1	0	2	0	0	0	1	2	1	0	0	1	0	1	0	0	1	1	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	1	0	3	1	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	1	0	0	0	1	0	2	1	2	1	0	0	1	0					
