Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																					
Дата голосования: 04.12.2011																																																																																					
																																																																																					
Наименование Избирательной комиссии:    Томская																																																																																					
																																																																																					
Сводная таблица результатов выборов																																																																																					
																																																																																					
		Сумма	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714					
1	"Число избирателей, внесенных в список избирателей"	54723	341	193	455	124	173	997	48	146	418	1293	1060	1385	343	545	420	567	305	659	1206	951	406	110	354	1259	1913	279	823	2021	1613	150	486	803	231	1453	426	273	773	1043	732	463	413	1569	1350	2095	1651	78	139	769	968	934	305	898	229	469	212	198	171	167	269	290	512	156	694	124	1011	565	2362	1701	913	1077	828	1161	182	274	1070	801	454	424					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	52471	343	193	465	128	170	997	45	156	424	1304	1047	1355	331	534	397	513	292	627	1143	926	414	102	325	1231	1900	272	782	1948	1535	147	485	796	228	1377	390	271	818	1065	648	407	391	1410	1131	1810	1410	84	144	656	863	844	221	808	228	469	201	187	171	160	277	297	519	150	690	128	991	560	2328	1687	926	1062	825	1151	184	276	1023	790	462	426					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	25110	133	82	199	63	83	440	45	49	175	455	376	627	164	250	260	291	165	342	688	474	192	61	145	615	632	127	370	1168	862	104	259	277	96	624	230	121	291	332	409	312	175	709	862	1029	944	55	84	378	522	435	162	416	83	202	92	77	65	82	123	105	174	60	278	63	447	255	1181	695	378	381	337	481	60	100	384	282	216	150					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1715	17	12	9	1	12	21	0	8	45	54	55	35	46	26	26	74	3	6	7	23	21	5	32	22	12	21	11	3	11	0	9	3	8	69	14	20	123	182	21	0	26	25	17	25	12	0	6	9	15	13	0	31	10	46	19	10	11	10	3	25	24	10	44	14	10	10	27	8	23	58	13	14	7	9	27	17	16	4					
6	Число погашенных избирательных бюллетеней	25646	193	99	257	64	75	536	0	99	204	795	616	693	121	258	111	148	124	279	448	429	201	36	148	594	1256	124	401	777	662	43	217	516	124	684	146	130	404	551	218	95	190	676	252	756	454	29	54	269	326	396	59	361	135	221	90	100	95	68	151	167	321	80	368	51	534	295	1120	984	525	623	475	656	117	167	612	491	230	272					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1715	17	12	9	1	12	21	0	8	45	54	55	35	46	26	26	74	3	6	7	23	21	5	32	22	12	21	11	3	11	0	9	3	8	69	14	20	123	182	21	0	26	25	17	25	12	0	6	9	15	13	0	31	10	46	19	10	11	10	3	25	24	10	44	14	10	10	27	8	23	58	13	14	7	9	27	17	16	4					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	25097	133	82	199	63	83	440	45	49	175	455	375	627	164	250	260	291	165	342	688	474	192	61	145	613	632	127	370	1166	862	104	259	277	96	624	230	121	291	332	409	312	175	709	862	1027	943	55	84	378	522	435	162	416	83	202	92	77	65	82	123	105	174	60	278	63	447	255	1180	691	378	381	337	481	60	100	384	282	216	150					
9	Число недействительных избирательных бюллетеней	461	7	0	5	0	3	5	0	0	5	8	9	16	1	5	2	1	3	6	5	6	3	1	2	10	14	1	7	17	22	1	3	3	3	8	2	1	8	10	23	2	0	17	14	29	17	0	3	8	7	3	0	7	1	4	2	2	1	2	1	3	2	0	1	0	9	1	25	19	7	8	7	10	0	3	5	6	4	5					
10	Число действительных избирательных бюллетеней	26351	143	94	203	64	92	456	45	57	215	501	421	646	209	271	284	364	165	342	690	491	210	65	175	625	630	147	374	1152	851	103	265	277	101	685	242	140	406	504	407	310	201	717	865	1023	938	55	87	379	530	445	162	440	92	244	109	85	75	90	125	127	196	70	321	77	448	264	1182	680	394	431	343	485	67	106	406	293	228	149					
