Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																									
Дата голосования: 18.09.2016																									
																									
Наименование Избирательной комиссии:    Крутихинская																									
																									
Сводная таблица итогов голосования по федеральному избирательному округу																									
																									
		Сумма	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	8991	64	313	523	1125	1093	600	138	1643	1502	461	178	365	830	156									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9100	65	325	550	1125	1125	600	140	1650	1525	470	180	365	825	155									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3340	37	136	279	378	319	224	40	598	548	190	51	119	330	91									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	466	5	7	18	71	122	13	11	59	31	42	7	30	50	0									
6	Число погашенных избирательных бюллетеней	5294	23	182	253	676	684	363	89	993	946	238	122	216	445	64									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	466	5	7	18	71	122	13	11	59	31	42	7	30	50	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3339	37	136	279	377	319	224	40	598	548	190	51	119	330	91									
9	Число недействительных избирательных бюллетеней	78	0	3	7	8	9	5	2	16	7	6	1	5	7	2									
10	Число действительных избирательных бюллетеней	3727	42	140	290	440	432	232	49	641	572	226	57	144	373	89									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	96	3	3	5	7	10	5	3	24	15	5	3	4	6	3									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	44	0	2	0	1	2	1	0	23	13	1	0	0	1	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	49	2	2	3	7	3	2	2	10	4	3	2	4	3	2									
14	Число погашенных неиспользованных открепительных удостоверений	52	3	1	5	6	8	4	3	1	2	4	3	4	5	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	0	0	0	0	0	0	0	1	3	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	21	0	2	0	2	3	3	1	4	5	0	0	0	1	0									
		0.55%	0.00%	1.40%	0.00%	0.45%	0.68%	1.27%	1.96%	0.61%	0.86%	0.00%	0.00%	0.00%	0.26%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	107	3	0	13	17	8	10	0	16	15	10	1	7	6	1									
		2.81%	7.14%	0.00%	4.38%	3.79%	1.81%	4.22%	0.00%	2.44%	2.59%	4.31%	1.72%	4.70%	1.58%	1.10%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	54	0	5	2	4	8	5	1	13	2	2	1	2	8	1									
		1.42%	0.00%	3.50%	0.67%	0.89%	1.81%	2.11%	1.96%	1.98%	0.35%	0.86%	1.72%	1.34%	2.11%	1.10%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1522	23	67	119	196	175	91	17	249	206	84	23	74	174	24									
		40.00%	54.76%	46.85%	40.07%	43.75%	39.68%	38.40%	33.33%	37.90%	35.58%	36.21%	39.66%	49.66%	45.79%	26.37%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	17	0	1	1	0	1	1	1	3	3	3	0	0	3	0									
		0.45%	0.00%	0.70%	0.34%	0.00%	0.23%	0.42%	1.96%	0.46%	0.52%	1.29%	0.00%	0.00%	0.79%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	8	0	0	2	0	1	0	0	2	1	1	0	0	1	0									
		0.21%	0.00%	0.00%	0.67%	0.00%	0.23%	0.00%	0.00%	0.30%	0.17%	0.43%	0.00%	0.00%	0.26%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	558	4	26	33	70	68	30	4	72	107	47	11	15	52	19									
		14.66%	9.52%	18.18%	11.11%	15.63%	15.42%	12.66%	7.84%	10.96%	18.48%	20.26%	18.97%	10.07%	13.68%	20.88%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	12	0	0	0	1	2	0	0	0	7	0	0	1	1	0									
		0.32%	0.00%	0.00%	0.00%	0.22%	0.45%	0.00%	0.00%	0.00%	1.21%	0.00%	0.00%	0.67%	0.26%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	21	1	1	1	4	4	0	0	2	3	2	0	1	2	0									
		0.55%	2.38%	0.70%	0.34%	0.89%	0.91%	0.00%	0.00%	0.30%	0.52%	0.86%	0.00%	0.67%	0.53%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	10	0	0	0	2	2	0	0	0	4	1	0	0	1	0									
		0.26%	0.00%	0.00%	0.00%	0.45%	0.45%	0.00%	0.00%	0.00%	0.69%	0.43%	0.00%	0.00%	0.26%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	18	0	0	2	3	3	2	0	0	2	2	0	0	4	0									
		0.47%	0.00%	0.00%	0.67%	0.67%	0.68%	0.84%	0.00%	0.00%	0.35%	0.86%	0.00%	0.00%	1.05%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	480	10	8	35	54	61	36	6	95	67	32	3	24	45	4									
		12.61%	23.81%	5.59%	11.78%	12.05%	13.83%	15.19%	11.76%	14.46%	11.57%	13.79%	5.17%	16.11%	11.84%	4.40%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	10	0	0	0	1	1	2	1	3	1	0	0	1	0	0									
		0.26%	0.00%	0.00%	0.00%	0.22%	0.23%	0.84%	1.96%	0.46%	0.17%	0.00%	0.00%	0.67%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	889	1	30	82	86	95	52	18	182	149	42	18	19	75	40									
		23.36%	2.38%	20.98%	27.61%	19.20%	21.54%	21.94%	35.29%	27.70%	25.73%	18.10%	31.03%	12.75%	19.74%	43.96%									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
