Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																				
Дата голосования: 04.12.2011																																																				
																																																				
Наименование Избирательной комиссии:    Кунашакская																																																				
																																																				
Сводная таблица результатов выборов																																																				
																																																				
		Сумма	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110					
1	"Число избирателей, внесенных в список избирателей"	24081	2761	2349	319	420	341	442	1425	299	177	133	1006	394	423	886	267	1541	745	640	195	784	268	86	296	373	929	383	511	417	466	590	113	163	167	277	178	166	1231	227	135	382	161	273	302	245	195					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	24690	2850	2400	350	420	370	470	1450	300	190	140	1040	330	440	880	290	1630	790	670	200	800	260	90	290	370	930	370	510	430	470	600	110	180	170	290	210	160	1270	200	130	400	180	280	320	250	210					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	12400	1391	1131	227	211	226	255	686	188	113	82	411	270	220	183	117	601	422	378	145	368	154	69	225	160	470	215	254	221	233	324	70	109	82	119	109	103	736	114	113	200	106	141	153	167	128					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1457	76	174	9	28	14	10	85	15	9	0	46	20	48	49	28	37	37	54	2	23	24	5	9	68	46	24	26	53	74	78	18	9	8	24	19	15	102	11	0	18	0	30	22	10	0					
6	Число погашенных избирательных бюллетеней	10833	1383	1095	114	181	130	205	679	97	68	58	583	40	172	648	145	992	331	238	53	409	82	16	56	142	414	131	230	156	163	198	22	62	80	147	82	42	432	75	17	182	74	109	145	73	82					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1457	76	174	9	28	14	10	85	15	9	0	46	20	48	49	28	37	37	54	2	23	24	5	9	68	46	24	26	53	74	78	18	9	8	24	19	15	102	11	0	18	0	30	22	10	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	12400	1391	1131	227	211	226	255	686	188	113	82	411	270	220	183	117	601	422	378	145	368	154	69	225	160	470	215	254	221	233	324	70	109	82	119	109	103	736	114	113	200	106	141	153	167	128					
9	Число недействительных избирательных бюллетеней	233	24	17	3	3	0	6	20	4	2	0	6	2	8	4	1	12	3	8	1	5	1	0	0	1	5	2	13	4	10	7	0	4	2	5	2	5	26	1	2	0	2	4	3	2	3					
10	Число действительных избирательных бюллетеней	13624	1443	1288	233	236	240	259	751	199	120	82	451	288	260	228	144	626	456	424	146	386	177	74	234	227	511	237	267	270	297	395	88	114	88	138	126	113	812	124	111	218	104	167	172	175	125					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	666	75	49	1	11	30	21	30	5	11	5	42	6	15	10	13	55	25	28	5	10	3	0	5	5	15	5	10	10	1	14	0	4	3	12	25	6	40	3	3	13	3	10	12	7	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	654	75	49	1	11	30	19	30	5	11	5	37	6	15	10	13	54	25	28	4	10	3	0	5	5	15	5	10	10	1	14	0	4	3	12	25	6	40	3	3	13	3	7	12	7	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	285	15	7	5	7	5	3	3	1	3	0	0	131	1	3	2	6	2	4	3	11	3	5	4	12	2	4	0	2	2	15	2	1	0	0	1	5	3	1	1	2	3	1	1	2	1					
14	Число погашенных неиспользованных открепительных удостоверений	12	0	0	0	0	0	2	0	0	0	0	5	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	33	6	4	0	0	1	1	0	0	0	0	0	0	0	0	0	2	2	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	1	9	1	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
