Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																														
Дата голосования: 18.09.2016																																																														
																																																														
Наименование Избирательной комиссии:    Нефтеюганская городская																																																														
																																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																																														
																																																														
		Сумма	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	80121	800	1681	1582	1093	1192	1520	1495	1471	1562	1432	1570	1493	1607	1487	1427	1654	1553	1596	1703	1501	1733	1605	1674	1607	1626	1357	1608	1599	1587	1721	1649	1602	1585	1489	1707	1603	1691	1709	1566	1766	1689	1733	1649	1642	1602	1828	1506	1672	1701	1591	1605									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	55350	600	1080	1110	750	800	1080	1040	1040	1080	980	1090	1050	1100	990	980	1100	1080	1120	1200	1040	1200	1130	1150	1100	1100	1050	1140	1120	1100	1100	1120	1130	1070	1000	1130	1150	1250	1200	1100	1200	1180	1200	1130	1060	1120	1200	1030	1200	1170	1110	1100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	25876	215	435	411	334	400	578	553	514	550	481	468	468	561	481	438	635	477	516	628	531	577	487	562	369	210	242	308	503	547	438	260	566	581	539	608	579	541	590	548	652	611	635	601	579	571	699	479	601	551	567	601									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	339	5	15	2	4	5	4	9	6	9	1	5	11	10	9	7	3	4	6	9	8	0	5	25	3	4	9	11	11	6	7	10	4	4	1	8	8	4	12	2	6	3	8	10	6	6	2	6	6	12	5	3									
6	Число погашенных избирательных бюллетеней	29135	380	630	697	412	395	498	478	520	521	498	617	571	529	500	535	462	599	598	563	501	623	638	563	728	886	799	821	606	547	655	850	560	485	460	514	563	705	598	550	542	566	557	519	475	543	499	545	593	607	538	496									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	337	5	13	2	4	5	4	9	6	9	1	5	11	10	9	7	3	4	6	9	8	0	5	25	3	4	9	11	11	6	7	10	4	4	1	8	8	4	12	2	6	3	8	10	6	6	2	6	6	12	5	3									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	25863	215	435	411	334	400	578	553	514	550	481	468	464	561	481	437	635	477	516	628	529	577	487	562	369	210	242	308	501	547	437	260	566	581	539	608	579	541	590	548	652	611	635	601	578	569	699	479	601	551	567	601									
9	Число недействительных избирательных бюллетеней	930	8	6	8	24	25	8	8	27	78	9	18	26	8	8	7	47	8	3	0	38	5	27	25	11	6	11	8	20	9	21	5	20	16	22	21	55	20	26	26	19	10	26	15	13	17	28	13	28	20	10	13									
10	Число действительных избирательных бюллетеней	25270	212	442	405	314	380	574	554	493	481	473	455	449	563	482	437	591	473	519	637	499	572	465	562	361	208	240	311	492	544	423	265	550	569	518	595	532	525	576	524	639	604	617	596	571	558	673	472	579	543	562	591									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2900	56	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	47	47	47	47	46									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	429	4	5	12	3	7	7	7	5	7	7	5	13	10	6	7	8	6	7	9	7	3	2	10	2	1	0	3	13	6	7	2	12	11	14	10	7	17	14	10	11	20	12	25	9	8	10	9	9	15	3	12									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	232	4	2	2	3	12	0	4	3	5	7	3	1	4	0	13	1	3	5	1	0	2	1	1	2	3	2	4	6	3	2	7	2	3	0	7	4	0	2	1	4	0	1	6	3	6	10	8	18	8	31	12									
14	Число погашенных неиспользованных открепительных удостоверений	2471	52	53	46	55	51	51	51	53	51	51	53	45	48	52	51	50	52	51	49	51	55	56	48	56	57	58	55	45	52	51	56	46	47	44	48	51	41	44	48	47	38	46	33	49	50	48	38	38	32	44	34									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	80	0	0	3	1	0	4	3	0	3	0	1	3	2	3	1	1	3	4	2	0	4	2	0	2	0	0	1	0	3	1	1	1	1	0	0	1	1	2	2	0	3	1	1	3	2	0	6	3	0	1	4									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	332	2	1	1	3	4	2	2	5	9	1	1	5	1	2	1	16	2	3	15	5	2	6	6	1	0	0	1	4	2	2	1	12	7	12	14	15	9	7	15	12	14	11	12	12	13	23	10	10	8	6	4									
