Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																					
Дата голосования: 18.09.2016																																																					
																																																					
Наименование Избирательной комиссии:    Палласовская																																																					
																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																					
																																																					
		Сумма	УИК №3201	УИК №3202	УИК №3203	УИК №3204	УИК №3205	УИК №3206	УИК №3207	УИК №3208	УИК №3209	УИК №3210	УИК №3211	УИК №3212	УИК №3213	УИК №3214	УИК №3215	УИК №3216	УИК №3217	УИК №3218	УИК №3219	УИК №3220	УИК №3221	УИК №3222	УИК №3223	УИК №3224	УИК №3225	УИК №3226	УИК №3227	УИК №3228	УИК №3229	УИК №3230	УИК №3231	УИК №3232	УИК №3233	УИК №3234	УИК №3235	УИК №3236	УИК №3237	УИК №3238	УИК №3239	УИК №3240	УИК №3241	УИК №3242									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	31637	1715	1164	1175	1292	916	1672	1321	1142	2014	229	242	59	1158	1212	139	455	213	1462	403	403	986	1237	241	130	1632	209	1189	95	92	181	758	118	1271	847	849	570	289	1017	990	167	163	220									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	32041	1760	1158	1121	1324	902	1686	1315	1084	2070	238	262	60	1192	1236	138	482	207	1480	390	402	1008	1250	238	129	1651	212	1197	105	98	186	776	118	1353	886	827	566	330	1007	1020	180	172	225									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11914	553	440	434	489	264	437	664	400	762	102	92	38	387	437	72	200	81	535	152	132	384	444	115	53	722	54	433	51	43	32	288	59	483	345	393	201	157	436	380	45	85	40									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2159	73	60	59	55	52	81	55	121	67	7	27	10	75	83	7	19	3	39	38	32	45	65	13	15	67	32	93	15	36	110	73	33	202	57	68	29	33	61	50	18	18	63									
6	Число погашенных избирательных бюллетеней	17968	1134	658	628	780	586	1168	596	563	1241	129	143	12	730	716	59	263	123	906	200	238	579	741	110	61	862	126	671	39	19	44	415	26	668	484	366	336	140	510	590	117	69	122									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2159	73	60	59	55	52	81	55	121	67	7	27	10	75	83	7	19	3	39	38	32	45	65	13	15	67	32	93	15	36	110	73	33	202	57	68	29	33	61	50	18	18	63									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11750	553	440	434	489	264	437	500	400	762	102	92	38	387	437	72	200	81	535	152	132	384	444	115	53	722	54	433	51	43	32	288	59	483	345	393	201	157	436	380	45	85	40									
9	Число недействительных избирательных бюллетеней	351	16	9	14	10	6	13	15	23	11	4	1	0	6	9	2	10	6	11	4	7	8	2	7	0	32	1	17	0	1	0	7	0	28	12	16	0	2	23	13	3	0	2									
10	Число действительных избирательных бюллетеней	13558	610	491	479	534	310	505	540	498	818	105	118	48	456	511	77	209	78	563	186	157	421	507	121	68	757	85	509	66	78	142	354	92	657	390	445	230	188	474	417	60	103	101									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	606	15	14	14	15	13	13	13	13	20	9	10	5	20	22	4	20	5	25	10	10	20	25	5	5	15	7	25	10	10	5	20	5	35	20	20	15	23	26	20	10	10	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	503	12	3	9	13	1	6	3	13	20	9	10	5	20	22	4	20	5	15	4	10	16	12	0	2	15	7	25	10	10	5	20	5	35	20	20	15	23	26	17	1	10	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	125	3	3	4	5	2	2	2	1	4	1	1	1	4	4	0	1	3	5	1	0	4	2	2	0	3	0	1	0	0	0	3	0	3	3	3	4	2	19	24	1	4	0									
14	Число погашенных неиспользованных открепительных удостоверений	103	3	11	5	2	12	7	10	0	0	0	0	0	0	0	0	0	0	10	6	0	4	13	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	9	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	92	5	1	1	2	3	1	4	5	7	0	0	1	2	2	4	10	2	9	0	0	1	1	1	0	2	0	1	0	0	0	0	0	4	3	7	1	0	8	4	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	81	4	3	6	2	2	4	4	2	8	1	1	0	2	4	0	0	0	3	0	0	3	2	0	0	9	0	6	0	0	0	2	0	2	0	3	2	1	0	3	1	1	0									
		0.58%	0.64%	0.60%	1.22%	0.37%	0.63%	0.77%	0.72%	0.38%	0.97%	0.92%	0.84%	0.00%	0.43%	0.77%	0.00%	0.00%	0.00%	0.52%	0.00%	0.00%	0.70%	0.39%	0.00%	0.00%	1.14%	0.00%	1.14%	0.00%	0.00%	0.00%	0.55%	0.00%	0.29%	0.00%	0.65%	0.87%	0.53%	0.00%	0.70%	1.59%	0.97%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	577	25	16	13	16	8	24	29	20	34	3	4	0	28	21	2	7	2	27	9	5	19	25	4	3	36	3	26	3	0	2	7	0	33	19	14	11	12	27	32	3	2	3									
		4.15%	3.99%	3.20%	2.64%	2.94%	2.53%	4.63%	5.23%	3.84%	4.10%	2.75%	3.36%	0.00%	6.06%	4.04%	2.53%	3.20%	2.38%	4.70%	4.74%	3.05%	4.43%	4.91%	3.13%	4.41%	4.56%	3.49%	4.94%	4.55%	0.00%	1.41%	1.94%	0.00%	4.82%	4.73%	3.04%	4.78%	6.32%	5.43%	7.44%	4.76%	1.94%	2.91%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	216	11	19	5	8	4	12	9	6	20	3	0	0	10	5	0	1	2	14	0	3	8	5	1	0	9	1	10	0	0	2	3	0	6	4	7	2	1	12	10	1	1	1									
		1.55%	1.76%	3.80%	1.01%	1.47%	1.27%	2.32%	1.62%	1.15%	2.41%	2.75%	0.00%	0.00%	2.16%	0.96%	0.00%	0.46%	2.38%	2.44%	0.00%	1.83%	1.86%	0.98%	0.78%	0.00%	1.14%	1.16%	1.90%	0.00%	0.00%	1.41%	0.83%	0.00%	0.88%	0.99%	1.52%	0.87%	0.53%	2.41%	2.33%	1.59%	0.97%	0.97%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	7466	290	231	240	254	150	233	259	220	389	66	74	39	259	257	53	145	40	298	122	121	277	300	79	56	402	65	287	40	73	90	229	77	350	236	241	145	131	244	216	43	81	64									
		53.68%	46.33%	46.20%	48.68%	46.69%	47.47%	44.98%	46.67%	42.23%	46.92%	60.55%	62.18%	81.25%	56.06%	49.42%	67.09%	66.21%	47.62%	51.92%	64.21%	73.78%	64.57%	58.94%	61.72%	82.35%	50.95%	75.58%	54.56%	60.61%	92.41%	63.38%	63.43%	83.70%	51.09%	58.71%	52.28%	63.04%	68.95%	49.09%	50.23%	68.25%	78.64%	62.14%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	45	2	1	2	1	3	2	2	2	3	0	0	0	1	0	1	2	1	3	0	0	0	2	1	0	3	0	0	0	0	1	1	0	1	1	2	0	2	2	3	0	0	0									
		0.32%	0.32%	0.20%	0.41%	0.18%	0.95%	0.39%	0.36%	0.38%	0.36%	0.00%	0.00%	0.00%	0.22%	0.00%	1.27%	0.91%	1.19%	0.52%	0.00%	0.00%	0.00%	0.39%	0.78%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	0.70%	0.28%	0.00%	0.15%	0.25%	0.43%	0.00%	1.05%	0.40%	0.70%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	18	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	1	1	0	1	2	0	0	1	0	0	0	0	1	1	0	0	1	2	0	1	1	0	1	0	0									
		0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.19%	0.00%	0.92%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.17%	0.53%	0.00%	0.23%	0.39%	0.00%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.70%	0.28%	0.00%	0.00%	0.25%	0.43%	0.00%	0.53%	0.20%	0.00%	1.59%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2180	131	106	119	115	70	114	108	133	197	12	13	3	46	98	17	16	16	115	15	8	42	45	21	1	118	1	54	7	3	21	17	1	124	72	52	12	14	67	38	5	4	9									
		15.67%	20.93%	21.20%	24.14%	21.14%	22.15%	22.01%	19.46%	25.53%	23.76%	11.01%	10.92%	6.25%	9.96%	18.85%	21.52%	7.31%	19.05%	20.03%	7.89%	4.88%	9.79%	8.84%	16.41%	1.47%	14.96%	1.16%	10.27%	10.61%	3.80%	14.79%	4.71%	1.09%	18.10%	17.91%	11.28%	5.22%	7.37%	13.48%	8.84%	7.94%	3.88%	8.74%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	38	1	2	0	5	0	2	5	0	2	0	0	0	0	2	0	0	0	2	0	0	0	2	0	0	3	0	0	0	0	0	3	3	1	0	2	0	0	2	1	0	0	0									
		0.27%	0.16%	0.40%	0.00%	0.92%	0.00%	0.39%	0.90%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	0.38%	0.00%	0.00%	0.00%	0.35%	0.00%	0.00%	0.00%	0.39%	0.00%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.83%	3.26%	0.15%	0.00%	0.43%	0.00%	0.00%	0.40%	0.23%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	61	5	2	5	6	1	0	2	2	7	1	0	0	3	3	0	0	0	2	0	1	1	3	0	0	4	0	1	0	0	0	1	0	3	1	4	0	0	2	1	0	0	0									
		0.44%	0.80%	0.40%	1.01%	1.10%	0.32%	0.00%	0.36%	0.38%	0.84%	0.92%	0.00%	0.00%	0.65%	0.58%	0.00%	0.00%	0.00%	0.35%	0.00%	0.61%	0.23%	0.59%	0.00%	0.00%	0.51%	0.00%	0.19%	0.00%	0.00%	0.00%	0.28%	0.00%	0.44%	0.25%	0.87%	0.00%	0.00%	0.40%	0.23%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	10	1	0	0	1	0	1	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0									
		0.07%	0.16%	0.00%	0.00%	0.18%	0.00%	0.19%	0.36%	0.19%	0.00%	0.00%	0.84%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	1.52%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	91	11	2	5	2	2	5	7	5	6	0	1	0	0	2	0	2	1	10	1	0	0	3	0	0	7	0	2	0	0	1	1	2	0	5	2	0	0	3	1	1	1	0									
