Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																										
Дата голосования: 04.12.2011																																										
																																										
Наименование Избирательной комиссии:    Тункинская																																										
																																										
Сводная таблица результатов выборов																																										
																																										
		Сумма	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632					
1	"Число избирателей, внесенных в список избирателей"	13958	310	510	563	166	343	106	153	135	319	601	221	283	39	105	47	388	264	894	750	137	740	46	321	304	163	836	686	886	834	772	330	420	164	389	733					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13110	286	496	536	166	341	102	153	162	309	563	206	262	39	103	45	377	238	867	595	132	692	42	308	336	159	702	686	829	728	748	321	406	152	389	634					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	10070	264	365	361	126	281	92	90	111	179	382	129	245	38	78	45	356	217	702	543	93	543	38	246	288	138	501	446	519	524	571	218	375	137	345	484					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	958	16	35	48	11	33	6	22	24	53	51	11	10	1	8	0	20	21	32	16	23	83	2	38	16	5	11	76	30	34	57	54	28	15	25	43					
6	Число погашенных избирательных бюллетеней	2075	6	96	127	29	27	4	41	27	77	130	66	7	0	17	0	1	0	133	36	16	66	2	24	32	16	190	164	280	170	113	49	3	0	19	107					
7	Число избирательных бюллетеней в переносных ящиках для голосования	965	16	35	48	11	33	6	22	24	53	51	11	10	1	8	0	20	21	32	16	23	83	2	38	16	5	11	76	30	34	64	54	28	15	25	43					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	10070	264	365	361	126	281	92	90	111	179	382	129	245	38	78	45	356	217	702	543	93	543	38	246	288	138	501	446	519	524	571	218	375	137	345	484					
9	Число недействительных избирательных бюллетеней	176	4	12	14	3	4	3	1	0	3	10	1	3	0	4	0	1	0	15	13	0	4	0	3	5	3	12	4	13	8	4	6	6	1	1	15					
10	Число действительных избирательных бюллетеней	10859	276	388	395	134	310	95	111	135	229	423	139	252	39	82	45	375	238	719	546	116	622	40	281	299	140	500	518	536	550	631	266	397	151	369	512					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	393	5	10	10	5	11	3	3	3	5	20	3	8	3	3	2	8	3	25	15	5	20	2	10	10	3	20	40	40	40	10	8	10	5	5	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	201	0	6	10	2	6	0	0	1	4	8	3	2	3	0	0	8	1	22	14	1	7	0	4	1	0	11	13	19	19	10	1	3	0	5	17					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	236	5	3	9	2	4	1	3	2	3	4	1	8	2	1	2	7	3	15	83	1	7	2	3	0	0	3	9	16	5	1	0	0	20	4	7					
14	Число погашенных неиспользованных открепительных удостоверений	192	5	4	0	3	5	3	3	2	1	12	0	6	0	3	2	0	2	3	1	4	13	2	6	9	3	9	27	21	21	0	7	7	5	0	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	5					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																										
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	690	12	29	20	6	30	13	6	9	19	44	15	5	2	13	2	16	6	47	36	6	28	0	17	12	15	37	11	58	36	36	13	19	25	15	32					
		6.25%	4.29%	7.25%	4.89%	4.38%	9.55%	13.27%	5.36%	6.67%	8.19%	10.16%	10.71%	1.96%	5.13%	15.12%	4.44%	4.26%	2.52%	6.40%	6.44%	5.17%	4.47%	0.00%	5.99%	3.95%	10.49%	7.23%	2.11%	10.56%	6.45%	5.67%	4.78%	4.71%	16.45%	4.05%	6.07%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	439	3	7	27	2	2	18	7	20	21	46	25	7	0	5	0	0	2	27	12	18	5	0	2	8	3	17	4	30	44	3	9	12	14	9	30					
		3.98%	1.07%	1.75%	6.60%	1.46%	0.64%	18.37%	6.25%	14.81%	9.05%	10.62%	17.86%	2.75%	0.00%	5.81%	0.00%	0.00%	0.84%	3.68%	2.15%	15.52%	0.80%	0.00%	0.70%	2.63%	2.10%	3.32%	0.77%	5.46%	7.89%	0.47%	3.31%	2.98%	9.21%	2.43%	5.69%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	92	0	2	3	1	2	3	2	0	4	3	1	1	1	0	0	1	1	2	7	0	3	0	1	3	2	2	2	3	4	2	5	14	1	10	6					
		0.83%	0.00%	0.50%	0.73%	0.73%	0.64%	3.06%	1.79%	0.00%	1.72%	0.69%	0.71%	0.39%	2.56%	0.00%	0.00%	0.27%	0.42%	0.27%	1.25%	0.00%	0.48%	0.00%	0.35%	0.99%	1.40%	0.39%	0.38%	0.55%	0.72%	0.31%	1.84%	3.47%	0.66%	2.70%	1.14%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	2581	36	93	118	17	54	15	30	18	49	98	30	88	19	23	15	43	27	257	190	17	109	4	41	79	28	138	158	133	198	120	49	77	29	54	127					
		23.39%	12.86%	23.25%	28.85%	12.41%	17.20%	15.31%	26.79%	13.33%	21.12%	22.63%	21.43%	34.51%	48.72%	26.74%	33.33%	11.44%	11.34%	35.01%	33.99%	14.66%	17.41%	10.00%	14.44%	25.99%	19.58%	26.95%	30.27%	24.23%	35.48%	18.90%	18.01%	19.11%	19.08%	14.59%	24.10%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	74	0	2	4	1	2	0	3	1	3	7	0	0	0	0	0	0	0	7	3	1	3	0	4	3	3	4	3	5	2	2	1	2	2	3	3					
		0.67%	0.00%	0.50%	0.98%	0.73%	0.64%	0.00%	2.68%	0.74%	1.29%	1.62%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.95%	0.54%	0.86%	0.48%	0.00%	1.41%	0.99%	2.10%	0.78%	0.57%	0.91%	0.36%	0.31%	0.37%	0.50%	1.32%	0.81%	0.57%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6952	225	253	219	107	220	46	63	86	131	225	67	150	17	41	28	315	201	378	296	73	474	36	215	194	87	301	340	305	264	465	188	272	79	278	313					
		62.99%	80.36%	63.25%	53.55%	78.10%	70.06%	46.94%	56.25%	63.70%	56.47%	51.96%	47.86%	58.82%	43.59%	47.67%	62.22%	83.78%	84.45%	51.50%	52.95%	62.93%	75.72%	90.00%	75.70%	63.82%	60.84%	58.79%	65.13%	55.56%	47.31%	73.23%	69.12%	67.49%	51.97%	75.14%	59.39%					
