Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																										
Дата голосования: 02.12.2007																																										
																																										
Наименование Избирательной комиссии:    Тункинская																																										
																																										
Сводная таблица результатов выборов																																										
																																										
		Сумма	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631					
1	"Число избирателей, внесенных в списки избирателей"	13913	292	535	580	166	358	108	182	156	371	688	251	267	43	95	48	345	264	782	555	147	673	49	344	289	159	803	757	1000	847	783	350	407	175	423	621					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	13830	286	586	619	154	340	108	186	173	342	655	241	246	47	112	48	355	272	791	444	145	880	49	330	310	144	778	772	899	758	775	346	434	194	428	583					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	9647	224	391	409	126	282	98	94	141	182	434	139	234	37	85	46	263	192	566	402	101	461	34	248	266	130	544	460	536	506	487	249	339	145	320	476					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	909	20	28	27	16	33	0	38	15	80	61	27	12	4	10	0	26	32	24	13	23	58	3	22	23	3	15	52	37	36	25	35	22	24	29	36					
6	Число погашенных избирательных бюллетеней	3266	42	167	183	12	25	10	54	17	80	160	75	0	6	17	2	66	48	201	29	21	361	12	60	21	11	219	260	326	216	255	62	73	25	79	71					
7	Число избирательных бюллетеней в переносных ящиках для голосования	917	20	28	27	16	33	0	38	15	80	61	27	12	4	10	0	26	32	24	13	23	58	3	22	23	3	15	52	37	36	33	35	22	24	29	36					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9647	224	391	409	126	282	98	94	141	182	434	139	234	37	85	46	263	192	566	402	101	461	34	248	266	130	544	460	536	506	487	249	339	145	320	476					
9	Число недействительных избирательных бюллетеней	235	2	0	0	2	9	4	0	6	0	0	12	5	1	2	4	2	7	4	5	4	12	2	13	7	11	12	7	18	19	14	12	8	1	25	5					
10	Число действительных избирательных бюллетеней	10329	242	419	436	140	306	94	132	150	262	495	154	241	40	93	42	287	217	586	410	120	507	35	257	282	122	547	505	555	523	506	272	353	168	324	507					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	530	5	15	15	5	10	5	5	5	5	20	5	15	5	5	5	15	5	15	15	5	25	2	10	10	3	60	60	60	60	20	5	10	5	5	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	180	0	1	11	2	8	0	0	0	4	7	0	0	0	2	2	2	0	12	5	0	11	0	5	2	0	20	12	14	33	15	0	1	0	4	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	243	3	6	8	3	0	4	3	2	3	8	2	6	4	4	3	4	8	18	50	3	4	4	1	2	2	6	7	11	3	1	4	22	21	5	8					
14	Число погашенных неиспользованных открепительных удостоверений	350	5	14	4	3	2	5	5	5	1	13	5	15	5	3	3	13	5	3	10	5	14	2	5	8	3	40	48	46	27	5	5	9	5	1	8					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																										
18	1.Политическая партия «Аграрная партия России»	153	6	6	7	1	1	3	2	1	2	4	5	10	0	2	0	3	0	10	13	3	10	0	3	7	2	6	10	2	10	5	5	4	5	2	3					
		1.45%	2.46%	1.43%	1.61%	0.70%	0.32%	3.06%	1.52%	0.64%	0.76%	0.81%	3.01%	4.07%	0.00%	2.11%	0.00%	1.04%	0.00%	1.69%	3.13%	2.42%	1.93%	0.00%	1.11%	2.42%	1.50%	1.07%	1.95%	0.35%	1.85%	0.96%	1.76%	1.11%	2.96%	0.57%	0.59%					
19	2.Всероссийская политическая партия «Гражданская Сила»	35	2	0	1	0	1	1	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	2	1	0	2	4	0	2	5	2	1	4	1	2					
		0.33%	0.82%	0.00%	0.23%	0.00%	0.32%	1.02%	0.00%	0.00%	0.00%	0.00%	1.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.24%	0.00%	0.00%	0.00%	0.74%	0.35%	0.00%	0.36%	0.78%	0.00%	0.37%	0.96%	0.70%	0.28%	2.37%	0.29%	0.39%					
20	3.Политическая партия «Демократическая партия России»	15	0	0	1	0	0	0	0	0	1	0	1	2	0	1	0	1	0	1	1	0	0	0	0	0	0	0	2	0	1	0	1	1	0	1	0					
		0.14%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.38%	0.00%	0.60%	0.81%	0.00%	1.05%	0.00%	0.35%	0.00%	0.17%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.39%	0.00%	0.18%	0.00%	0.35%	0.28%	0.00%	0.29%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	671	9	18	17	11	10	5	9	4	3	28	6	7	1	5	1	16	9	58	54	4	39	1	13	18	9	51	48	42	56	33	5	27	6	19	29					
		6.35%	3.69%	4.30%	3.90%	7.75%	3.17%	5.10%	6.82%	2.56%	1.15%	5.66%	3.61%	2.85%	2.44%	5.26%	2.17%	5.54%	4.02%	9.83%	13.01%	3.23%	7.51%	2.70%	4.81%	6.23%	6.77%	9.12%	9.38%	7.33%	10.33%	6.35%	1.76%	7.48%	3.55%	5.44%	5.66%					
