Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																		
Дата голосования: 04.12.2011																																																																																																		
																																																																																																		
Наименование Избирательной комиссии:    Сызранская городская																																																																																																		
																																																																																																		
Сводная таблица результатов выборов																																																																																																		
																																																																																																		
		Сумма	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116					
1	"Число избирателей, внесенных в список избирателей"	139977	583	2228	1738	508	350	1875	2206	1844	2392	1268	2430	1328	1720	1572	1001	2116	886	2753	2076	2372	2282	1058	1775	2062	2095	2670	2305	2841	2643	2856	2759	2912	1940	705	1281	1422	945	1201	1570	1820	1539	1823	1286	1757	1471	693	971	2203	2124	1357	2073	851	2651	1462	2453	1209	81	164	148	594	60	512	1295	2062	1119	1607	2008	1707	417	435	1642	1869	1811	933	1079	908	2141	1690	752	195	2801	2829	1635	1451	2238	1558	1076	1269	1470	60	50					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	116710	580	1890	1480	490	340	1490	1750	1460	1910	980	2040	1060	1400	1260	970	1700	890	2200	1700	1920	1850	830	1410	1640	1700	2160	1850	2280	2130	2310	2210	2340	1590	700	1030	1120	930	950	1230	1470	1230	1830	1300	1770	1160	1300	930	1740	1700	1100	1660	800	2140	1190	1960	970	100	200	200	500	70	600	1080	1670	910	1350	1630	1350	430	420	1410	1580	1420	900	860	830	1760	1380	750	200	2280	2280	1290	1180	1800	1150	830	1000	1170	60	50					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	70120	266	1180	820	135	113	880	983	886	1250	560	1289	676	801	847	498	982	459	1447	1101	1329	1223	553	1025	1082	1175	1429	1270	1400	1410	1490	1417	1461	874	330	657	562	354	553	695	915	738	961	716	848	747	676	433	867	981	738	868	330	1269	716	1285	582	59	86	104	358	60	512	483	909	554	738	1161	630	278	195	829	720	727	401	360	498	992	795	288	128	1562	1815	731	802	1172	937	453	528	1013	60	50					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3713	41	76	64	100	36	140	56	36	35	35	54	33	35	19	31	24	27	49	27	31	56	34	35	37	55	56	34	30	57	25	19	41	57	24	33	31	12	32	25	31	25	35	60	34	12	17	40	70	51	41	45	30	54	66	48	20	22	78	31	126	0	0	36	79	13	12	18	36	118	14	45	79	33	42	39	37	72	73	22	3	16	13	19	50	53	39	36	48	90	0	0					
6	Число погашенных избирательных бюллетеней	42877	273	634	596	255	191	470	711	538	625	385	697	351	564	394	441	694	404	704	572	560	571	243	350	521	470	675	546	850	663	795	774	838	659	346	340	527	564	365	510	524	467	834	524	888	401	607	457	803	668	321	747	440	817	408	627	368	19	36	65	16	10	88	561	682	343	600	451	684	34	211	536	781	660	457	461	295	696	512	440	69	702	452	540	328	575	174	341	424	67	0	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3713	41	76	64	100	36	140	56	36	35	35	54	33	35	19	31	24	27	49	27	31	56	34	35	37	55	56	34	30	57	25	19	41	57	24	33	31	12	32	25	31	25	35	60	34	12	17	40	70	51	41	45	30	54	66	48	20	22	78	31	126	0	0	36	79	13	12	18	36	118	14	45	79	33	42	39	37	72	73	22	3	16	13	19	50	53	39	36	48	90	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	70030	266	1180	819	135	113	880	983	886	1250	560	1289	676	801	847	498	982	459	1447	1101	1327	1223	553	1025	1082	1175	1429	1268	1400	1410	1490	1412	1420	874	330	657	562	354	553	695	915	738	961	716	848	747	676	433	866	981	738	868	330	1269	714	1283	581	59	86	104	358	60	512	483	909	553	738	1161	630	278	195	799	720	727	401	360	498	992	795	288	128	1562	1815	731	802	1172	937	453	526	1013	60	50					
9	Число недействительных избирательных бюллетеней	1540	9	84	13	2	4	18	27	26	23	14	32	18	10	22	16	19	13	25	46	28	39	10	54	26	19	26	21	20	16	30	20	23	22	10	6	10	9	9	12	23	15	18	13	24	18	10	8	16	14	15	16	8	16	15	24	8	2	13	2	17	2	0	3	8	4	16	28	42	48	3	15	18	21	12	4	12	20	15	4	1	17	23	6	17	19	11	16	9	20	0	0					
10	Число действительных избирательных бюллетеней	72203	298	1172	870	233	145	1002	1012	896	1262	581	1311	691	826	844	513	987	473	1471	1082	1330	1240	577	1006	1093	1211	1459	1281	1410	1451	1485	1411	1438	909	344	684	583	357	576	708	923	748	978	763	858	741	683	465	920	1018	764	897	352	1307	765	1307	593	79	151	133	467	58	512	516	980	562	734	1151	624	348	206	829	781	739	431	395	523	1044	853	306	130	1561	1805	744	835	1206	965	473	565	1083	60	50					
