Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																												
Дата голосования: 04.12.2011																																																																												
																																																																												
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №1																																																																												
																																																																												
Сводная таблица результатов выборов																																																																												
																																																																												
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №63	УИК №64	УИК №65	УИК №66	УИК №68	УИК №69	УИК №70	УИК №71					
1	"Число избирателей, внесенных в список избирателей"	132506	1951	1637	2105	1573	2128	1910	1754	1123	1820	1990	1242	2456	2470	2128	2096	3132	2297	2077	1913	2037	1194	1924	1012	2177	2028	1939	1718	1001	2078	1762	2240	1955	3217	2392	2188	1767	1169	2303	2187	2097	2573	2273	2271	3073	2021	1536	3290	2225	2335	2594	3123	2309	2638	2433	1946	2617	3338	1665	2305	1535	2262	877	99	172	268	569	546	741	685					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	98462	1460	1370	1460	1090	1450	1260	1180	1270	1300	1330	1720	1890	1670	1450	1640	2580	1860	1510	1300	1430	1510	1280	1380	1480	1420	1320	1390	760	2130	1340	1610	1460	2470	1540	1460	1250	1050	1430	1390	1560	1630	1640	1900	1950	1220	960	2050	1450	1490	1370	1790	1530	2430	1700	1730	2130	2610	1010	1550	960	1530	850	200	400	352	570	560	750	700					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	69706	980	1151	1160	761	1129	1005	880	1078	960	1010	1197	1290	1074	1114	1286	1547	1034	1055	1015	940	1151	1031	966	870	1175	904	911	657	1119	828	1450	1187	2136	1359	1133	1050	887	1067	989	1181	1038	1150	1760	1122	982	840	1495	1121	1225	1096	1397	1186	1154	1161	1073	1145	1322	809	1062	682	1060	60	83	0	13	400	454	550	549					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	5894	49	41	51	34	50	34	31	45	54	40	45	54	43	49	47	72	49	50	53	48	43	44	46	49	68	38	40	20	58	38	43	98	23	166	282	10	16	23	22	195	440	14	57	789	5	5	20	22	12	10	213	269	20	27	254	158	5	20	20	16	60	776	0	172	249	0	0	0	0					
6	Число погашенных избирательных бюллетеней	22862	431	178	249	295	271	221	269	147	286	280	478	546	553	287	307	961	777	405	232	442	316	205	368	561	177	378	439	83	953	474	117	175	311	15	45	190	147	340	379	184	152	476	83	39	233	115	535	307	253	264	180	75	1256	512	403	827	1283	181	468	262	410	14	117	228	90	170	106	200	151					
7	Число избирательных бюллетеней в переносных ящиках для голосования	5845	16	41	51	34	50	34	31	45	47	40	45	54	43	49	47	72	49	50	53	48	43	43	46	49	68	38	40	20	58	38	43	98	23	166	282	10	16	23	22	195	440	14	52	789	5	5	20	22	12	10	213	269	20	27	254	158	5	20	20	16	60	776	0	172	246	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	68923	910	1097	1109	695	1129	1005	880	1078	960	1010	1197	1289	1074	1057	1286	1541	1034	1055	953	892	1151	992	966	863	1175	878	911	642	1119	828	1385	1130	2113	1359	1132	1050	887	1066	989	1181	1038	1150	1743	1108	964	827	1489	1119	1213	1096	1381	1186	1151	1161	1073	1140	1322	807	1057	677	1060	60	83	0	13	399	439	550	549					
9	Число недействительных избирательных бюллетеней	1156	78	21	24	10	16	77	13	13	1	9	9	20	13	4	45	21	12	39	10	9	16	15	25	11	12	8	20	11	16	27	20	26	21	15	16	27	10	10	14	30	18	16	83	15	11	12	16	11	11	17	17	10	14	15	18	11	14	9	10	5	7	1	3	3	8	1	1	0	5					
10	Число действительных избирательных бюллетеней	73612	848	1117	1136	719	1163	962	898	1110	1006	1041	1233	1323	1104	1102	1288	1592	1071	1066	996	931	1178	1020	987	901	1231	908	931	651	1161	839	1408	1202	2115	1510	1398	1033	893	1079	997	1346	1460	1148	1712	1882	958	820	1493	1130	1214	1089	1577	1445	1157	1173	1309	1287	1313	818	1067	688	1113	835	80	169	251	398	438	550	544					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	800	12	10	16	15	10	10	8	20	20	15	11	15	15	24	12	10	10	10	13	10	10	14	6	20	19	15	15	10	15	15	20	11	16	15	10	15	14	11	16	10	5	11	10	10	10	15	15	25	11	16	10	10	18	20	11	10	10	10	10	10	10	0	0	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	768	11	10	16	14	9	10	7	19	19	13	11	15	15	24	11	10	9	10	13	10	10	13	6	20	19	12	15	10	15	10	20	11	16	15	10	15	13	11	16	10	5	11	10	9	5	14	14	25	11	16	10	10	18	20	11	10	9	10	10	8	9	0	0	0	0	0	0	0	0					
