Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																													
Дата голосования: 02.12.2007																																													
																																													
Наименование Избирательной комиссии:    Рыбновская																																													
																																													
Сводная таблица результатов выборов																																													
																																													
		Сумма	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416					
1	"Число избирателей, внесенных в списки избирателей"	29998	484	287	1898	203	1008	376	382	312	1052	340	189	430	83	296	283	523	332	406	330	540	463	394	484	387	775	580	833	539	80	1460	1630	1245	811	1462	1369	2197	2963	2572					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	26635	435	260	1730	175	910	335	340	270	965	300	160	385	75	260	270	460	300	360	295	485	415	355	500	340	700	525	755	490	70	1290	1440	1115	720	1285	1300	1965	2315	2285					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	13889	208	99	985	85	367	184	130	152	562	168	69	172	31	144	184	240	156	173	174	130	222	164	443	190	356	282	330	193	34	697	643	597	386	627	588	1056	1489	1179					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2292	82	50	50	46	113	41	60	79	94	66	39	132	12	21	14	71	78	106	41	145	36	55	16	93	70	31	91	89	24	57	73	28	53	42	80	19	45	50					
6	Число погашенных избирательных бюллетеней	10454	145	111	695	44	430	110	150	39	309	66	52	81	32	95	72	149	66	81	80	210	157	136	41	57	274	212	334	208	12	536	724	490	281	616	632	890	781	1056					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2292	82	50	50	46	113	41	60	79	94	66	39	132	12	21	14	71	78	106	41	145	36	55	16	93	70	31	91	89	24	57	73	28	53	42	80	19	45	50					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	13889	208	99	985	85	367	184	130	152	562	168	69	172	31	144	184	240	156	173	174	130	222	164	443	190	356	282	330	193	34	697	643	597	386	627	588	1056	1489	1179					
9	Число недействительных избирательных бюллетеней	143	4	1	13	5	0	2	5	1	5	2	1	1	0	0	5	2	1	0	4	0	1	0	1	2	4	1	6	2	1	8	4	0	7	5	9	6	25	9					
10	Число действительных избирательных бюллетеней	16038	286	148	1022	126	480	223	185	230	651	232	107	303	43	165	193	309	233	279	211	275	257	219	458	281	422	312	415	280	57	746	712	625	432	664	659	1069	1509	1220					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	355	6	4	22	0	8	5	2	2	35	5	5	17	3	5	4	3	11	6	5	5	7	9	5	1	10	5	7	7	3	11	10	15	9	6	15	21	41	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	253	3	0	20	0	7	3	0	0	35	4	1	17	0	1	3	2	11	1	0	1	2	4	2	1	7	5	4	0	0	8	8	10	6	5	14	19	31	18					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	286	3	2	8	6	9	9	7	4	5	5	7	2	1	4	21	12	2	3	4	5	10	6	47	2	5	5	4	1	5	10	8	3	4	8	13	6	10	20					
14	Число погашенных неиспользованных открепительных удостоверений	102	3	4	2	0	1	2	2	2	0	1	4	0	3	4	1	1	0	5	5	4	5	5	3	0	3	0	3	7	3	3	2	5	3	1	1	2	10	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	20	0	0	7	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	2	1	1	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
