Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																						
Дата голосования: 07.12.2003 0:00:00																																																																						
																																																																						
Наименование Избирательной комиссии:    Заводоуковская																																																																						
																																																																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																						
																																																																						
		Сумма	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317					
1	"Число избирателей, внесенных в списки"	35768	1107	1372	934	704	1282	1483	179	804	1073	1090	976	851	2292	2415	518	375	943	1008	320	634	156	90	566	173	93	201	482	205	425	144	987	428	69	590	623	82	519	136	407	878	180	211	140	148	645	726	438	543	826	121	838	67	418	187	436	205	345	138	428	158	312	411	233					
2	"Число бюллетеней, полученных участковыми комиссиями"	31956	945	1215	825	600	1120	1260	172	700	950	955	855	740	2000	2105	450	350	830	870	323	570	158	91	510	175	92	201	455	180	385	148	885	380	71	530	565	84	480	145	350	755	200	198	140	142	580	645	390	490	735	119	725	69	370	189	390	200	310	139	380	210	280	370	210					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	19766	547	630	486	345	596	760	140	436	527	546	479	373	1218	1319	228	207	476	486	318	420	85	52	333	114	82	126	311	108	282	121	519	279	56	349	332	69	297	86	227	504	170	169	123	85	308	358	268	215	376	58	535	50	288	128	278	137	238	104	241	158	212	274	124					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1031	22	32	13	11	9	15	21	20	33	11	23	39	42	74	5	10	18	26	0	3	4	3	19	4	3	3	17	5	13	0	129	24	5	44	54	7	24	6	9	19	10	0	0	3	25	8	9	18	24	3	52	5	3	11	17	4	2	0	11	0	6	1	0					
6	Число погашенных бюллетеней	11159	376	553	326	244	515	485	11	244	390	398	353	328	740	712	217	133	336	358	5	147	69	36	158	57	7	72	127	67	90	27	237	77	10	137	179	8	159	53	114	232	20	29	17	54	247	279	113	257	335	58	138	14	79	50	95	59	70	35	128	52	62	95	86					
7	Число бюллетеней в переносных ящиках для голосования	1031	22	32	13	11	9	15	21	20	33	11	23	39	42	74	5	10	18	26	0	3	4	3	19	4	3	3	17	5	13	0	129	24	5	44	54	7	24	6	9	19	10	0	0	3	25	8	9	18	24	3	52	5	3	11	17	4	2	0	11	0	6	1	0					
8	Число бюллетеней в стационарных ящиках для голосования	19760	547	630	486	345	596	760	140	436	527	546	478	373	1218	1319	227	207	476	486	318	420	85	52	333	114	82	126	311	108	282	121	519	279	56	349	332	69	297	86	227	504	169	169	123	85	308	358	268	215	374	58	535	50	288	128	278	137	238	104	241	158	212	274	123					
9	Число недействительных бюллетеней	301	5	8	16	5	7	11	6	9	9	7	5	3	15	20	5	4	9	5	5	10	5	2	8	4	1	4	8	4	4	1	3	7	0	6	3	1	3	1	4	10	0	2	1	0	1	2	3	6	0	2	7	0	7	2	6	2	2	3	1	3	3	2	3					
10	Число действительных бюллетеней	20490	564	654	483	351	598	764	155	447	551	550	496	409	1245	1373	227	213	485	507	313	413	84	53	344	114	84	125	320	109	291	120	645	296	61	387	383	75	318	91	232	513	179	167	122	88	332	364	274	227	398	59	580	55	284	137	289	139	238	101	251	155	215	273	120					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	463	10	10	10	10	10	10	0	10	10	10	10	10	15	15	10	5	10	10	0	10	5	5	10	5	5	5	10	5	5	5	10	5	5	10	10	5	10	5	5	10	5	5	5	5	10	10	5	10	10	5	10	5	5	5	8	5	5	5	5	5	5	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	76	1	2	3	1	0	3	0	3	3	3	1	2	1	6	1	1	1	3	0	1	0	0	3	0	0	1	6	0	1	0	4	1	0	3	0	0	2	0	0	2	0	0	0	0	0	1	0	0	1	0	3	0	0	0	6	1	1	0	1	2	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	75	1	3	0	1	3	1	11	2	1	0	1	3	1	3	1	0	3	3	0	4	0	0	0	0	2	0	2	0	2	0	4	1	0	0	0	0	0	1	0	4	1	0	1	1	1	2	0	3	3	0	2	0	0	0	0	0	0	0	0	0	2	0	1					
14	Число погашенных открепительных удостоверений	387	9	8	7	9	10	7	0	7	7	7	9	8	14	9	9	4	9	7	0	9	5	5	7	5	5	4	4	5	4	5	6	4	5	7	10	5	8	5	5	8	5	5	5	5	10	9	5	10	9	5	7	5	5	5	2	4	4	5	4	3	5	4	5					
15	Число открепительных удостоверений выданных ТИК	4	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																						
18	"1. ""ЕДИНЕНИЕ"""	369	8	6	3	8	8	10	1	9	5	4	4	4	17	31	3	2	3	2	8	8	1	2	7	2	1	6	14	3	7	7	8	7	4	6	3	1	2	3	12	11	6	2	2	1	3	14	6	5	8	2	16	0	10	4	4	3	10	5	4	2	2	6	3					
		1.77%	1.40%	0.90%	0.60%	2.24%	1.32%	1.29%	0.62%	1.97%	0.89%	0.71%	0.79%	0.97%	1.34%	2.22%	1.29%	0.92%	0.60%	0.39%	2.51%	1.89%	1.12%	3.63%	1.98%	1.69%	1.17%	4.65%	4.26%	2.65%	2.37%	5.78%	1.23%	2.31%	6.55%	1.52%	0.77%	1.31%	0.62%	3.26%	5.08%	2.10%	3.35%	1.18%	1.62%	1.13%	0.90%	3.82%	2.16%	2.14%	2.01%	3.27%	2.72%	0.0%	3.43%	2.87%	1.35%	2.12%	4.16%	4.80%	1.58%	1.26%	0.91%	2.18%	2.43%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	281	20	14	2	7	7	10	6	9	13	11	7	4	28	25	2	5	10	4	6	8	0	0	1	0	0	0	12	2	1	1	1	1	1	3	2	0	1	0	4	9	0	1	1	0	0	2	1	1	1	1	4	0	9	2	2	0	6	0	3	3	0	4	3					
		1.35%	3.51%	2.11%	0.40%	1.96%	1.15%	1.29%	3.72%	1.97%	2.32%	1.97%	1.39%	0.97%	2.22%	1.79%	0.86%	2.30%	2.02%	0.78%	1.88%	1.89%	0.0%	0.0%	0.28%	0.0%	0.0%	0.0%	3.65%	1.76%	0.33%	0.82%	0.15%	0.33%	1.63%	0.76%	0.51%	0.0%	0.31%	0.0%	1.69%	1.72%	0.0%	0.59%	0.81%	0.0%	0.0%	0.54%	0.36%	0.42%	0.25%	1.63%	0.68%	0.0%	3.09%	1.43%	0.67%	0.0%	2.5%	0.0%	1.19%	1.89%	0.0%	1.45%	2.43%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	355	4	20	7	11	10	11	6	8	6	9	7	4	20	32	5	5	7	8	12	8	2	2	2	1	1	4	8	1	6	3	4	3	0	0	12	2	3	3	1	17	5	1	1	3	4	8	8	2	7	2	5	1	2	0	5	1	3	0	5	8	0	7	2					
		1.70%	0.70%	3.02%	1.40%	3.08%	1.65%	1.41%	3.72%	1.75%	1.07%	1.61%	1.39%	0.97%	1.58%	2.29%	2.15%	2.30%	1.41%	1.56%	3.77%	1.89%	2.24%	3.63%	0.56%	0.84%	1.17%	3.10%	2.43%	0.88%	2.03%	2.47%	0.61%	0.99%	0.0%	0.0%	3.10%	2.63%	0.93%	3.26%	0.42%	3.25%	2.79%	0.59%	0.81%	3.40%	1.20%	2.18%	2.88%	0.85%	1.75%	3.27%	0.85%	1.81%	0.68%	0.0%	1.69%	0.70%	1.25%	0.0%	1.98%	5.06%	0.0%	2.54%	1.62%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	411	14	27	14	12	22	28	0	16	11	16	16	5	54	37	7	9	6	13	4	16	1	0	5	2	0	1	10	2	1	1	2	1	1	2	0	0	3	1	4	14	1	1	1	0	5	3	1	1	4	0	5	0	2	0	2	1	1	1	1	0	0	3	0					
		1.97%	2.46%	4.07%	2.80%	3.37%	3.63%	3.61%	0.0%	3.50%	1.96%	2.87%	3.19%	1.21%	4.28%	2.65%	3.01%	4.14%	1.21%	2.53%	1.25%	3.78%	1.12%	0.0%	1.42%	1.69%	0.0%	0.77%	3.04%	1.76%	0.33%	0.82%	0.30%	0.33%	1.63%	0.50%	0.0%	0.0%	0.93%	1.08%	1.69%	2.67%	0.55%	0.59%	0.81%	0.0%	1.50%	0.81%	0.36%	0.42%	1.00%	0.0%	0.85%	0.0%	0.68%	0.0%	0.67%	0.70%	0.41%	0.96%	0.39%	0.0%	0.0%	1.09%	0.0%					
22	"5. ""За Русь Святую"""	94	5	1	4	2	1	0	1	3	1	0	2	3	7	11	0	3	2	1	4	2	0	0	2	1	1	0	2	0	0	1	1	0	0	3	1	1	0	0	0	4	1	0	0	0	1	1	0	3	0	0	0	1	1	2	0	2	2	0	3	2	2	3	0					
