Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																								
Дата голосования: 18.09.2016																																																								
																																																								
Наименование Избирательной комиссии:    Соликамская городская																																																								
																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																								
																																																								
		Сумма	УИК №3601	УИК №3602	УИК №3603	УИК №3604	УИК №3605	УИК №3606	УИК №3607	УИК №3608	УИК №3609	УИК №3610	УИК №3611	УИК №3612	УИК №3613	УИК №3614	УИК №3615	УИК №3616	УИК №3617	УИК №3618	УИК №3619	УИК №3620	УИК №3621	УИК №3622	УИК №3623	УИК №3624	УИК №3625	УИК №3626	УИК №3627	УИК №3628	УИК №3629	УИК №3630	УИК №3631	УИК №3632	УИК №3633	УИК №3634	УИК №3635	УИК №3636	УИК №3637	УИК №3638	УИК №3639	УИК №3640	УИК №3641	УИК №3642	УИК №3643	УИК №3644	УИК №3645									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	70634	1558	1567	2123	1194	2858	1803	2545	2660	2559	950	2618	2833	1534	1605	1406	1456	865	2105	1993	2737	1233	1361	2722	1632	2024	754	2045	960	817	2682	2867	1529	1395	1095	734	1194	1244	824	968	385	1252	1548	214	73	113									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	56592	1200	1200	1600	1000	2200	1400	2000	2100	2000	800	2000	2200	1300	1300	1200	1200	700	1700	1600	2300	1000	1100	2200	1300	1700	600	1600	800	700	2200	2300	1200	1100	900	600	900	1000	700	800	300	1000	1200	200	82	110									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	22731	397	387	617	468	941	597	1050	1073	939	276	880	897	562	508	500	375	253	761	753	967	281	439	883	496	723	302	695	189	238	814	831	412	386	306	164	310	382	285	259	105	292	490	193	27	28									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	559	7	9	10	4	60	11	7	12	24	16	20	9	9	7	3	51	8	45	9	11	3	2	11	9	4	10	3	1	7	18	17	6	6	6	5	7	10	3	9	0	4	7	0	38	41									
6	Число погашенных избирательных бюллетеней	33303	796	804	973	528	1199	792	943	1015	1037	509	1100	1294	729	785	697	774	439	894	838	1322	716	659	1306	795	973	288	902	610	455	1368	1452	782	708	588	431	583	608	412	532	195	704	703	7	17	41									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	559	7	9	10	4	60	11	7	12	24	16	20	9	9	7	3	51	8	45	9	11	3	2	11	9	4	10	3	1	7	18	17	6	6	6	5	7	10	3	9	0	4	7	0	38	41									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	22706	397	387	617	468	941	595	1049	1073	939	275	880	896	561	508	500	375	253	760	740	967	281	439	883	496	723	302	692	189	238	813	831	412	386	306	164	310	381	285	259	105	292	490	193	27	28									
9	Число недействительных избирательных бюллетеней	1054	16	11	20	21	60	22	37	36	44	11	29	62	20	19	31	13	14	36	41	43	12	21	33	21	25	8	20	10	7	45	45	36	22	14	14	37	38	6	12	2	11	25	2	0	2									
10	Число действительных избирательных бюллетеней	22211	388	385	607	451	941	584	1019	1049	919	280	871	843	550	496	472	413	247	769	708	935	272	420	861	484	702	304	675	180	238	786	803	382	370	298	155	280	353	282	256	103	285	472	191	65	67									
