Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																	
Дата голосования: 04.12.2011																																																	
																																																	
Наименование Избирательной комиссии:    Льговская																																																	
																																																	
Сводная таблица результатов выборов																																																	
																																																	
		Сумма	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690					
1	"Число избирателей, внесенных в список избирателей"	12633	500	188	153	129	99	529	383	236	173	238	302	144	106	272	158	137	208	237	433	538	77	188	131	448	253	329	97	391	357	301	202	131	317	470	384	467	757	56	165	953	460	536					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12359	480	180	150	120	95	520	370	240	170	240	310	140	100	260	150	130	200	230	420	510	70	180	120	430	250	320	90	380	350	290	190	130	310	470	370	460	750	54	160	980	460	530					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	5209	224	74	70	64	48	127	152	127	50	90	159	89	46	144	55	50	80	85	146	207	32	105	58	183	99	165	51	174	121	164	64	59	150	203	168	171	238	26	75	443	147	226					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1667	46	35	21	39	10	82	40	40	42	41	42	5	12	36	42	46	27	38	46	41	14	25	20	62	57	27	9	48	73	26	42	25	64	44	45	50	126	16	12	55	44	52					
6	Число погашенных избирательных бюллетеней	5483	210	71	59	17	37	311	178	73	78	109	109	46	42	80	53	34	93	107	228	262	24	50	42	185	94	128	30	158	156	100	84	46	96	223	157	239	386	12	73	482	269	252					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1667	46	35	21	39	10	82	40	40	42	41	42	5	12	36	42	46	27	38	46	41	14	25	20	62	57	27	9	48	73	26	42	25	64	44	45	50	126	16	12	55	44	52					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5209	224	74	70	64	48	127	152	127	50	90	159	89	46	144	55	50	80	85	146	207	32	105	58	183	99	165	51	174	121	164	64	59	150	203	168	171	238	26	75	443	147	226					
9	Число недействительных избирательных бюллетеней	106	5	3	0	0	3	1	3	2	0	5	2	3	0	2	1	1	2	0	7	7	0	1	0	3	0	4	0	3	3	7	0	0	6	1	2	1	8	1	1	11	2	5					
10	Число действительных избирательных бюллетеней	6770	265	106	91	103	55	208	189	165	92	126	199	91	58	178	96	95	105	123	185	241	46	129	78	242	156	188	60	219	191	183	106	84	208	246	211	220	356	41	86	487	189	273					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	410	15	10	10	10	7	10	10	10	7	10	10	7	7	10	10	7	10	10	10	10	7	10	10	10	10	10	7	10	10	10	10	7	10	15	10	10	10	7	7	20	10	10					
