Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																															
Дата голосования: 02.12.2007																																																															
																																																															
Наименование Избирательной комиссии:    Курганинская																																																															
																																																															
Сводная таблица результатов выборов																																																															
																																																															
		Сумма	УИК №2701	УИК №2702	УИК №2703	УИК №2704	УИК №2705	УИК №2706	УИК №2707	УИК №2708	УИК №2709	УИК №2710	УИК №2711	УИК №2712	УИК №2713	УИК №2714	УИК №2715	УИК №2716	УИК №2717	УИК №2718	УИК №2719	УИК №2720	УИК №2721	УИК №2722	УИК №2723	УИК №2724	УИК №2725	УИК №2726	УИК №2727	УИК №2728	УИК №2729	УИК №2730	УИК №2731	УИК №2732	УИК №2733	УИК №2734	УИК №2735	УИК №2736	УИК №2737	УИК №2738	УИК №2739	УИК №2740	УИК №2741	УИК №2742	УИК №2743	УИК №2744	УИК №2745	УИК №2746	УИК №2747	УИК №2748	УИК №2749	УИК №2750	УИК №2751	УИК №2752	УИК №2753	УИК №2754	УИК №2755	УИК №2756					
1	"Число избирателей, внесенных в списки избирателей"	68604	1621	2167	2009	1822	1468	1883	2260	1858	1268	2100	1655	2556	2625	2436	2387	534	416	1325	1346	1570	1098	100	131	170	882	985	1060	1510	1191	724	501	1140	1351	1060	1143	1003	1289	476	1055	104	122	234	100	502	293	339	192	1548	897	2097	1231	1115	1556	2415	1865	1819					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	75580	2150	2600	2300	2300	1800	2300	2600	2150	1400	2400	1950	2600	2600	2500	2350	650	450	1350	1500	1700	1200	100	150	170	900	1050	1100	1500	1250	800	500	1050	1500	1500	1150	1150	1400	500	1150	120	150	250	100	800	350	360	250	1600	900	2050	1350	1050	1900	2580	2000	2000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	38896	945	1206	1114	1027	859	974	1282	865	750	1153	974	1319	1346	1169	1456	294	231	669	710	725	482	90	116	121	470	392	476	793	606	472	286	590	770	807	608	684	842	371	627	97	92	118	75	494	187	265	125	980	432	1113	799	678	1065	1458	1140	1107					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	5344	112	204	192	157	92	206	214	313	99	116	114	328	173	146	114	55	44	110	112	160	155	0	4	0	81	174	144	114	97	50	27	99	65	93	71	60	88	24	56	0	10	54	6	8	27	22	9	60	105	139	69	100	77	84	63	48					
6	Число погашенных избирательных бюллетеней	31340	1093	1190	994	1116	849	1120	1104	972	551	1131	862	953	1081	1185	780	301	175	571	678	815	563	10	30	49	349	484	480	593	547	278	187	361	665	600	471	406	470	105	467	23	48	78	19	298	136	73	116	560	363	798	482	272	758	1038	797	845					
7	Число избирательных бюллетеней в переносных ящиках для голосования	5344	112	204	192	157	92	206	214	313	99	116	114	328	173	146	114	55	44	110	112	160	155	0	4	0	81	174	144	114	97	50	27	99	65	93	71	60	88	24	56	0	10	54	6	8	27	22	9	60	105	139	69	100	77	84	63	48					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	38896	945	1206	1114	1027	859	974	1282	865	750	1153	974	1319	1346	1169	1456	294	231	669	710	725	482	90	116	121	470	392	476	793	606	472	286	590	770	807	608	684	842	371	627	97	92	118	75	494	187	265	125	980	432	1113	799	678	1065	1458	1140	1107					
9	Число недействительных избирательных бюллетеней	1007	31	38	20	19	27	14	25	20	11	15	17	29	28	26	81	4	17	11	9	21	14	8	0	2	7	18	26	14	12	3	3	30	9	11	8	15	15	5	9	0	0	9	0	10	4	8	10	34	10	28	27	36	35	52	33	39					
10	Число действительных избирательных бюллетеней	43233	1026	1372	1286	1165	924	1166	1471	1158	838	1254	1071	1618	1491	1289	1489	345	258	768	813	864	623	82	120	119	544	548	594	893	691	519	310	659	826	889	671	729	915	390	674	97	102	163	81	492	210	279	124	1006	527	1224	841	742	1107	1490	1170	1116					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	675	15	20	15	15	10	15	20	15	10	20	15	20	20	20	20	5	5	10	10	15	10	5	5	5	10	10	10	15	15	10	10	10	10	15	10	10	15	10	10	5	5	5	5	10	10	10	10	15	10	15	10	10	15	20	15	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	248	3	5	5	11	3	4	9	2	7	5	12	13	9	5	4	2	2	10	5	0	2	0	0	0	2	2	2	4	0	2	7	4	7	14	8	7	15	2	5	0	0	0	1	2	1	1	0	6	0	3	4	6	5	4	8	8					
