Выборы Президента Российской Федерации																																		
																																		
Наименование Избирательной комиссии:    Нижнеудинская городская																																		
																																		
Итоги голосования 																																		
																																		
		Сумма	УИК  973	УИК  974	УИК  975	УИК  976	УИК  977	УИК  978	УИК  979	УИК  980	УИК  981	УИК  982	УИК  983	УИК  984	УИК  985	УИК  986	УИК  987	УИК  988	УИК  989	УИК  990	УИК  991	УИК  992	УИК  993	УИК  994	УИК  995	УИК  996	УИК  997	УИК  998	УИК  999					
1	"Число избирателей, внесенных в список"	33413	1937	1070	1238	1005	886	2044	1152	939	2175	860	541	1470	2118	2580	653	1068	1332	1208	1568	1587	1146	891	1378	767	540	578	682					
2	Число полученных избирательных бюллетеней	32270	1890	1030	1200	980	870	2030	1080	910	2140	840	520	1440	2020	2480	630	1050	1300	1170	1500	1570	1110	820	1300	730	500	530	630					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	14616	1045	406	395	395	321	1012	564	364	1015	357	197	608	1052	1000	257	556	678	517	654	572	426	377	633	318	262	259	376					
5	"Число избирательных бюллетеней, выданных вне помещения"	1258	23	35	133	43	67	14	27	21	33	52	27	86	47	39	73	16	8	32	23	96	54	58	75	77	55	33	11					
6	Число погашенных избирательных бюллетеней	16396	822	589	672	542	482	1004	489	525	1092	431	296	746	921	1441	300	478	614	621	823	902	630	385	592	335	183	238	243					
7	Число избирательных бюллетеней в переносных ящиках	1258	23	35	133	43	67	14	27	21	33	52	27	86	47	39	73	16	8	32	23	96	54	58	75	77	55	33	11					
8	Число бюллетеней в стационарных ящиках для голосования	14616	1045	406	395	395	321	1012	564	364	1015	357	197	608	1052	1000	257	556	678	517	654	572	426	377	633	318	262	259	376					
9	Число недействительных избирательных бюллетеней	119	10	9	1	3	1	7	0	3	12	4	3	1	13	9	1	2	3	3	6	2	0	4	6	4	1	7	4					
10	Число действительных избирательных бюллетеней	15755	1058	432	527	435	387	1019	591	382	1036	405	221	693	1086	1030	329	570	683	546	671	666	480	431	702	391	316	285	383					
11	Число полученных открепительных  удостоверений	445	30	15	15	15	15	20	15	15	20	15	15	15	30	15	15	15	15	15	15	15	15	15	15	15	15	15	15					
12	Число выданных открепительных удостоверений	169	19	2	3	2	5	16	3	3	19	4	0	7	17	12	3	5	7	10	10	6	6	1	4	0	2	1	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	107	4	3	0	1	3	5	1	0	6	1	18	12	4	27	2	1	1	0	6	4	1	4	2	0	0	0	1					
14	Число неиспользованных открепительных удостоверений	276	11	13	12	13	10	4	12	12	1	11	15	8	13	3	12	10	8	5	5	9	9	14	11	15	13	14	13					
15	"Число открепительных удостоверений, выданных в ТИК"	69	3	2	3	2	1	3	1	0	4	1	1	2	2	7	3	2	4	6	7	6	3	2	1	2	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																		
18	. Глазьев Сергей Юрьевич	664	27	20	21	25	19	48	32	12	52	15	5	25	72	44	10	21	30	25	21	16	26	13	32	19	10	9	15					
		4.18%	2.53%	4.54%	3.98%	5.71%	4.90%	4.68%	5.41%	3.12%	4.96%	3.67%	2.23%	3.60%	6.55%	4.23%	3.03%	3.67%	4.37%	4.55%	3.10%	2.40%	5.42%	2.99%	4.52%	4.81%	3.15%	3.08%	3.88%					
19	. Малышкин Олег Александрович	611	44	12	16	15	18	18	18	9	47	8	13	15	34	45	13	15	35	32	34	37	18	14	26	19	10	15	31					
		3.85%	4.12%	2.72%	3.03%	3.42%	4.64%	1.75%	3.05%	2.34%	4.48%	1.96%	5.80%	2.16%	3.09%	4.33%	3.94%	2.62%	5.10%	5.83%	5.02%	5.54%	3.75%	3.22%	3.67%	4.81%	3.15%	5.14%	8.01%					
20	. Миронов Сергей Михайлович	128	7	7	5	1	1	4	2	2	2	4	1	12	8	6	3	4	6	5	7	5	1	11	9	2	3	2	8					
		0.81%	0.66%	1.59%	0.95%	0.23%	0.26%	0.39%	0.34%	0.52%	0.19%	0.98%	0.45%	1.73%	0.73%	0.58%	0.91%	0.70%	0.87%	0.91%	1.03%	0.75%	0.21%	2.53%	1.27%	0.51%	0.95%	0.68%	2.07%					
21	. Путин Владимир Владимирович	11259	825	313	415	304	300	734	420	286	728	304	164	525	730	716	245	405	498	391	471	495	349	273	443	251	230	201	243					
		70.93%	77.25%	70.98%	78.60%	69.41%	77.32%	71.54%	71.07%	74.29%	69.47%	74.33%	73.21%	75.65%	66.42%	68.91%	74.24%	70.80%	72.59%	71.22%	69.57%	74.10%	72.71%	62.76%	62.57%	63.54%	72.56%	68.84%	62.79%					
22	. Хакамада Ирина Муцуовна	360	26	7	7	16	2	20	18	4	25	11	3	17	28	30	8	22	17	10	22	13	8	5	13	12	5	5	6					
		2.27%	2.43%	1.59%	1.33%	3.65%	0.52%	1.95%	3.05%	1.04%	2.39%	2.69%	1.34%	2.45%	2.55%	2.89%	2.42%	3.85%	2.48%	1.82%	3.25%	1.95%	1.67%	1.15%	1.84%	3.04%	1.58%	1.71%	1.55%					
23	. Харитонов Николай Михайлович	2418	107	56	57	67	40	168	81	60	155	57	32	77	177	159	47	94	89	73	106	97	74	110	167	86	56	50	76					
